date,event,result,location,image_url
1,12.06.2005,,"Mike AwesomedefeatsMasato Tanaka(9:52)ECW One Night Stand 2005- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
2,05.03.2005,,"Ace Steel,Bison Smith&The GladiatordefeatAkira Taue,Go Shiozaki&Yoshinari Ogawa(15:35)NOAH Navigation For Evolution 2005 - Tag 10- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
3,02.03.2005,,"Bison Smith,Low Ki&The GladiatordefeatAkitoshi Saito,Masao Inoue&Takashi Sugiura(16:47)NOAH Navigation For Evolution 2005 - Tag 9- Event @ Mito Citizen Gymnasium in Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
4,27.02.2005,,"Go Shiozaki,Kenta Kobashi&Tamon HondadefeatBison Smith,Ricky Marvin&The Gladiator(25:06)NOAH Navigation For Evolution 2005 - Tag 8- Event @ Tsukuba Kapio in Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
5,26.02.2005,,"Bison Smith,SUWA&The GladiatordefeatKishin Kawabata,Takeshi Morishima&Takeshi Rikio(11:43)NOAH Navigation For Evolution 2005 - Tag 7- Event @ Twin Messe Shizuoka in Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
6,25.02.2005,,"Doug Williams,Low Ki&The GladiatordefeatAkira Taue,Takashi Sugiura&Takuma Sano(12:39)NOAH Navigation For Evolution 2005 - Tag 6- Event @ KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
7,23.02.2005,,"Low Ki&The GladiatordefeatKotaro Suzuki&Takuma Sano(11:01)NOAH Navigation For Evolution 2005 - Tag 5- Event @ City Gymnasium in Kasugai, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
8,22.02.2005,,"Bison Smith&The GladiatordefeatGo Shiozaki&Jun Akiyama(14:04)NOAH Navigation For Evolution 2005 - Tag 4- Event @ Sagamihara City Gymnasium #2 in Sagamihara, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
9,20.02.2005,,"Bison Smith,Low Ki&The GladiatordefeatAce Steel,Doug Williams&Scorpio(20:12)NOAH Navigation For Evolution 2005 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
10,19.02.2005,,"Naomichi Marufuji,Takeshi Morishima&Takeshi RikiodefeatAce Steel,SUWA&The Gladiator(16:18)NOAH Navigation For Evolution 2005 - Tag 2- Event @ Chiba Aquamarine Studio in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
11,18.02.2005,,"Bison Smith&The GladiatordefeatMitsuharu Misawa&Tsuyoshi Kikuchi(12:15)NOAH Navigation For Evolution 2005 - Tag 1- Event @ Fukushima City Gymnasium in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
12,04.12.2004,,"GHC Heavyweight Title:Kenta Kobashi(c) defeatsThe Gladiator(28:21)NOAH Navigation, Uprising Spirit 2004 - Tag 12- TV-Show @ Yokohama Bunka Gymnasium in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
13,02.12.2004,,"Akitoshi Saito,Masao Inoue&Takashi SugiuradefeatAce Steel,Scorpio&The Gladiator(21:36)NOAH Navigation, Uprising Spirit 2004 - Tag 11- Event @ Kajima Municipal Gymnasium in Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
14,28.11.2004,,"Richard Slinger,Scorpio&The GladiatordefeatKotaro Suzuki,Mitsuharu Misawa&Yoshinari Ogawa(20:30)NOAH Navigation, Uprising Spirit 2004 - Tag 10- TV-Show @ Sapporo Media Park Spica in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
15,27.11.2004,,"The GladiatordefeatsIZU(9:44)NOAH Navigation, Uprising Spirit 2004 - Tag 9- Event @ Sapporo Media Park Spica in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
16,24.11.2004,,"Ricky Marvin&The GladiatordefeatGo Shiozaki&Tamon Honda(10:04)NOAH Navigation, Uprising Spirit 2004 - Tag 8- Event @ Iwate Sunrec Hokujou in Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
17,23.11.2004,,"Akitoshi Saito,Masao Inoue&Takashi SugiuradefeatAce Steel,Ricky Marvin&The Gladiator(18:04)NOAH Navigation, Uprising Spirit 2004 - Tag 7- Event @ Towada Sports Center in Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
18,21.11.2004,,"KENTA&Kenta KobashidefeatRicky Marvin&The Gladiator(21:35)NOAH Navigation, Uprising Spirit 2004 - Tag 6- TV-Show @ Miyagi Sports Center in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
19,20.11.2004,,"Jun Akiyama,Makoto Hashi&Yoshinobu KanemarudefeatRicky Marvin,SUWA&The Gladiator(19:07)NOAH Navigation, Uprising Spirit 2004 - Tag 5- Event @ Differ Ariake in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
20,17.11.2004,,"Akitoshi Saito&Masao InouedefeatRichard Slinger&The Gladiator(17:18)NOAH Navigation, Uprising Spirit 2004 - Tag 4- Event @ Aizuwakamatsu Castle Gymnasium in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
21,16.11.2004,,"Jun Izumida&Shiro KoshinakadefeatAce Steel&The Gladiator(12:04)NOAH Navigation, Uprising Spirit 2004 - Tag 3- Event @ Niigata City Gymnasium in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
22,15.11.2004,,"Mitsuharu Misawa&Yoshinari OgawadefeatAce Steel&The Gladiator(14:02)NOAH Navigation, Uprising Spirit 2004 - Tag 2- Event @ Citizen Gymnasium #2 in Isesaki, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
23,13.11.2004,,"Scorpio&The GladiatordefeatMohammed Yone&Takeshi Rikio(12:13)NOAH Navigation, Uprising Spirit 2004 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
24,24.10.2004,,"Bison Smith,Low Ki&The GladiatordefeatJun Akiyama,Jun Izumida&Makoto Hashi(17:30)NOAH Navigation Against The Current 2004 - Tag 10- TV-Show @ Osaka Prefectural Gymnasium in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Awesome_Dive%21.jpg
