date,event,result,location,image_url
1,05.09.2025,,"Ken Anderson&Steve MaclindefeatFrankie Kazarian&Jake Something(16:47)TNA iMPACT #1105- TV-Show @ The Armory in Minneapolis, Minnesota, USA",
2,30.08.2025,,"Mr. Anderson&The Sigma Males(LDJ&Steven Fuerte) defeatSupremacy(Austin Kingsley V,Chulo Montana&Ykies)WDWA Berkeley Mania VIII- Event @ Berkeley County Youth Fairgrounds in Martinsburg, West Virginia, USA",
3,14.07.2025,,"Mr. Andersondefeats JOVI by DQ (5:57)CEP WrestleView 2- Event @ Bayview On The Water in Freeport, New York, USA",
4,14.07.2025,,"ATL,Jack Corbett,Mr. Anderson& The Graveyard Disciples (Malice & Menace) defeatDamon Nite, JOVI,Max Bane,Pedro Dones& Robbie Rebel (8:07)CEP WrestleView 2- Event @ Bayview On The Water in Freeport, New York, USA",
5,12.07.2025,,"Mr. AndersondefeatsAlvin(13:03)BCW Hot Summer Nights - Fan Appreciation Night- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
6,07.06.2025,,"Ken AndersondefeatsSean LoganFIGHT! First Strike- Event @ Bowen Roundhouse Arena in Des Moines, Iowa, USA",
7,10.05.2025,,"Jake ParnelldefeatsKen AndersonZERO1 USA War Games- Event @ Civic Center in Decatur, Illinois, USA",
8,29.03.2025,,"Yah Boy Andee defeatsKen AndersonLPW Debut Event- Event @ Tama Eagles Club in Tama, Iowa, USA",
9,21.02.2025,,"Three Way:Ken AndersondefeatsDante Casanovaand Redus AtlasFrontline Pro 61: Battle At Bakerville- Event @ Bakerville Bar in Marshfield, Wisconsin, USA",
10,15.02.2025,,"Triple Threat:Bobby Brennandefeats De'Lorian Diggs andKen AndersonBZW WinterSlam 2025- Event @ Butler Arena At Red River Valley Fairgrounds in West Fargo, North Dakota, USA",
11,16.11.2024,,"MPW Heavyweight         Title:Wesley Pipes(c) defeatsMr. AndersonMPW Mic Drop- Event @ Penobscot Nation Food Pantry in Old Town, Maine, USA",
12,01.11.2024,,"Zilla FatudefeatsMr. AndersonRPW Destiny 4- Event @ Big Apple Pub & Grill in Manitowoc, Wisconsin, USA",
13,17.08.2024,,"ECW Rules:Tommy DreamerdefeatsKen AndersonMAW Falls Fury- Event @ Redwood Area Community Center in Redwood Falls, Minnesota, USA",
14,03.08.2024,,"Mr. AndersondefeatsTarzan Duran3LW Red Rose Rumble 2- Online Stream @ Clipper Magazine Stadium in Lancaster, Pennsylvania, USA",
15,01.06.2024,,"Mr. AndersondefeatsChris MastersRPW Homecoming 2- Event @ Waupaca Expo Center in Waupaca, Wisconsin, USA",
16,18.05.2024,,"EWA World Title#1 Contendership Four Way:Louis Forza defeatsMr. KennedyandBellito Calderonand NexenEWA Evolution Night - Aniversario #1- Event @ Cancha Bajo Techno de Villa Marisol in Toa Baja, Puerto Rico, USA",
17,11.05.2024,,"Max Morrison&Mr. Andersondefeat J Skutt & KyzyleUWE Master Of The Universe- Event @ Cadillac Armory in Cadillac, Michigan, USA",
18,04.05.2024,,"UPW Heavyweight     Title:Mr. AndersondefeatsJoey Avalon(c) -TITLE CHANGE !!!UPW MarquetteMania 2- Event @ Lakeview Arena in Marquette, Michigan, USA",
19,04.05.2024,,"UPW Heavyweight     Title:Sampson defeatsMr. Anderson(c) -TITLE CHANGE !!!UPW MarquetteMania 2- Event @ Lakeview Arena in Marquette, Michigan, USA",
20,27.04.2024,,"Mr. AndersondefeatsAlex RoyalWFC ExtravaSlamza III- Event @ Burdick Center in Pryor, Oklahoma, USA",
21,20.04.2024,,"Koda JacobsdefeatsMr. Andersonby DQFrontline Pro 50: Honor Bound 2024- Event @ Salvation Army in Oak Creek, Wisconsin, USA",
22,30.03.2024,,"RUGGEDpro Heritage TitleBest Two Out Of Three Falls Match (vakant):Ken AndersondefeatsKit Sackett-TITLE CHANGE !!!RUGGEDpro RUGGEDmania 5- Event @ Midnight Ballroom in Marshalltown, Iowa, USA",
23,24.03.2024,,"Primos 303 Title:Player 1 (c) defeatsKen AndersonPrimos Splatterhouse 2- Event @ Roxy Theater in Denver, Colorado, USA",
24,16.03.2024,,"Rampage SantanadefeatsMr. AndersonRPW Extravaganza 3- Event @ Big Apple Pub & Grill in Manitowoc, Wisconsin, USA",
25,10.09.2023,,"FWE Heavyweight   Title:Chavo GuerrerodefeatsMr. Kennedy(c) -TITLE CHANGE !!!FWE Reload- Event @ House of Sports in Wake Forest, North Carolina, USA",
26,05.08.2023,,"WFC Heavyweight  Title:Dutch Hagen(c) defeatsMr. AndersonWFC ExtravaSlamza II- Event @ Mayes County Convention Centre in Pryor, Oklahoma, USA",
27,03.08.2023,,"Erick RedbearddefeatsKen AndersonMAW Head Of The Lakes Fair- Event @ Head Of The Lakes Fair in Superior, Wisconsin, USA",
28,29.07.2023,,"Ken Anderson&Paul VirkdefeatGino Rivera&Ocean AveryMAW Fight For The Fest- Event @ Clear Lake High School in Clear Lake, Wisconsin, USA",
29,21.07.2023,,"Conan LycandefeatsMr. Anderson(14:57)CSW In The Heat Of The Night- Online Stream @ VFW Hall in Franklin Park, Illinois, USA",
30,15.07.2023,,"Ken AndersondefeatsJTGMAW The Sharkey Slam- Event @ Element Gym in St. Paul, Minnesota, USA",
31,22.04.2023,,"Mr. AndersondefeatsEric CorvisSWF MegaSlam 2023 - Tag 2- Event @ Holmdel, New Jersey, USA",
32,11.02.2023,,"The Newest Rockers(Al Snow&Kal Herro) defeatKen Anderson& Miles Mora (14:23)MAW Heart Of A Warrior 3- Pay Per View @ St. Croix Casino in Turtle Lake, Wisconsin, USA",
33,14.01.2023,,"Joe OcasiodefeatsMr. KennedyWOW New Beginnings 2023- Event @ Funstation USA in New York City, New York, USA",
34,28.12.2022,,"RhinodefeatsMr. AndersonCombat 1 Round 2- Event @ Elite Sportsplex in Waterford Township, Michigan, USA",
35,29.10.2022,,"Casket:Mitch ParadisedefeatsKen AndersonPCW Fright Night Fights- Event @ The Revival On Main in Montgomery, Minnesota, USA",
36,10.09.2022,,"Brandon NytroedefeatsMr. AndersonBZW Rumble On The River 2- Event @ Outstate Brewing Company in Fergus Falls, Minnesota, USA",
37,15.07.2022,,"Ken Andersondefeats Jake TaylorMAW Slamfest- Event @ Lake Of The Woods County Fair in Baudette, Minnesota, USA",
38,07.05.2022,,"The Hardy Boyz(Jeff Hardy&Matt Hardy) defeatChris Masters&Ken AndersonGLCW/BTW- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",
39,13.11.2021,,"Ken AndersondefeatsRampage SantanaMAW/WON Grand Slam 3- Pay Per View @ Tartan High School in Oakdale, Minnesota, USA",
40,04.01.2020,,"FTPW Golden Challenge TitleFour Way:The Storm(c) defeatsBrandon WallaceandCurt GannonandMr. AndersonCEW Bridge City Slam II- Event @ Bridge View Center in Ottumwa, Iowa, USA",
41,16.12.2019,,"Eli Drake&James StormdefeatColt Cabana&Ken Andersonby DQ (6:15)NWA Powerrr #13- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
42,16.12.2019,,"NWA World Television    TitleTournament Qualifying Gauntlet:Ken AndersondefeatsAron StevensandCaleb KonleyandColt CabanaandCW AndersonandDave DawsonandJocephusandSal Rinauro(12:34)NWA Powerrr #15- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
43,15.12.2019,,"No Disqualification:Eli DrakedefeatsKen Anderson(6:58)NWA Powerrr #10- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
44,14.12.2019,,"Eli DrakedefeatsMr. Anderson(9:15)NWA Into The Fire- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",
45,07.12.2019,,"Jacob Fatu&Sefa FatudefeatDavey Boy Smith Jr.&Mr. AndersonGLCW/HOH 57: Blizzard Brawl 15 - ""Challenge Of The SuperFriends""- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",
46,30.11.2019,,"Mr. AndersondefeatsBill WilliamsSDW- Event @ Lakeville Area Arts Center in Lakeville, Minnesota, USA",
47,23.11.2019,,"Mr. AndersondefeatsMr. AguilaFight Forever: Tribute To Bret Hart- Event @ Mario Morales Coliseum in Guaynabo, Puerto Rico, USA",
48,16.11.2019,,"Steel Cage:Ken AndersondefeatsCraven KnyteMAW Willmarmania 2.0- Event @ Willmar City Auditorium in Willmar, Minnesota, USA",
49,27.10.2019,,"Ken AndersondefeatsRylie JacksonHOW Heavy Halloween 2- Event @ Clyde Iron Works in Duluth, Minnesota, USA",
50,26.10.2019,,"(Special Referee: Mitch Paradise):Nick Colucci&Swoggledefeat ??? &Mr. AndersonModist Madness- Event @ Modist Brewing Company in Minneapolis, Minnesota, USA",
51,19.10.2019,,"Ken AndersondefeatsPaul VirkMAW Takeover- Event @ Richfield American Legion Post 435 in Richfield, Minnesota, USA",
52,05.10.2019,,"Shane MercerdefeatsMr. AndersonHLW Heroes & Legends XIII- Event @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",
53,01.10.2019,,"DarkNWA Worlds Heavyweight Title#1 Contendership Three Way:James StormdefeatsEli DrakeandMr. AndersonNWA Powerrr #9- Dark Match @ GPB Studios in Atlanta, Georgia, USA",
54,30.09.2019,,"Colt Cabana&Mr. AndersondefeatJordan Kingsley&Sal Rinauro(3:34)NWA Powerrr #2- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
55,30.09.2019,,"Colt Cabana,Mr. Anderson&Nick AldisdefeatJames Storm&The Wild Cards(Royce Isaacs&Thomas Latimer) (6:56)NWA Powerrr #4- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
56,28.09.2019,,"AWF  Title:JDX(c) defeatsKen AndersonAWF 12th Annual John Hirsch Slammiversary- Event @ Cambridge-Isanti High School in Cambridge, Minnesota, USA",
57,21.09.2019,,"Eli DrakedefeatsKen Anderson(8:58)MORE Wrestling Masters Of Ring 1- Event @ Duplin County Events Center in Kenansville, North Carolina, USA",
58,09.08.2019,,"RCCW Heavyweight Title:Devlin KaindefeatsMr. Kennedy(c) -TITLE CHANGE !!!RCCW The Anniversary V- Event @ Roy L. Vingers American Legion Post 52 in La Crosse, Wisconsin, USA",
59,03.08.2019,,"RCCW Heavyweight Title:Mr. Kennedy(c) defeatsChris SteelRCCW Gravedigger's Summer Slam-A-Thon - Tag 2- Event @ Champions Riverside Resort in Galesville, Wisconsin, USA",
60,28.07.2019,,"Hawx Aerie(Luke Hawx&PJ Hawx) defeatKen Anderson&Rylie JacksonHOW FortuneBaynia II- Event @ Fortune Bay Resort Casino in Tower, Minnesota, USA",
61,13.07.2019,,"RCCW Heavyweight Title:Ken AndersondefeatsDevlin Kain(c) -TITLE CHANGE !!!RCCW LeveeMania- Event @ The Levee in Winona, Minnesota, USA",
62,15.06.2019,,"Al Snow,Kal Herro&Mr. AndersondefeatDrake Daniels,Koda Jacobs&Nick ColucciGLCW/ACW Summer Slamboree- Event @ Merrill Expo Centre in Merrill, Wisconsin, USA",
63,11.05.2019,,"Rylie JacksondefeatsKen AndersonMAW/WON Grand Slam 2- Event @ Henry Sibley High School in Mendota Heights, Minnesota, USA",
64,20.04.2019,,"Mr. AndersondefeatsDavid ArquetteLOW- Event @ Fraser Hockeyland Arena in Fraser, Michigan, USA",
65,22.03.2019,,"Mr. AndersondefeatsMario Andrew CrivelloMKE Wrestling Is Real- Event @ Knights Of Columbus Hall in West Allis, Wisconsin, USA",
66,17.02.2019,,"Luke HawxdefeatsKen AndersonHOW No Love Lost 2- Event @ Clyde Iron Works in Duluth, Minnesota, USA",
