date,event,result,location,image_url
1,19.07.2025,,"ABC Ultimate Title:Tom LaRuffa(c) defeatsPJ BlackABC 15eme Festival International De Catch- Event @ Gymnase du Four a Chaux in Beziers, Frankreich",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
2,30.05.2024,,"Dark:Lee JohnsondefeatsPJ Blackby referee's decisionROH on HonorClub #68- Dark Match @ Acrisure Arena in Palm Desert, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
3,03.02.2024,,"PJ BlackdefeatsLince Dorado(14:04)PTW #5: Gold Rush- Pay Per View @ Hotel Scout in Tschenstochau, Schlesien, Polen",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
4,04.11.2023,,"Jay RiosdefeatsPJ Black(15:47)ACW Mo'Bay Bash- Online Stream @ Montego Bay Convention Centre in Montego Bay, Jamaica",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
5,20.09.2023,,"Rage defeatsPJ BlackQPW Vertical Limit- Online Stream @ Qatar Sport Club - Abdulaziz Bin Suhaim Arena in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
6,24.08.2023,,"PJ BlackdefeatsGabriel WolfeBCW 53- Event @ Whitehorse Club in East Burwood, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
7,24.08.2023,,"5th Annual 15 Man Battle Rumble:Gabriel AerosdefeatsBarry O'LearyandCarlo CannonandCletusandEli TheseusandEmman AzmanandGabriel WolfeandLevi NixonandLucius WulfeandPJ BlackandRobbie Thorpeand Sam Yannis and This Guy andVixsinandZhan WenBCW 53- Event @ Whitehorse Club in East Burwood, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
8,16.07.2023,,"FenixdefeatsPJ BlackIWC Legacy Elite- Event @ Legacy Event Center in Westminster, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
9,08.07.2023,,"Michel Wauthier Cup:PJ BlackdefeatsJonny StormABC 13eme Festival International De Catch- Event @ Arenes de Beziers in Beziers, Frankreich",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
10,27.05.2023,,"PJ Blackdefeats Stephen TresarioDAE What's Causing All This!- Online Stream @ The Nerd in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
11,21.05.2023,,"Laredo KiddefeatsPJ BlackIWC Legacy Guerra- Event @ Legacy Event Center in Westminster, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
12,29.03.2023,,"Pandemonium Pro TitleRumble Riot Match (vakant):Mike BaileydefeatsAct YasukawaandAlan AngelsandAllie KatchandAmiraandAspyn RoseandB-BoyandBillie StarkzandBrogan FinlayandBrooke HavokandCan't Stop JamaalandChase JamesandChris BeyandChris Nastyyand Dan Evans andDark SheikandDarwin FinchandEffyand Enoch andHonest JohnandJordan CruzandJTGandJuicy FinauandKoto HiroandNinaandPJ Blackand Richie Coy andRobert MartyrandSandra MooneandSonicoandSuper BeastandTy RayandWarhorseandWicked Wickett-TITLE CHANGE !!!Pandemonium Best Damn Things- Event @ Don Quixote Event Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
13,12.11.2022,,"Five Star FlashdefeatsPJ BlackFWA Fire Your Guns- Online Stream @ Club Five Dock RSL in Five Dock, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
14,11.11.2022,,"Nightfall Pacific Title:B-Lars(c) defeatsPJ BlackNightfall Black Friday- Online Stream @ Narangba Community Hall in Narangba, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
15,28.10.2022,,"BCW Heavyweight     Title:Mick Moretti(c) defeatsPJ BlackBCW 48- Event @ Whitehorse Function and Convention Centre in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
16,22.10.2022,,"Impact X-Division TitleTournament Semi Final:Black TaurusdefeatsPJ Black(6:18)Impact Wrestling #957- TV-Show @ Sam's Town Hotel & Gambling Hall in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
17,21.10.2022,,"Impact X-Division TitleTournament First Round:PJ BlackdefeatsYuya Uemura(8:33)Impact Wrestling Before The Impact #90- Online Stream @ Sam's Town Hotel & Gambling Hall in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
18,09.10.2022,,"FWF Interstate Title:Heath(c) vs.PJ Black- No Contest (10:48)FWF Live 4!- Pay Per View @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
19,26.08.2022,,"BCW Heavyweight     Title#1 Contendership:PJ BlackdefeatsSlexBCW 47- Event @ Whitehorse Function and Convention Centre in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/Airwolf_%2827611920868%29.jpg
