date,event,result,location,image_url
1,02.08.2025,,"Pete DunnedefeatsJonathan Gresham(10:48)GCW Josh Barnett's Bloodsport XIV- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
2,26.05.2025,,"New Catch Republic(Pete Dunne&Tyler Bate) defeatA-Town Down Under(Austin Theory&Grayson Waller) (6:06)WWE Main Event #661- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
3,21.04.2025,,"New Catch Republic(Pete Dunne&Tyler Bate) defeatAmerican Made(Brutus Creed&Julius Creed) (7:17)WWE Main Event #656- Online Stream @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
4,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
5,17.04.2025,,"Pete DunnedefeatsTimothy Thatcher(11:14)GCW Josh Barnett's Bloodsport XIII- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
6,31.03.2025,,"The New Day(Kofi Kingston&Xavier Woods) defeatNew Catch Republic(Pete Dunne&Tyler Bate) (8:50)WWE Monday Night RAW #1662- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
7,22.03.2025,,"Pete DunnedefeatsSammy D(15:37)OTT Homecoming- Event @ Ambassador Theatre in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
8,03.03.2025,,"Pete DunnedefeatsCruz Del Toro(5:21)WWE Main Event #649- Online Stream @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
9,24.02.2025,,"Triple Threat:Ludwig KaiserdefeatsPentaandPete Dunne(9:15)WWE Monday Night RAW #1657- Online Stream @ Heritage Bank Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
10,17.02.2025,,"PentadefeatsPete Dunne(10:05)WWE Monday Night RAW #1656- Online Stream @ Spectrum Center in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
11,20.01.2025,,"PentadefeatsPete Dunne(10:16)WWE Monday Night RAW #1652- Online Stream @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
12,13.01.2025,,"Pete DunnedefeatsJoaquin Wilde(6:42)WWE Main Event #642- Online Stream @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
13,16.12.2024,,"Pete DunnedefeatsDragon Lee(7:51)WWE Main Event #639- Online Stream @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
14,09.12.2024,,"OtisdefeatsPete Dunne(4:34)WWE Main Event #637- Online Stream @ INTRUST Bank Arena in Wichita, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
15,02.12.2024,,"R-TruthdefeatsPete Dunne(1:53)WWE Monday Night RAW #1645- TV-Show @ Angel Of The Winds Arena in Everett, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
16,11.11.2024,,"Pete DunnedefeatsKofi Kingston(9:00)WWE Monday Night RAW #1642- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
17,03.11.2024,,"Pete DunnedefeatsAkira Tozawa(7:10)WWE Main Event #632- Online Stream @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
18,28.10.2024,,"OtisdefeatsPete Dunne(3:36)WWE Main Event #631- Online Stream @ GIANT Center in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
19,18.10.2024,,"Dark:Sami Zayn&The New Day(Kofi Kingston&Xavier Woods) defeatPete Dunne&The Judgment Day(Carlito&Finn Balor)WWE Friday Night SmackDown #1313- Dark Match @ Colonial Life Arena in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
20,07.10.2024,,"Good Ol' Fashioned Donnybrook:SheamusdefeatsPete Dunne(12:55)WWE Monday Night RAW #1637- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
21,16.09.2024,,"Pete DunnedefeatsSheamus(11:15)WWE Monday Night RAW #1634- TV-Show @ Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
22,10.09.2024,,"WWE NXT Title#1 Contendership Last Man Standing:Trick WilliamsdefeatsPete Dunne(14:11)WWE NXT #750- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
23,09.09.2024,,"WWE Intercontinental Title#1 Contendership Tournament Final Fatal Four Way:Jey UsodefeatsBraun StrowmanandIlja DragunovandPete Dunne(19:40)WWE Monday Night RAW #1633- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
24,03.09.2024,,"Pete Dunnevs.Trick Williams- Double Count Out (11:19)WWE NXT #749- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
25,26.08.2024,,"WWE Intercontinental Title#1 Contendership Tournament First Round Triple Threat:Pete DunnedefeatsThe MizandXavier Woods(11:02)WWE Monday Night RAW #1631- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
26,23.08.2024,,"WWE Speed Title:Andrade(c) defeatsPete Dunne(4:12)WWE Speed #29- Online Stream @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
27,20.08.2024,,"WWE NXT Title#1 Contendership Triple Threat:Joe HendrydefeatsPete DunneandWes Lee(12:19)WWE NXT #747- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
28,19.08.2024,,"SheamusdefeatsPete Dunne(11:25)WWE Monday Night RAW #1630- TV-Show @ Amerant Bank Arena in Sunrise, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
29,16.08.2024,,"WWE Speed Title#1 Contendership Tournament Final:Pete DunnedefeatsJe'Von Evans(2:23)WWE Speed #28- Online Stream @ Kia Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
30,12.08.2024,,"WWE Speed Title#1 Contendership Tournament Semi Final:Pete DunnedefeatsJoaquin Wilde(2:37)WWE Speed #27- Online Stream @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
31,06.08.2024,,"Pete DunnedefeatsTrick Williams(13:00)WWE NXT #745 - The Great American Bash 2024 - Tag 2- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
32,05.08.2024,,"Pete DunnedefeatsAkira Tozawa(8:27)WWE Main Event #619- Online Stream @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
33,29.07.2024,,"WWE Speed Title#1 Contendership Tournament First Round:Pete DunnedefeatsJulius Creed(2:36)WWE Speed #24- Online Stream @ Xcel Energy Center in St. Paul, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
34,15.07.2024,,"Pete DunnedefeatsMalik Blade(5:36)WWE Main Event #616- Online Stream @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
35,08.07.2024,,"Bronson ReeddefeatsPete Dunne(7:17)WWE Monday Night RAW #1624- TV-Show @ Canadian Tire Centre in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
36,02.07.2024,,"New Catch Republic(Pete Dunne&Tyler Bate) defeatHank And Tank(Hank Walker&Tank Ledger) (11:29)WWE NXT #740- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
37,01.07.2024,,"Pete DunnedefeatsAkira Tozawa(4:55)WWE Main Event #614- Online Stream @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
38,25.06.2024,,"WWE NXT Tag Team Title#1 Contendership Tag Team Turmoil:Chase U(Andre Chase&Duke Hudson) defeatEdris Enofe&Malik BladeandThe OC(Karl Anderson&Luke Gallows) andNew Catch Republic(Pete Dunne&Tyler Bate) andLegado del Fantasma(Angel&Berto) (17:01)WWE NXT #739- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
39,11.06.2024,,"Gallus(Joe Coffey,Mark Coffey&Wolfgang) defeatNew Catch Republic(Pete Dunne&Tyler Bate) &Wes Lee(9:47)WWE NXT #737- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
40,10.06.2024,,"The Creed Brothers(Brutus Creed&Julius Creed) defeatNew Catch Republic(Pete Dunne&Tyler Bate) (7:54)WWE Main Event #611- Online Stream @ Huntington Center in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
41,27.05.2024,,"Pete DunnedefeatsDijak(8:01)WWE Main Event #609- Online Stream @ Enmarket Arena in Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
42,13.05.2024,,"WWE World Tag Team  Title#1 Contendership Fatal Four Way:The Judgment Day(Finn Balor&JD McDonagh) defeatThe Authors Of Pain(Akam&Rezar) andNew Catch Republic(Pete Dunne&Tyler Bate) andThe Creed Brothers(Brutus Creed&Julius Creed) (10:50)WWE Monday Night RAW #1616- TV-Show @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
43,06.05.2024,,"New Catch Republic(Pete Dunne&Tyler Bate) defeatThe Creed Brothers(Brutus Creed&Julius Creed) (7:15)WWE Main Event #606- Online Stream @ XL Center in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/1/1a/British_Strong_Style_with_all_the_gold.jpg
