date,event,result,location,image_url
1,26.02.2025,,"Rene DupreedefeatsBobby SharpCWE Rage In The Cage Tour - Tag 14- Event @ Yorkdale Central School GSSD in Yorkton, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
2,25.02.2025,,"Rene DupreedefeatsBobby SharpCWE Rage In The Cage Tour - Tag 13- Event @ Royal Canadian Legion Saskatoon Branch 63  in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
3,24.02.2025,,"Rene DupreedefeatsBobby SharpCWE Rage In The Cage Tour - Tag 12- Event @ Plaza 88 in Prince Albert, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
4,23.02.2025,,"Rene DupreedefeatsBobby SharpCWE Rage In The Cage Tour - Tag 11- Event @ Chief John Keenatch Gymnasium in Big River First Nation, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
5,22.02.2025,,"Gabriel Lestat&Steven StylesdefeatDanny Duggan&Rene DupreeCWE Rage In The Cage Tour - Tag 10- Event @ Norwood Legion in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
6,21.02.2025,,"CWE Central Canadian Title:Cam!!ikaze(c) defeatsRene DupreeCWE Rage In The Cage Tour - Tag 9- Event @ Medicine Hat Exhibition & Stampede in Medicine Hat, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
7,20.02.2025,,"Bull Bodnar,Rene Dupree&Shaun MartensdefeatThe Cannon Corporation(Kevin Cannon&Shaun Martens) &KashCWE Rage In The Cage Tour - Tag 8- Event @ Riddell Center in Regina, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
8,19.02.2025,,"Bull Bodnar&Rene DupreedefeatThe Cannon Corporation(Kevin Cannon&Shaun Martens)CWE Rage In The Cage Tour - Tag 7- Event @ Royal Canadian Legion Branch #60 in Estevan, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
9,18.02.2025,,"Adrien Burton&Rene DupreedefeatThe Cannon Corporation(Kevin Cannon&Shaun Martens)CWE Rage In The Cage Tour - Tag 6- Event @ Isaac Beaulieu Memorial School in Sandy Bay First Nation, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
10,17.02.2025,,"Red Hot Summer(Bryce Bentley&Sammy Peppers) &Rene DupreedefeatThe Cannon Corporation(Kevin Cannon&Shaun Martens) &Bobby CollinsCWE Rage In The Cage Tour - Tag 5- Event @ Watson Art Centre in Dauphin, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/Dupreeecw.jpg
