date,event,result,location,image_url
1,19.07.1997,,"Jerry Lawler,Rob Van Dam&Sabuvs.Rick Rude,The Sandman&Tommy Dreamer- No ContestECW Heat Wave 1997- Event @ ECW Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
2,01.05.1994,,"WCW International World Heavyweight Title:Rick RudedefeatsSting(c) (22:48) -TITLE CHANGE !!!NJPW Wrestling Dontaku In Fukuoka Dome 1994- TV-Show @ Fukuoka Dome in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
3,21.04.1994,,"Rick RudedefeatsMark Starr(3:49)WCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
4,17.04.1994,,"WCW International World Heavyweight Title:StingdefeatsRick Rude(c) (13:09) -TITLE CHANGE !!!WCW Spring Stampede 1994- Pay Per View @ Rosemont Horizon in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
5,10.04.1994,,"WCW International World Heavyweight Title:Ricky SteamboatdefeatsRick Rude(c) by DQWCW House Show- House Show @ Springfield, Missourie, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
6,09.04.1994,,"WCW International World Heavyweight Title:Ricky SteamboatdefeatsRick Rude(c) by DQWCW House Show- House Show @ Kansas City, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
7,08.04.1994,,"WCW International World Heavyweight Title:Ricky SteamboatdefeatsRick Rude(c) by DQWCW House Show- House Show @ Manhatten, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
8,24.03.1994,,"WCW International World Heavyweight Title:Rick RudedefeatsHiroshi Hase(c) (20:58) -TITLE CHANGE !!!NJPW Hyper Battle 1994 - Tag 16- TV-Show @ Kyoto Prefectural Gymnasium in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
9,23.03.1994,,"Shinya HashimotodefeatsRick Rude(15:24)NJPW Hyper Battle 1994 - Tag 15- Event @ Memorial Park Gymnasium in Amagasaki, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
10,21.03.1994,,"Rick RudedefeatsMasahiro Chono(12:13)NJPW Hyper Battle 1994 - Tag 14- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
11,20.03.1994,,"Hiroshi Hase&Jushin Thunder LigerdefeatKiller Bee&Rick Rude(19:14)NJPW Hyper Battle 1994 - Tag 13- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/58/NWo_logo.svg
