date,event,result,location,image_url
1,10.09.2025,,"Alex Windsor&RihodefeatEmi Sakura&Mercedes Mone(9:43)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
2,06.07.2024,,"RihodefeatsLady Frost(8:44)AEW Collision #52- TV-Show @ Landers Center in Southaven, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
3,13.03.2024,,"Willow NightingaledefeatsRiho(9:19)AEW Dynamite #232 - Big Business- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
4,06.03.2024,,"RihodefeatsKris Statlander(9:51)AEW Dynamite #231- TV-Show @ Gas South Arena in Duluth, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
5,24.02.2024,,"RihodefeatsTrish Adora(7:01)AEW Rampage #134- TV-Show @ Great Southern Bank Arena in Springfield, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
6,10.01.2024,,"Hagane Shinnou&RihodefeatHiragi Kurumi&Sayaka Obihiro(15:01)Gatoh Move To The Future- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
7,04.01.2024,,"RihodefeatsShino Suzuki(5:33)TJPW Tokyo Joshi Pro '24- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
8,30.12.2023,,"AEW Women's World Title:Toni Storm(c) defeatsRiho(11:45)AEW Worlds End 2023- Pay Per View @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
9,20.12.2023,,"AEW Women's World Title#1 Contendership:RihodefeatsSaraya(7:41)AEW Dynamite #220 - Holiday Bash 2023 - Tag 1- TV-Show @ Paycom Center in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
10,13.12.2023,,"RihodefeatsRuby Soho(8:31)AEW Dynamite #219 - Winter Is Coming 2023 - Tag 1- TV-Show @ College Park Center in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
11,18.08.2023,,SPW Queen Of Asia Title:Alexis Lee(c) vs.Anchamvs.Riho- No ContestSPW Valour- Pay Per View @ Foochow Building in Singapur,https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
12,14.06.2023,,"Dark:Abadon,Maki Itoh&RihodefeatEmi Sakura,Marina Shafir&Nyla RoseAEW Dynamite #193- Dark Match @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
13,12.04.2023,,"The Outcasts(Ruby Soho&Toni Storm) defeatRiho&Skye Blue(6:22)AEW Dynamite #184- TV-Show @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
14,05.04.2023,,"AEW Women's World Title:Jamie Hayter(c) defeatsRiho(12:05)AEW Dynamite #183- TV-Show @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
15,22.03.2023,,"RihodefeatsDiamante(4:01)AEW Dark: Elevation #108- Online Stream @ Cable Dahmer Arena in Independence, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
16,08.03.2023,,"RihodefeatsNyla Rose(12:07)AEW Rampage #83- TV-Show @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
17,03.03.2023,,"RihodefeatsEmi Sakura(9:31)AEW Rampage #82- TV-Show @ Cow Palace in Daly City, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
18,01.03.2023,,"RihodefeatsToni Storm(10:07)AEW Dynamite #178- TV-Show @ Cow Palace in Daly City, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
19,26.02.2023,,"RihodefeatsDiamante(7:33)AEW Dark #187- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
20,25.11.2022,,SPW Queen Of Asia TitleThree Way:Alexis LeedefeatsRiho(c) andMei Suruga(10:20) -TITLE CHANGE !!!SPW X: Astronomical Anniversary - Tag 2- Online Stream @ Foochow Building in Singapur,https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
21,24.11.2022,,Riho&TajiridefeatAndruew Tang&Mei Suruga(15:48)SPW X: Astronomical Anniversary - Tag 1- Online Stream @ Foochow Building in Singapur,https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
22,09.11.2022,,"Riho&Willow NightingaledefeatEmi Sakura&Mei Suruga(6:14)AEW Dark: Elevation #89- Online Stream @ Agganis Arena in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
23,26.10.2022,,"Jamie HayterdefeatsRiho(10:52)AEW Dynamite #160- TV-Show @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
24,21.10.2022,,"RihodefeatsJungle Kyona(5:20)AEW Dark #167- Online Stream @ Coca-Cola Coliseum in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
25,09.10.2022,,"121000000(Maki Ito&Miyu Yamashita) defeatHikari Noa&Riho(13:44)TJPW Wrestle Princess 3- Online Stream @ Tokyo Dome City Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/6/6f/Riho%2C_2021_%28cropped%29.jpg
