date,event,result,location,image_url
1,13.07.2025,,"Gauntlet:Sam Bealedefeats Groovy Grizzly and Mike The Agent andMouseandRob Conway5DPW Sunshine Daydream- Event @ Remarkable Wrestling School in Nesconset, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
2,27.04.2024,,"La Resistance(Rene Dupree,Rob Conway&Sylvan Grenier) defeatDJ Powers,Randy Shawn&TKO KocenkoNEW Hat City Havoc 2024- Pay Per View @ Henry Abbott Technical High School in Danbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
3,19.11.2023,,"Supreme Mid-America Heavyweight Title:Rob ConwaydefeatsJosh Lewis(c) -TITLE CHANGE !!!Supreme Thanksgiving Throwdown- Event @ Racin' Mason Pizza and Fun Zone in Seymour, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
4,28.10.2023,,"Rob ConwaydefeatsNick DeppRFW Boonville Bash- Event @ American Legion in Boonville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
5,17.09.2023,,"Supreme Mid-America Heavyweight Title:Josh LewisdefeatsRob Conway(c) -TITLE CHANGE !!!Supreme Strikes Back- Event @ Racin' Mason Pizza & Fun Zone in Seymour, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
6,12.08.2023,,"Supreme Mid-America Heavyweight Title:Rob ConwaydefeatsJosh Lewis(c) -TITLE CHANGE !!!Supreme Fight The Good Fight- Event @ Southwestern Elementary School in Hanover, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
7,20.05.2023,,"Eric DravendefeatsRob Conwayby DQSupreme The Coast Of War- Event @ Supreme Arena in Madison, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
8,18.03.2023,,"Rob ConwaydefeatsEric DravenSupreme The Art Of War 2023- Event @ Supreme Arena in Madison, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
9,26.03.2022,,"Golden Ticket Battle Royal:Sgt. Ledbetterdefeats ??? andRob ConwayBOTB Night Of Champions- Event @ River's Edge Indoor Sports in Cleves, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
10,02.11.2019,,"Supreme United States Tag Team Title:Custom Made(Eric Draven&Roger Malcolm) (c) defeatLeon Elliot&Rob ConwaySupreme- Event @ Supreme Arena in Madison, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
11,11.01.2019,,"Supreme Heavyweight Title:Rob ConwaydefeatsNic Noble(c) by DQSupreme Pinnacle 2019- Event @ Christ's Way Christian Church in North Vernon, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
12,26.10.2018,,"AWA Central States Heavyweight Title:Rob ConwaydefeatsJosh Lewis(c) -TITLE CHANGE !!!Supreme Party On- Event @ Racin Mason Pizza & Fun Zone in Seymour, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
13,22.09.2018,,"Match (Special Referee: Bobby Fulton):Rob ConwaydefeatsMr. HughesBOTB Armageddon- Event @ VFW's Cabana on the Whitewater in Harrison, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
14,08.09.2018,,"UCW Heavyweight   TitleMatch (vakant):Rob ConwaydefeatsBuff Bagwell-TITLE CHANGE !!!UCW A Tribute Fit For A King- Event @ Owensboro Sportscenter in Owensboro, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
15,31.08.2018,,"AWA Central States Heavyweight Title:Josh Lewis(c) defeatsRob ConwaySupreme Unconquered- Event @ Southwestern High School in Hanover, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/Laresistance.jpg
