date,event,result,location,image_url
1,11.09.2025,,"Death Riders(Daniel Garcia&Jon Moxley) defeatParagon(Kyle O'Reilly&Roderick Strong)AEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
2,24.08.2025,,"El Desperado,Paragon(Kyle O'Reilly&Roderick Strong) &Yuya UemuradefeatCRU(Action Andretti&Lio Rush) &The Don Callis Family(Hechicero&Josh Alexander) (12:13)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
3,20.08.2025,,"The Young Bucks(Matt Jackson&Nick Jackson) defeatParagon(Kyle O'Reilly&Roderick Strong) (15:47)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
4,14.08.2025,,"Paragon(Kyle O'Reilly&Roderick Strong) defeatBlake Christian&Lee Johnson(4:48)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
5,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
6,10.07.2025,,"Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Kyle Fletcher,Rocky Romero&Trent Beretta) (13:40)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
7,02.07.2025,,"Konosuke Takeshita&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatBandido&Paragon(Kyle O'Reilly&Roderick Strong) (11:53)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
8,25.06.2025,,"Men's Casino Gauntlet #1 Spot Four Way:Mark BriscoedefeatsBandidoandKonosuke TakeshitaandRoderick Strong(11:05)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
9,21.06.2025,,"FTR(Cash Wheeler&Dax Harwood) &ProtoShita(Konosuke Takeshita&Kyle Fletcher) defeatBandido,Daniel Garcia&Paragon(Adam Cole&Roderick Strong) (11:52)AEW Collision #98- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
10,11.06.2025,,"Hechicero&The Don Callis Family(Josh Alexander,Konosuke Takeshita&Lance Archer) defeatDaniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) (11:56)AEW Collision #97 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
11,04.06.2025,,"Daniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Josh Alexander,Lance Archer,Rocky Romero&Trent Beretta) (11:20)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
12,28.05.2025,,"The Don Callis Family(Konosuke Takeshita,Rocky Romero&Trent Beretta) defeatParagon(Kyle O'Reilly&Roderick Strong) &Tomohiro Ishii(10:18)AEW Collision #95- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
13,25.05.2025,,"The Don Callis Family(Josh Alexander,Konosuke Takeshita&Kyle Fletcher) defeatParagon(Adam Cole,Kyle O'Reilly&Roderick Strong) (12:48)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
14,21.05.2025,,"Paragon(Kyle O'Reilly&Roderick Strong) defeatGrizzled Young Veterans(James Drake&Zack Gibson) (9:05)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
15,03.05.2025,,"Best Two Out Of Three Falls:FTR(Cash Wheeler&Dax Harwood) defeatParagon(Kyle O'Reilly&Roderick Strong) [2:1] (20:06)AEW Collision #91- TV-Show @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
16,23.04.2025,,"FTR(Cash Wheeler&Dax Harwood) defeatParagon(Kyle O'Reilly&Roderick Strong) (20:46)AEW Collision #90 - Playoff Palooza- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
17,15.03.2025,,"FTR(Cash Wheeler&Dax Harwood) defeatThe Undisputed Kingdom(Kyle O'Reilly&Roderick Strong) (16:44)AEW Collision #84- TV-Show @ The Theater At Virgin Hotels Las Vegas in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
18,09.03.2025,,"Daniel Garcia&The Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatShane Taylor Promotions(Carlie Bravo,Lee Moriarty,Shane Taylor&Shawn Dean) (9:37)AEW Revolution 2025 - Zero Hour- Online Stream @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
19,05.03.2025,,"The Undisputed Kingdom(Kyle O'Reilly&Roderick Strong) defeatThe Infantry(Carlie Bravo&Shawn Dean) (8:40)AEW Collision #83- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
20,01.03.2025,,"The Undisputed Kingdom(Kyle O'Reilly&Roderick Strong) defeatFTR(Cash Wheeler&Dax Harwood) (15:23)AEW Collision #82- TV-Show @ Oakland Arena in Oakland, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
21,26.02.2025,,"The Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatDaniel Garcia&FTR(Cash Wheeler&Dax Harwood) (11:47)AEW Dynamite #282- TV-Show @ Frontwave Arena in Oceanside, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
22,19.02.2025,,"Revolution AEW International Championship Series:Orange CassidydefeatsRoderick Strong(13:03)AEW Dynamite #281- TV-Show @ Arizona Financial Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
23,11.02.2025,,"AEW World Trios Title:Death Riders(Claudio Castagnoli,PAC&Wheeler Yuta) (c) defeatThe Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) (17:16)AEW Dynamite #280- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
24,08.02.2025,,"Three Way Nine Man:The Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatAngelo Parker,Daniel Garcia&Matt MenardandShane Taylor Promotions(Carlie Bravo,Shane Taylor&Shawn Dean) (13:12)AEW Collision #80- TV-Show @ Fort Bend Epicenter in Rosenberg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
25,25.01.2025,,"The Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatAngelo Parker,Daniel Garcia&Matt Menard(9:53)AEW Collision #78 - Homecoming 2025- TV-Show @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
26,16.01.2025,,"The Undisputed Kingdom(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatShane Taylor Promotions(Carlie Bravo,Lee Moriarty&Shawn Dean) (6:53)AEW Collision #77 - Maximum Carnage - Tag 2- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
27,08.01.2025,,"AEW World Title#1 Contendership Casino Gauntlet:Powerhouse HobbsdefeatsAdam ColeandAdam PageandDaniel GarciaandJay WhiteandJeff JarrettandKyle O'ReillyandLance ArcherandRicochetandRoderick StrongandWheeler Yuta(26:33)AEW Dynamite #275- TV-Show @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
28,01.01.2025,,"Casino Gauntlet #1 Spot Three Way:Jay WhitedefeatsRoderick StrongandSwerve Strickland(10:34)AEW Dynamite #274 - Fight For The Fallen 2025- TV-Show @ Harrah's Cherokee Center in Asheville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
29,23.11.2024,,"MJFdefeatsRoderick Strong(13:35)AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
30,13.11.2024,,"Falls Count Anywhere:Roderick StrongdefeatsLance Archer(6:39)AEW Dynamite #267- TV-Show @ Total Mortgage Arena in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
31,07.11.2024,,"Roderick StrongdefeatsThe Beast Mortos(9:40)AEW Collision #69- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
32,02.11.2024,,"Roderick StrongdefeatsShane Taylor(9:19)AEW Collision #68- TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
33,25.09.2024,,"FTW TitleFTW Rules:Hook(c) defeatsRoderick Strong(8:57)AEW Dynamite #260 - Grand Slam 2024 - Tag 1- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
34,21.09.2024,,"Grizzled Young Veterans(James Drake&Zack Gibson),Roderick Strong,Rush&The Beast MortosdefeatFTR(Cash Wheeler&Dax Harwood),Hook&The Outrunners(Truth Magnum&Turbo Floyd) (24:27)AEW Collision #63- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
35,18.09.2024,,"Roderick Strong&The Beast MortosdefeatJoe Keys&Marcus Mathers(1:24)AEW Rampage #163- TV-Show @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
36,11.09.2024,,"Roderick StrongdefeatsBEEF(7:53)AEW Rampage #162- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
37,07.09.2024,,"Three Way Nine Man:The Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) defeatAction Andretti&Top Flight(Dante Martin&Darius Martin) andShane Taylor Promotions(Lee Moriarty&Shane Taylor) &The Beast Mortos(10:52)AEW All Out 2024 - Zero Hour- Online Stream @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
38,28.08.2024,,"Hook&The Conglomeration(Kyle O'Reilly,Mark Briscoe&Orange Cassidy) defeatRoderick Strong&The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (16:31)AEW Dynamite #256- TV-Show @ State Farm Center in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
39,25.08.2024,,"AEW World Title#1 Contendership Casino Gauntlet:Christian CagedefeatsAdam PageandJeff JarrettandKazuchika OkadaandKyle O'ReillyandLuchasaurusandMark BriscoeandNigel McGuinnessandOrange CassidyandRicochetandRoderick StrongandZack Sabre Jr.(25:57)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
40,21.08.2024,,"The Conglomeration(Kyle O'Reilly,Mark Briscoe&Orange Cassidy) defeatThe Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (15:22)AEW Collision #59- TV-Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
41,17.08.2024,,"Roderick StrongdefeatsFuego Del Sol(3:20)AEW Rampage #159- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
42,14.08.2024,,"Three Way:Orange CassidydefeatsKyle O'ReillyandRoderick Strong(15:56)AEW Dynamite #254- TV-Show @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
43,07.08.2024,,"FTR(Cash Wheeler&Dax Harwood) &Orange CassidydefeatRoderick Strong,Rush&The Beast Mortos(16:49)AEW Dynamite #253- TV-Show @ Lawrence Joel Veterans Memorial Coliseum in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
44,01.08.2024,,"Darby Allin,FTR(Cash Wheeler&Dax Harwood) &Mark BriscoedefeatThe Beast Mortos&The Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (18:56)AEW Collision #56- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
45,31.07.2024,,"Roderick Strong,Rush&The Beast MortosdefeatThe Conglomeration(Mark Briscoe,Orange Cassidy&Tomohiro Ishii) (11:18)AEW Dynamite #252- TV-Show @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
46,27.07.2024,,"ROH World Six Man Tag Team TitleMatch (vakant):Dustin Rhodes&The Von Erichs(Marshall von Erich&Ross von Erich) defeatThe Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (13:27) -TITLE CHANGE !!!AEW Battle Of The Belts XI- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
47,26.07.2024,,"ROH World Title:Mark Briscoe(c) defeatsRoderick Strong(19:35)ROH Death Before Dishonor 2024- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
48,24.07.2024,,"AEW World Title#1 Contendership Royal Rampage 2024:Darby AllindefeatsBrandon CutlerandBrian CageandBrody KingandClaudio CastagnoliandJay LethalandJeff JarrettandKip SabianandKomanderandKyle O'ReillyandLio RushandMatt MenardandMatt TavenandMike BennettandNick WayneandOrange CassidyandRoderick StrongandThe Beast MortosandThe ButcherandTomohiro Ishii(37:42)AEW Rampage #155 - Royal Rampage 2024- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
49,20.07.2024,,"Roderick StrongdefeatsTomohiro Ishii(12:17)AEW Collision #54- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
50,17.07.2024,,"The Conglomeration(Kyle O'Reilly,Orange Cassidy&Tomohiro Ishii) defeatThe Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (17:20)AEW Rampage #154- TV-Show @ Simmons Bank Arena in North Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
51,12.07.2024,,"Roderick StrongdefeatsTimothy Thatcher(14:19)Prestige Combat Clash PDX- Online Stream @ Viking Pavilion in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
52,10.07.2024,,"ROH World Title#1 Contendership:Roderick StrongdefeatsDalton Castle(10:54)AEW Collision #53- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
53,06.07.2024,,"Roderick StrongdefeatsBen Bishop(1:16)AEW Rampage #153- TV-Show @ Landers Center in Southaven, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
54,30.06.2024,,"Four Way:Kings Of The Black Throne(Brody King&Malakai Black) defeatGabe Kidd&Roderick StrongandKyle O'Reilly&Tomohiro IshiiandPrivate Party(Isiah Kassidy&Marq Quen) (8:39)AEW/NJPW Forbidden Door 2024 - Zero Hour- Online Stream @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
55,20.06.2024,,"Gabe Kidd&Roderick StrongdefeatThe Infantry(Carlie Bravo&Shawn Dean) (6:26)AEW Rampage #151- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
56,19.06.2024,,"Dante Martin,Kyle O'Reilly,Mark Briscoe&Orange CassidydefeatRoderick Strong,The Don Callis Family(Konosuke Takeshita&Kyle Fletcher) &Zack Sabre Jr.(16:41)AEW Dynamite #246- TV-Show @ EagleBank Arena in Fairfax, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
57,12.06.2024,,"Roderick Strong&The Don Callis Family(Konosuke Takeshita&Kyle Fletcher) defeatKyle O'Reilly,Mark Briscoe&Orange Cassidy(13:03)AEW Dynamite #245- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
58,05.06.2024,,"AEW World Title:Swerve Strickland(c) defeatsRoderick Strong(14:09)AEW Dynamite #244- TV-Show @ Blue Arena in Loveland, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
59,30.05.2024,,"Roderick StrongdefeatsLio Rush(10:38)AEW Collision #47- TV-Show @ Acrisure Arena in Palm Desert, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
60,26.05.2024,,"AEW International Title:Will OspreaydefeatsRoderick Strong(c) (17:57) -TITLE CHANGE !!!AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
61,22.05.2024,,"Roderick Strong&Trent BerettadefeatOrange Cassidy&Will Ospreay(12:57)AEW Dynamite #242- TV-Show @ Mechanics Bank Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
62,19.05.2024,,"Roderick StrongdefeatsFuminori Abe(17:08)DPW Limit Break- Online Stream @ Durham Convention Center in Durham, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
63,21.04.2024,,"AEW International Title:Roderick Strong(c) defeatsKyle O'Reilly(17:18)AEW Dynasty 2024- Pay Per View @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
64,20.04.2024,,"Kyle O'Reilly,Matt Menard&Rocky RomerodefeatThe Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (12:09)AEW Rampage #141- TV-Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
65,13.04.2024,,"AEW International TitleEliminator:Roderick Strong[c] defeatsRocky Romero(11:42)AEW Battle Of The Belts X- TV-Show @ Truist Arena in Highland Heights, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
66,30.03.2024,,"AEW International TitleEliminator:Roderick Strong[c] defeatsLondon Lightning(5:37)AEW Rampage #139- TV-Show @ Budweiser Gardens in London, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/1/1e/Roddy_Strong_BOLA_09.jpg
