date,event,result,location,image_url
1,06.09.2025,,"Vaughn VertigodefeatsTJPTop Tier New Season- Event @ Hamilton Convention Centre in Hamilton, Ontario, Canada",
2,05.09.2025,,"MLP Canadian Title:Josh Alexander(c) defeatsTJP(25:47)MLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",
3,29.08.2025,,"Grand Prix Internacional 2025 Torneo Cibernetico:Team Mexico (Angel de Oro,Atlantis Jr.,Difunto,Mascara Dorada,Mistico,Neon,Templario,Titan,Volador Jr.&Zandokan Jr.) defeat Team International (Action Andretti,Donovan Dijak,Lio Rush,Michael Oku,Mike Bailey,Robbie X,Rocky Romero,Taiji Ishimori,The Beast Mortos&TJP) (82:06)CMLL Grand Prix Internacional 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
4,26.08.2025,,"Lucha De Naciones 2025 Torneo Cibernetico:Atlantis Jr.,Dulce Gardenia,El Hijo del Villano III,Explosivo,Ultimo Guerrero&Villano III Jr.defeatDark Magic,Donovan Dijak,Okumura,Taiji Ishimori,TJP&Yutani(29:24)CMLL Martes de Glamour- Online Stream @ Arena Coliseo de Guadalajara in Guadalajara, Jalisco, Mexiko",
5,25.08.2025,,"Lightning:Volador Jr.defeatsTJPCMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",
6,24.08.2025,,"Relevos Increibles Best Two Out Of Three Falls:Donovan Dijak&TJPdefeatVolador Jr.&Zandokan Jr.[2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
7,23.08.2025,,"Best Two Out Of Three Falls:Titan&United Empire(Templario&TJP) defeatLos Hermanos Chavez(Angel de Oro&Niebla Roja) &Volador Jr.[2:1] (12:50)CMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",
8,22.08.2025,,"NJPW STRONG Openweight Tag Team Title:United Empire(Templario&TJP) (c) defeatLa Escuadra(El Hijo del Villano III&Villano III Jr.) (17:23)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
9,16.08.2025,,"Chandler Hopkins&Vito FratellidefeatRoyce Isaacs&TJ PerkinsNTLL Twisted Lucha- Event @ Transplants Brewing Company in Palmdale, California, USA",
10,01.08.2025,,"Atlantis Jr.&HologramdefeatHechicero&TJ PerkinsPromociones Lucka Libre- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",
11,05.07.2025,,"Six Way Scramble:Michael Allen Richard ClarkdefeatsBhupinder GujjarandJonathan GreshamandMike BaileyandPsycho MikeandTJP(14:29)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",
12,27.06.2025,,"NJPW STRONG Openweight Tag Team Title:United Empire(Templario&TJP) (c) defeatLos Hermanos Chavez(Angel de Oro&Niebla Roja) [2:1] (17:37)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
13,24.06.2025,,"Best Two Out Of Three Falls:United Empire(Francesco Akira,Templario&TJP) defeatHiromu Takahashi,Shingo Takagi&Titan[2:1] (14:27)CMLL Martes Populares- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
14,23.06.2025,,"Best Two Out Of Three Falls:United Empire(Francesco Akira,Templario&TJP) defeatBarbaro Cavernario&Galeon Fantasma(Difunto&Zandokan Jr.) by DQ [2:1]CMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",
15,22.06.2025,,"United Empire(Francesco Akira,Templario&TJP) defeatLos Infernales(Averno,Euforia&Mephisto) [2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
16,21.06.2025,,"United Empire(Francesco Akira,Templario&TJP) defeatLos Guerreros Laguneros(Gran Guerrero,Stuka Jr.&Ultimo Guerrero) (12:52)CMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",
17,20.06.2025,,"Los Ingobernables de Japon(Hiromu Takahashi,Shingo Takagi&Titan) defeatUnited Empire(Francesco Akira,Templario&TJP) (15:31)CMLL Presenta NJPW Fantastica Mania Mexico 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
18,31.05.2025,,"Adrian QuestdefeatsTJ PerkinsRPW Menace To Society- Event @ American Legion Post #241 in Baldwin Park, California, USA",
19,18.05.2025,,"TJ PerkinsdefeatsEpydemius Jr.Promociones Martinez Lucha Libre- Event @ El Toro Sinaloense Sports Bar in Arlington, Texas, USA",
20,09.05.2025,,"NJPW STRONG Openweight Tag Team Title:United Empire(Templario&TJP) defeatThe World Class Wrecking Crew(Jorel Nelson&Royce Isaacs) (c) (13:12) -TITLE CHANGE !!!NJPW Resurgence 2025- Pay Per View @ Toyota Arena in Ontario, California, USA",
21,27.04.2025,,"Three Way:Laredo KiddefeatsMetalikandTJPIWC Legacy- Event @ Legacy Event Center in Westminster, Colorado, USA",
22,26.04.2025,,"TJPdefeats El CucuyPWR- Event @ Mt. Pleasant High School Gym in San Jose, California, USA",
23,25.04.2025,,"NTLL Gladiator TitleFour Way:G. SharpedefeatsTJ Perkins(c) andChandler HopkinsandNinja Mack-TITLE CHANGE !!!NTLL Rumble In The Desert- Event @ Fantasy Springs Casino in Indio, California, USA",
24,17.04.2025,,"Lucky 7 Sin City Scramble:Danhausendefeats1 Called MandersandCheeseburgerandMike D VecchioandSuper CrazyandTJPandVaughn Vertigo(16:29)WrestleCon Mark Hitchcock Memorial SuperShow 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",
25,11.04.2025,,"TJPdefeatsTom Lawlor(12:13)NJPW Windy City Riot 2025- Pay Per View @ Wintrust Arena in Chicago, Illinois, USA",
26,29.03.2025,,"Relentless Heavyweight Title:Royce IsaacsdefeatsTJP(c) -TITLE CHANGE !!!Relentless The Run Around- Event @ Players & Spectators Event Center in Spokane Valley, Washington, USA",
27,22.03.2025,,"El Primohenio,G. Sharpe&Latigo BlancodefeatCiclon Ramirez Jr.,Rey Misterio Heredero&TJ PerkinsNTLL Lone Wolf- Event @ Transplants Brewing Company in Palmdale, California, USA",
28,20.03.2025,,"NJPW World Television Title:El Phantasmo(c) defeatsTJP(11:36)NJPW New Japan Cup 2025 - Tag 9- TV-Show @ Aore Nagaoka in Nagaoka, Niigata, Japan",
