date,event,result,location,image_url
1,10.09.2025,,"BULLET CLUB War Dogs(Clark Connors,OSKAR&Yuto-Ice) defeatTaichi,TAKA Michinoku&Tomoaki Honma(10:36)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
2,09.09.2025,,"BULLET CLUB War Dogs(Clark Connors,OSKAR&Yuto-Ice) defeatTaichi,TAKA Michinoku&Tomoaki Honma(10:58)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
3,07.09.2025,,"BULLET CLUB War Dogs(Clark Connors,OSKAR&Yuto-Ice) defeatTaichi,TAKA Michinoku&Tomoaki Honma(9:06)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
4,24.08.2025,,"Satoshi Kojima,Taichi&TAKA MichinokudefeatJun Akiyama,Tomoaki Honma&Yuji Nagata(20:06)JTO TAKATAICHI Tour- Event @ 176BOX in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
5,17.08.2025,,"Satoshi Kojima&TaichidefeatKatsuya Murashima&Togi Makabe(7:14)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
6,16.08.2025,,"El Desperado,Ryusuke Taguchi,Shota Umino,YOSHI-HASHI&Yuya UemuradefeatMaster Wato,Satoshi Kojima,Taichi,Toru Yano&YOH(8:54)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
7,14.08.2025,,"Satoshi Kojima&TaichidefeatShoma Kato&YOSHI-HASHI(7:02)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
8,13.08.2025,,"Hiroshi Tanahashi&Katsuya MurashimadefeatMasatora Yasuda&Taichi(8:18)NJPW G1 Climax 35 - Tag 16- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
9,10.08.2025,,"G1 Climax 2025 Block A:Oleg Boltin[10] defeatsTaichi[6] (12:14)NJPW G1 Climax 35 - Tag 15- Online Stream @ G Messe Gunma in Takasaki, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
10,08.08.2025,,"Oleg Boltin&Toru YanodefeatMasatora Yasuda&Taichi(6:58)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
11,07.08.2025,,"G1 Climax 2025 Block A:Callum Newman[8] defeatsTaichi[6] (12:50)NJPW G1 Climax 35 - Tag 13- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
12,05.08.2025,,"United Empire(Callum Newman&Jakob Austin Young) defeatMasatora Yasuda&Taichi(7:55)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
13,03.08.2025,,"G1 Climax 2025 Block A:Ryohei Oiwa[8] defeatsTaichi[6] (11:50)NJPW G1 Climax 35 - Tag 11- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
14,02.08.2025,,"TMDK(Hartley Jackson&Ryohei Oiwa) defeatMasatora Yasuda&Taichi(8:12)NJPW G1 Climax 35 - Tag 10- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
15,01.08.2025,,"G1 Climax 2025 Block A:Taichi[6] defeatsYota Tsuji[8] (15:58)NJPW G1 Climax 35 - Tag 9- Online Stream @ Sunmesse Kagawa in Takamatsu, Kagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
