date,event,result,location,image_url
1,02.06.2017,,"Warrior Battle Royal:Winner:Ted DiBiase Jr.EGO WarriorMania- Event @ Vossburg, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
2,03.12.2016,,"Fuego Del Sol, Mike Carter &Ted DiBiase Jr.defeat Calvin Rose,Joey Abel&Monty WarbucksEGO The Last Call- Event @ Pearl, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
3,07.12.2013,,"Openweight Grand Prix Second Round:Ted DiBiase Jr.defeatsMatt Morganby Count OutFWE Openweight Grand Prix Final- Pay Per View @ Elmcor Center in Corona, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
4,07.12.2013,,"Openweight Grand Prix Semi Final:John HennigandefeatsTed DiBiase Jr.FWE Openweight Grand Prix Final- Pay Per View @ Elmcor Center in Corona, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
5,12.10.2013,,"Openweight Grand Prix First Round:Ted DiBiase Jr.defeatsColt CabanaFWE Openweight Grand Prix- Pay Per View @ St. Patrick's Gym in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
6,16.07.2013,,"Dark:Sin CaradefeatsTed DiBiaseWWE Main Event #42- Dark Match @ Dunkin' Donuts Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
7,23.06.2013,,"Ted DiBiasedefeatsHeath SlaterWWE Live- House Show @ Albany Civic Center in Albany, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
8,22.06.2013,,"Ted DiBiasedefeatsHeath SlaterWWE Live- House Show @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
9,11.06.2013,,"Dark:The Prime Time Players(Darren Young&Titus O'Neil) defeatJustin Gabriel&Ted DiBiaseWWE Main Event #37- Dark Match @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
10,09.06.2013,,"Ted DiBiasedefeatsCurt HawkinsWWE Live- House Show @ Jacksonville Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
11,08.06.2013,,"Ted DiBiasedefeatsCurt HawkinsWWE Live- House Show @ Lakeland Center in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
12,07.06.2013,,"Curt Hawkinsvs.Ted DiBiase- No ContestWWE Live- House Show @ BB&T Center in Sunrise, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
13,02.06.2013,,"Ted DiBiasedefeatsBrad MaddoxWWE Live- House Show @ Augusta Civic Center in Augusta, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
14,02.06.2013,,"Ted DiBiasedefeatsHunicoWWE Live- House Show @ Augusta Civic Center in Augusta, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
15,01.06.2013,,"Ted DiBiasedefeatsBrad MaddoxWWE Live- House Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
16,01.06.2013,,"Ted DiBiasedefeatsHunicoWWE Live- House Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
17,31.05.2013,,"Ted DiBiasedefeatsHunicoWWE Live- House Show @ Glens Falls Civic Center in Glens Falls, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
18,12.05.2013,,"Ted DiBiasedefeatsCorey GravesWWE SmackDown House Show- House Show @ Amarillo Civic Center Coliseum in Amarillo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
19,11.05.2013,,"Ted DiBiasedefeatsCorey GravesWWE SmackDown House Show- House Show @ Ector County Coliseum in Odessa, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/DiBiase_greets_crowd.jpg
