date,event,result,location,image_url
1,13.07.2025,,"WWE Women's  Title:Tiffany Stratton(c) defeatsTrish Stratus(8:37)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
2,01.03.2025,,"Tiffany Stratton&Trish StratusdefeatCandice LeRae&Nia Jax(11:41)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
3,01.02.2025,,"Royal Rumble:Charlotte FlairdefeatsAlexa BlissandB-FabandBayleyandBianca BelairandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIYO SKYandJaida ParkerandJordynne GraceandLash LegendandLiv MorganandLyra ValkyriaandMaxxine DupriandMichinandNaomiandNatalyaandNia JaxandNikki BellaandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandSonya DevilleandStephanie VaquerandTrish StratusandZelina VegaandZoey Stark(70:20)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
4,02.09.2023,,"Steel Cage:Becky LynchdefeatsTrish Stratus(20:02)WWE Payback 2023- Premium Live Event @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
5,20.08.2023,,"Two On One Handicap:Becky LynchdefeatsTrish Stratus&Zoey StarkWWE SuperShow- House Show @ Place Bell in Laval, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
6,19.08.2023,,"Two On One Handicap:Becky LynchdefeatsTrish Stratus&Zoey StarkWWE SuperShow- House Show @ Canadian Tire Centre in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
7,14.08.2023,,"Becky Lynchvs.Trish Stratus- Double Count Out (11:30)WWE Monday Night RAW #1577- TV-Show @ Canada Life Centre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
8,31.07.2023,,"Becky LynchdefeatsTrish Stratusby DQ (0:05)WWE Monday Night RAW #1575- TV-Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
9,01.07.2023,,"Money In The Bank Ladder:IYO SKYdefeatsBayleyandBecky LynchandTrish StratusandZelina VegaandZoey Stark(18:04)WWE Money In The Bank 2023- Premium Live Event @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
10,19.06.2023,,"Money In The Bank Qualifying:Trish StratusdefeatsRaquel Rodriguezby DQ (5:55)WWE Monday Night RAW #1569- TV-Show @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
11,27.05.2023,,"Trish StratusdefeatsBecky Lynch(14:50)WWE Night Of Champions 2023- Premium Live Event @ Jeddah Super Dome in Jeddah, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
12,10.04.2023,,"WWE Women's Tag Team Title:Liv Morgan&Raquel RodriguezdefeatBecky Lynch&Trish Stratus[Replacement for Lita] (c) (15:25) -TITLE CHANGE !!!WWE Monday Night RAW #1559- TV-Show @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
13,01.04.2023,,"Becky Lynch,Lita&Trish StratusdefeatDamage CTRL(Bayley,Dakota Kai&IYO SKY) (14:38)WWE WrestleMania 39 - Saturday- Premium Live Event @ SoFi Stadium in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
14,11.08.2019,,"Charlotte FlairdefeatsTrish Stratus(16:40)WWE SummerSlam 2019- Premium Live Event @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
15,05.08.2019,,"Becky Lynch&Charlotte FlairdefeatNatalya&Trish Stratusby DQ (7:40)WWE Monday Night RAW #1367- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
16,29.10.2018,,"Bayley,Lita,Natalya,Sasha Banks&Trish StratusdefeatAlicia Fox,Mickie James&The Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan) (13:24)WWE Monday Night RAW #1327- TV-Show @ Spectrum Center in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
17,28.10.2018,,"Lita&Trish StratusdefeatAlicia Fox&Mickie James(11:03)WWE Evolution 2018- Premium Live Event @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
18,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
19,04.04.2011,,"Mixed:John Morrison&Trish StratusdefeatDolph Ziggler&Vickie Guerrero(3:24)WWE Monday Night RAW #932- TV-Show @ Philips Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
20,03.04.2011,,"Mixed:John Morrison,Snooki&Trish StratusdefeatDolph Ziggler&LayCool(Layla&Michelle McCool) (3:15)WWE WrestleMania XXVII - ""The Biggest WrestleMania Ever""- Pay Per View @ Georgia Dome in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
21,21.03.2011,,"Four On Two Handicap:Dolph Ziggler,LayCool(Layla&Michelle McCool) &Vickie GuerrerodefeatJohn Morrison&Trish Stratus(4:13)WWE Monday Night RAW #930- TV-Show @ CONSOL Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
22,14.03.2011,,"No Disqualification:Vickie GuerrerodefeatsTrish Stratus(2:30)WWE Monday Night RAW #929- TV-Show @ Scottrade Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
23,14.09.2009,,"Mixed:Montel Vontavious Porter&Trish StratusdefeatBeth Phoenix&Chris Jerichoby DQ (1:31)WWE Monday Night RAW #851- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
24,14.09.2009,,"Mixed:Mark Henry,Montel Vontavious Porter&Trish StratusdefeatBeth Phoenix,Chris Jericho&The Big Show(4:41)WWE Monday Night RAW #851- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
25,22.12.2008,,"John Cena&Trish StratusdefeatBeth Phoenix&Santino Marella(4:24)WWE Monday Night RAW #813- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
26,17.09.2006,,"WWE Women's Title:Trish StratusdefeatsLita(c) (11:35) -TITLE CHANGE !!!WWE Unforgiven 2006- Pay Per View @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
27,11.09.2006,,"Trish StratusdefeatsMickie James(3:14)WWE Monday Night RAW #694- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
28,04.09.2006,,"Edge,Lita&Randy OrtondefeatCarlito,John Cena&Trish Stratus(14:54)WWE Monday Night RAW #693- TV-Show @ Philips Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
29,27.08.2006,,"WWE Women's Title:Lita(c) defeatsTrish StratusWWE RAW House Show- House Show @ Events Center in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
30,26.08.2006,,"WWE Women's Title:Lita(c) defeatsTrish StratusWWE RAW House Show- House Show @ Chevrolet Centre in Youngstown, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
31,25.08.2006,,"Torrie Wilson&Trish StratusdefeatLita&MelinaWWE RAW House Show- House Show @ Memorial Civic Center in Canton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
32,21.08.2006,,"Trish StratusdefeatsVictoria(3:02)WWE Monday Night RAW #691- TV-Show @ Arena At Harbor Yard in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
33,07.08.2006,,"Mixed:Edge&LitadefeatCarlito&Trish Stratus(13:19)WWE Monday Night RAW #689- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
34,07.08.2006,,"WWE Women's Title:Mickie James(c) vs.Trish Stratus- No Contest (0:05)WWE Monday Night RAW #689- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
35,05.08.2006,,"Torrie Wilson&Trish StratusdefeatMelina&Mickie JamesWWE RAW House Show- House Show @ Rod Laver Arena in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
36,04.08.2006,,"Torrie Wilson&Trish StratusdefeatMelina&Mickie JamesWWE RAW House Show- House Show @ Acer Arena in Sydney, Australia",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
37,03.08.2006,,"Carlito&Trish StratusdefeatJohnny Nitro&MelinaWWE RAW House Show- House Show @ Newcastle Entertainment Centre in Newcastle, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
38,31.07.2006,,"Candice Michelle&Trish StratusdefeatMickie James&Victoria(4:24)WWE Monday Night RAW #688- TV-Show @ Izod Center in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
39,17.07.2006,,"(Special Referee: Candice Michelle):Torrie Wilson&Trish StratusdefeatMickie James&Victoria(2:54)WWE Monday Night RAW #686- TV-Show @ AT&T Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
40,16.07.2006,,"Maria,Torrie Wilson&Trish StratusdefeatCandice Michelle,Mickie James&VictoriaWWE RAW House Show- House Show @ Taylor County Expo Center in Abilene, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
41,15.07.2006,,"Mixed:Carlito&Trish StratusdefeatJohnny Nitro&Melina(2:40)WWE Saturday Night's Main Event #33- TV-Show @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
42,10.07.2006,,"MelinadefeatsTrish Stratus(4:10)WWE Monday Night RAW #685- TV-Show @ Gateway Arena in Sioux City, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
43,09.07.2006,,"Tag Team Triple Threat:Carlito&Trish StratusdefeatJohnny Nitro&MelinaandMickie James&Rob ConwayWWE RAW House Show- House Show @ Pershing Center in Lincoln, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
44,08.07.2006,,"Carlito&Trish StratusdefeatJohnny Nitro&MelinaWWE RAW House Show- House Show @ John Labatt Centre in London, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
45,07.07.2006,,"WWE Women's Title:Mickie James(c) defeatsTrish StratusWWE RAW House Show- House Show @ Barrie, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
46,26.06.2006,,"WWE Women's Title:Mickie James(c) defeatsTrish Stratus(2:27)WWE Monday Night RAW #683- TV-Show @ Crown Center Of Cumberland County in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
47,30.04.2006,,"WWE Women's Title:Trish StratusdefeatsMickie James(c) by DQ (4:05)WWE Backlash 2006- Pay Per View @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
48,26.04.2006,,"Mixed:Ric Flair&Trish StratusdefeatEdge&LitaWWE WrestleMania Revenge Tour 2006- House Show @ Vorst Nationaal in Brüssel, Belgien",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
49,25.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ Odyssey Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
50,24.04.2006,,"WWE Women's Title:Mickie James(c) defeatsTrish StratusWWE RAW House Show- House Show @ International Arena in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
51,23.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ International Arena in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
52,22.04.2006,,"WWE Women's TitleBattle Royal:Mickie JamesdefeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ Nottingham Arena in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
53,20.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ National Exhibition Centre in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
54,19.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ Milano Forum in Mailand, Italien",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
55,09.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ U.S. Cellular Center in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
56,08.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ Rockford Metrocentre in Rockford, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
57,07.04.2006,,"WWE Women's TitleBattle Royal:Mickie James(c) defeatsCandice MichelleandMariaandTorrie WilsonandTrish StratusandVictoriaWWE RAW House Show- House Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
58,03.04.2006,,"Candice Michelle&Mickie JamesdefeatTorrie Wilson&Trish Stratus(1:38)WWE Monday Night RAW #671- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
59,02.04.2006,,"WWE Women's Title:Mickie JamesdefeatsTrish Stratus(c) (9:00) -TITLE CHANGE !!!WWE WrestleMania 22 - ""Big Time""- Pay Per View @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
60,27.03.2006,,"Torrie Wilson&Trish StratusdefeatCandice Michelle&Victoria(3:38)WWE Monday Night RAW #670- TV-Show @ Qwest Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
61,19.03.2006,,"WWE Women's Title:Trish Stratus(c) defeatsMickie JamesWWE RAW House Show- House Show @ Mississippi Coliseum in Jackson, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
62,18.03.2006,,"Mickie James&Trish StratusdefeatCandice Michelle&Victoria(2:42)WWE Saturday Night's Main Event #32- TV-Show @ Cobo Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
63,13.03.2006,,"WWE Women's Title:Trish Stratus(c) defeatsVictoria(4:20)WWE Monday Night RAW #668- TV-Show @ Ford Arena in Beaumont, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
64,11.03.2006,,"Bra & Panties:Mickie James&Trish StratusdefeatCandice Michelle&VictoriaWWE RAW House Show- House Show @ Heart O'Texas Coliseum in Waco, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
65,05.03.2006,,"WWE Women's Title:Trish Stratus(c) defeatsVictoriaWWE RAW House Show- House Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
66,04.03.2006,,"Bra & Panties:Mickie James&Trish StratusdefeatCandice Michelle&VictoriaWWE RAW House Show- House Show @ McKenzie Arena in Chattanooga, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
67,27.02.2006,,"WWE Women's Title:Trish Stratus(c) defeatsCandice Michelle(2:11)WWE Monday Night RAW #666- TV-Show @ MCI Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
68,25.02.2006,,"Lita&Torrie WilsondefeatMaria&Trish StratusWWE RAW House Show- House Show @ Araneta Coliseum in Manila, Philippinen",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
69,24.02.2006,,"WWE Women's Title:Trish Stratus(c) defeatsTorrie WilsonWWE RAW House Show- House Show @ Araneta Coliseum in Manila, Philippinen",https://upload.wikimedia.org/wikipedia/commons/8/89/Jazzstretch.jpg
