date,event,result,location,image_url
1,03.04.2022,,"Mr. McMahondefeatsPat McAfee(3:45)WWE WrestleMania 38 - Sunday- Premium Live Event @ AT&T Stadium in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
2,28.03.2010,,"No Holds Barred Match (Special Referee: Bruce Hart):Bret HartdefeatsVince McMahon(11:09)WWE WrestleMania XXVI - ""Get All Fired Up""- Pay Per View @ University Of Phoenix Stadium in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
3,08.03.2010,,"No Disqualification Five On One Handicap:Drew McIntyre,Jack Swagger,Mark Henry,Vince McMahon&Vladimir KozlovdefeatJohn Cena(11:21)WWE Monday Night RAW #876- TV-Show @ Rose Garden in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
4,24.08.2009,,"No Disqualification:D-Generation X(Shawn Michaels&Triple H) &Vince McMahondefeatLegacy(Cody Rhodes,Randy Orton&Ted DiBiase) (13:50)WWE Monday Night RAW #848- TV-Show @ Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
5,06.04.2009,,"Randy Ortonvs.Vince McMahon- No Contest (5:00)WWE Monday Night RAW #828- TV-Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
6,17.03.2008,,"Ric Flair's Career On The Line Street Fight:Ric FlairdefeatsVince McMahon(8:35)WWE Monday Night RAW #773- TV-Show @ Cajundome in Lafayatte, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
7,04.02.2008,,"No Disqualification:HornswoggledefeatsVince McMahon(5:48)WWE Monday Night RAW #768- TV-Show @ Frank Erwin Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
8,01.10.2007,,"Match (Special Referee: Carlito):Vince McMahondefeatsTriple Hby DQ (2:46)WWE Monday Night RAW #749- TV-Show @ Quicken Loans Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
9,24.09.2007,,"Two On One Handicap Steel Cage:Carlito&Vince McMahondefeatTriple H(7:26)WWE Monday Night RAW #748- TV-Show @ Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
10,03.06.2007,,"ECW World Heavyweight  TitleStreet Fight:Bobby LashleydefeatsVince McMahon(c) (12:27) -TITLE CHANGE !!!WWE One Night Stand 2007: Extreme Rules- Pay Per View @ Jacksonville Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
11,20.05.2007,,"ECW World Heavyweight  TitleThree On One Handicap:Bobby LashleydefeatsShane McMahon,Umaga&Vince McMahon(c) (1:21)WWE Judgment Day 2007- Pay Per View @ Scottrade Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
12,08.05.2007,,"ECW World Heavyweight  TitleThree On One Handicap:Vince McMahon(c),Shane McMahon&UmagadefeatRob Van Dam(9:35)ECW on Sci Fi #48- TV-Show @ Mellon Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
13,29.04.2007,,"ECW World Heavyweight  TitleThree On One Handicap:Shane McMahon,Umaga&Vince McMahondefeatBobby Lashley(c) (15:30) -TITLE CHANGE !!!WWE Backlash 2007- Pay Per View @ Philips Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
14,23.04.2007,,"Three On One Handicap No Disqualification:Shane McMahon,Umaga&Vince McMahondefeatRobbie Brookside(6:50)WWE Monday Night RAW #726- TV-Show @ Earl's Court in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
15,26.03.2007,,"No Disqualification:Vince McMahondefeatsBobby Lashley(2:28)WWE Monday Night RAW #722- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
16,17.09.2006,,"Hell In A Cell Three On Two Handicap:D-Generation X(Shawn Michaels&Triple H) defeatShane McMahon,The Big Show&Vince McMahon(25:05)WWE Unforgiven 2006- Pay Per View @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
17,11.09.2006,,"No Holds Barred:Vince McMahondefeatsTriple H(7:00)WWE Monday Night RAW #694- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
18,20.08.2006,,"D-Generation X(Shawn Michaels&Triple H) defeatShane McMahon&Vince McMahon(13:02)WWE SummerSlam 2006: The Biggest Party Of The Summer- Pay Per View @ TD Banknorth Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
19,10.07.2006,,"Two On One Handicap No Disqualification:EugenedefeatsShane McMahon&Vince McMahon(5:34)WWE Monday Night RAW #685- TV-Show @ Gateway Arena in Sioux City, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/Flickr_-_simononly_-_WWE_Fan_Axxess_-_Vince%27s_Limo_b.jpg
