date,event,result,location,image_url
1,27.09.2015,,"Ten Man Elimination:Team Edler (Cieran Donnelly, Daniel Edler,Danny Duggan,Grado&Scott Star) defeat Team Russo (James Davis,Jimmy Havoc, Mr. Puppet,Rob Lynch&Vince Russo)IPW:UK 11 Year Anniversary Tour: Finale- Event @ White Oak Leisure Centre in Swanley, Kent, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
2,01.10.2003,,"Dusty Rhodes&Jeff JarrettdefeatAJ Styles&Vince Russo(9:33)NWA Total Nonstop Action #65- Pay Per View @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
3,16.07.2003,,"D-Lo Brownvs.Vince Russo- No Contest (5:00)NWA Total Nonstop Action #54- Pay Per View @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
4,15.01.2003,,"Triple X(Christopher Daniels,Elix Skipper&Lo-Ki) &Vince RussodefeatDusty Rhodes,Jeff Jarrett&The Road Warriors(Animal&Hawk) (11:40)NWA Total Nonstop Action #28- Pay Per View @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
5,25.09.2000,,"WCW World Heavyweight TitleCaged Heat:Vince RussodefeatsBooker T(c) (8:33) -TITLE CHANGE !!!WCW Monday NITRO #262- TV-Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
6,19.09.2000,,"The Masked Heel (Stevie Ray) vs.Vince Russo- No Contest (3:09)WCW Thunder #130- TV-Show @ Civic Center in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
7,18.09.2000,,"WCW World Heavyweight Title#1 Contendership:Sting&Vince RussodefeatJeff Jarrett&Scott Steiner(8:00)WCW Monday NITRO #261- TV-Show @ Dom Cardillo Arena in Kitchener, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
8,04.09.2000,,"WCW World Heavyweight TitleTriple Cage War Games:Kevin Nash(c),Jeff Jarrett,Scott Steiner&Vince RussodefeatBooker T,Goldberg,KroniK(Brian Adams&Bryan Clarke) &Sting(18:56)WCW Monday NITRO #259 - War Games- TV-Show @ Reunion Arena in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
9,12.06.2000,,"Retirement:David Flair&Vince RussodefeatReid Flair&Ric Flair(4:03)WCW Monday NITRO #247- TV-Show @ Richmond Coliseum in Richmond, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
10,05.06.2000,,"Steel Cage:Vince RussodefeatsRic Flair(9:23)WCW Monday NITRO #246- TV-Show @ Philips Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
11,30.05.2000,,"David Flair&Vince RussodefeatReid Flair&Ric Flair(4:30)WCW Thunder #114- TV-Show @ Idaho Center in Boise, Idaho, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
12,01.05.2000,,"The Total Packagevs.Vince Russo- No ContestWCW Monday NITRO #241- TV-Show @ Vernon Jefferson Center in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/8/8e/TNA_Six_Sides_of_Steel.jpg
