date,event,result,location,image_url
1,13.03.2024,,"AEW World Title:Samoa Joe(c) defeatsWardlowby referee's decision (11:08)AEW Dynamite #232 - Big Business- TV-Show @ TD Garden in Boston, Massachusetts, USA",
2,03.03.2024,,"AEW World Title#1 Contendership All-Star 8-Man Scramble:WardlowdefeatsBrian CageandChris JerichoandDante MartinandHookandLance ArcherandMagnusandPowerhouse Hobbs(16:22)AEW Revolution 2024- Pay Per View @ Greensboro Coliseum in Greensboro, North Carolina, USA",
3,14.02.2024,,"WardlowdefeatsBarrett Brown(1:23)AEW Dynamite #228- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",
4,31.01.2024,,"WardlowdefeatsKomander(5:34)AEW Dynamite #226- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",
5,24.01.2024,,"WardlowdefeatsTrent Beretta(8:03)AEW Dynamite #225- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",
6,05.12.2023,,"WardlowdefeatsWillie Mackby referee's decision (3:13)AEW Collision #26- TV-Show @ Bell Centre in Montreal, Quebec, Canada",
7,29.11.2023,,"WardlowdefeatsAR Foxby referee's decision (3:13)AEW Dynamite #217- TV-Show @ Target Center in Minneapolis, Minnesota, USA",
8,17.11.2023,,"WardlowdefeatsEvan Danielsby referee's decision (0:56)AEW Collision #23- TV-Show @ The Kia Forum in Inglewood, California, USA",
9,18.10.2023,,"WardlowdefeatsRyan Nemethby referee's decision (0:26)AEW Dynamite #211- TV-Show @ Fort Bend Epicenter in Rosenberg, Texas, USA",
10,10.10.2023,,"WardlowdefeatsMatt Sydalby referee's decision (0:49)AEW Dynamite #210 - Title Tuesday 2023- TV-Show @ Cable Dahmer Arena in Independence, Missouri, USA",
11,04.10.2023,,"WardlowdefeatsGriff Garrisonby referee's decision (1:02)AEW Dynamite #209 - Anniversary 2023- TV-Show @ Stockton Arena in Stockton, California, USA",
12,17.06.2023,,"AEW TNT Title:LuchasaurusdefeatsWardlow(c) (10:43) -TITLE CHANGE !!!AEW Collision #1- TV-Show @ United Center in Chicago, Illinois, USA",
13,14.06.2023,,"AEW TNT Title:Wardlow(c) defeatsJake Hager(7:13)AEW Dynamite #193- TV-Show @ Capital One Arena in Washington, District Of Columbia, USA",
14,28.05.2023,,"AEW TNT TitleLadder:Wardlow(c) defeatsChristian Cage(17:11)AEW Double Or Nothing 2023- Pay Per View @ T-Mobile Arena in Paradise, Nevada, USA",
15,13.05.2023,,"AEW TNT Title:Wardlow(c) defeatsLee MoriartyAEW House Rules Tour - Tag 3- House Show @ Salem Civic Center in Salem, Virginia, USA",
16,03.05.2023,,"WardlowdefeatsLogan Laroux(1:24)AEW Dynamite #187- TV-Show @ CFG Bank Arena in Baltimore, Maryland, USA",
17,26.04.2023,,"WardlowdefeatsAriel Levy(1:33)AEW Dynamite #186- TV-Show @ FLA Live Arena in Sunrise, Florida, USA",
18,19.04.2023,,"AEW TNT Title:WardlowdefeatsPowerhouse Hobbs(c) (9:12) -TITLE CHANGE !!!AEW Dynamite #185- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",
19,08.03.2023,,"AEW TNT TitleFalls Count Anywhere:Powerhouse HobbsdefeatsWardlow(c) (10:55) -TITLE CHANGE !!!AEW Dynamite #179- TV-Show @ Golden 1 Center in Sacramento, California, USA",
20,05.03.2023,,"AEW TNT Title:WardlowdefeatsSamoa Joe(c) by referee's decision (10:42) -TITLE CHANGE !!!AEW Revolution 2023- Pay Per View @ Chase Center in San Francisco, California, USA",
21,05.02.2023,,WardlowdefeatsRyan NemethJericho Cruise 2023 - Tag 4- Event @ Norwegian Pearl Cruise Ship in USA,
22,04.02.2023,,WardlowdefeatsDaniel GarciaJericho Cruise 2023 - Tag 3- Event @ Norwegian Pearl Cruise Ship in USA,
23,28.12.2022,,"AEW TNT Title:Samoa Joe(c) defeatsWardlowby referee's decision (12:12)AEW Dynamite #169 - New Year's Smash 2022 - Tag 1- TV-Show @ 1stBank Center in Broomfield, Colorado, USA",
24,14.12.2022,,"WardlowdefeatsExodus Prime(2:07)AEW Rampage #71- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",
25,19.11.2022,,"AEW TNT TitleThree Way:Samoa JoedefeatsWardlow(c) andPowerhouse Hobbs(9:54) -TITLE CHANGE !!!AEW Full Gear 2022- Pay Per View @ Prudential Center in Newark, New Jersey, USA",
26,09.11.2022,,"AEW TNT Title:Wardlow(c) defeatsAri Daivari(1:48)AEW Dynamite #162- TV-Show @ Agganis Arena in Boston, Massachusetts, USA",
27,04.11.2022,,"WarJoe(Samoa Joe&Wardlow) defeatGates Of Agony(Bishop Kaun&Toa Liona) (9:10)AEW Rampage #65- TV-Show @ Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",
28,28.10.2022,,"AEW TNT Title:Wardlow(c) defeatsMatt Taven(8:59)AEW Rampage #64- TV-Show @ Mohegan Sun Arena in Uncasville, Connecticut, USA",
29,12.10.2022,,"Samoa Joe&WardlowdefeatThe Factory(Nick Comoroto&QT Marshall) (2:29)AEW Dynamite #158- TV-Show @ Coca-Cola Coliseum in Toronto, Ontario, Canada",
30,05.10.2022,,"AEW TNT Title:Wardlow(c) defeatsBrian Cage(10:04)AEW Dynamite #157 -  Anniversary 2022- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",
31,21.09.2022,,"Samoa Joe&WardlowdefeatJosh Woods&Tony Nese(2:24)AEW Rampage #59 - Grand Slam 2022 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",
32,07.09.2022,,"AEW TNT Title:Wardlow(c) defeatsTony Nese(1:24)AEW Dynamite #153- TV-Show @ KeyBank Center in Buffalo, New York, USA",
33,04.09.2022,,"FTR(Cash Wheeler&Dax Harwood) &WardlowdefeatJay Lethal&The Motor City Machine Guns(Alex Shelley&Chris Sabin) (16:26)AEW All Out 2022- Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA",
34,31.08.2022,,"FTR(Cash Wheeler&Dax Harwood) &WardlowdefeatRen Jones,Silas Young&Vic Capri(2:02)AEW Dynamite #152- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",
35,24.08.2022,,"AEW TNT Title:Wardlow(c) defeatsRyan Nemeth(1:31)AEW Rampage #55- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",
36,20.08.2022,,"WardlowdefeatsElijah DeanRevenge Pro Press Your Luck- Event @ The Avalon in Erie, Pennsylvania, USA",
37,05.08.2022,,"AEW TNT Title:Wardlow(c) defeatsJay Lethal(7:21)AEW Battle Of The Belts III- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
38,13.07.2022,,"AEW TNT Title:Wardlow(c) defeatsOrange Cassidy(11:36)AEW Dynamite #145 - Fyter Fest 2022 - Tag 1- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",
39,06.07.2022,,"AEW TNT TitleStreet Fight:WardlowdefeatsScorpio Sky(c) (8:29) -TITLE CHANGE !!!AEW Dynamite #144- TV-Show @ Blue Cross Arena in Rochester, New York, USA",
40,15.06.2022,,"20 On One Handicap Elimination:Wardlowdefeats Plantiffs (Anaya,ATM,Camaro Jackson,Campbell Myers,Dan The Dad, Darren Moats, Derek Teter,Jay Marston,JD Griffey,J Fowler,Kenny Alfonso,Luke Langley, Marcus Muncherson,Merc,Mike Outlaw,Moses The Deliverer,Niles Plonk,Rahim De La Suede,SK Bishop&Wrex Amadeus) (4:09)AEW Dynamite #141 - Road Rager 2022 - Tag 1- TV-Show @ Chaifetz Arena in St. Louis, Missouri, USA",
41,01.06.2022,,"WardlowdefeatsJD Drake(1:11)AEW Dynamite #139- TV-Show @ The Kia Forum in Inglewood, California, USA",
42,29.05.2022,,"WardlowdefeatsMJF(7:30)AEW Double Or Nothing 2022- Pay Per View @ T-Mobile Arena in Paradise, Nevada, USA",
43,25.05.2022,,"Steel Cage Match (Special Referee: MJF):WardlowdefeatsShawn Spears(6:53)AEW Dynamite #138 - 3 Year Anniversary- TV-Show @ Michelob ULTRA Arena in Las Vegas, Nevada, USA",
44,04.05.2022,,"WardlowdefeatsW. Morrissey(5:32)AEW Dynamite #135- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",
45,27.04.2022,,"WardlowdefeatsLance Archer(5:29)AEW Dynamite #134- TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA",
46,20.04.2022,,"WardlowdefeatsThe Butcher(4:20)AEW Dynamite #133- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",
47,16.03.2022,,"AEW TNT Title:Scorpio Sky(c) defeatsWardlow(9:20)AEW Dynamite #128 - St. Patrick's Day Slam 2022- TV-Show @ Freeman Coliseum in San Antonio, Texas, USA",
48,06.03.2022,,"Face Of The Revolution Ladder:WardlowdefeatsChristian CageandKeith LeeandOrange CassidyandPowerhouse HobbsandRicky Starks(18:18)AEW Revolution 2022- Pay Per View @ Addition Financial Arena in Orlando, Florida, USA",
49,02.03.2022,,"WardlowdefeatsCezar Bononi(0:50)AEW Dynamite #126- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
50,23.02.2022,,"WardlowdefeatsNick Comoroto(6:25)AEW Rampage #29- TV-Show @ Webster Bank Arena in Bridgeport, Connecticut, USA",
51,16.02.2022,,"Face Of The Revolution Qualifying:WardlowdefeatsMax Caster(5:18)AEW Dynamite #124- TV-Show @ Nashville Municipal Auditorium in Nashville, Tennessee, USA",
52,09.02.2022,,"WardlowdefeatsThe Blade(6:15)AEW Dynamite #123- TV-Show @ Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",
53,26.01.2022,,"Two On One Handicap:WardlowdefeatsElijah Dean&James Alexander(1:23)AEW Dynamite #121 - Beach Break 2022 - Tag 1- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",
54,12.01.2022,,"CM PunkdefeatsWardlow(14:06)AEW Dynamite #119- TV-Show @ PNC Arena in Raleigh, North Carolina, USA",
55,05.01.2022,,"WardlowdefeatsAntonio Zambrano(1:23)AEW Dynamite #118- TV-Show @ Prudential Center in Newark, New Jersey, USA",
56,29.12.2021,,"WardlowdefeatsColin Delaney(1:24)AEW Dynamite #117 - New Year's Smash 2021 - Tag 1- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
57,28.12.2021,,"Dark:The Pinnacle(Shawn Spears&Wardlow) defeat ??? & ???AEW Dark #124- Dark Match @ Daily's Place in Jacksonville, Florida, USA",
58,22.12.2021,,"WardlowdefeatsShawn Dean(1:14)AEW Dynamite #116 - Holiday Bash 2021 - Tag 1- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",
59,15.12.2021,,"WardlowdefeatsMatt Sydal(1:25)AEW Dynamite #115 - Winter Is Coming 2021- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",
60,08.12.2021,,"Dynamite Diamond Ring 2021 Battle Royal:Dante MartinandMJFdefeatFrankie KazarianandJay LethalandLee JohnsonandLee MoriartyandLio RushandMatt HardyandMatt SydalandPowerhouse HobbsandRicky StarksandWardlow(8:26)AEW Dynamite #114- TV-Show @ UBS Arena in Elmont, New York, USA",
61,03.12.2021,,"WardlowdefeatsCasanova(1:00)AEW Dark #123- Online Stream @ Universal Studios in Orlando, Florida, USA",
62,03.12.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatJay Marte&Richard King(2:41)AEW Dark #120- Online Stream @ Universal Studios in Orlando, Florida, USA",
63,01.12.2021,,"WardlowdefeatsAC Adams(1:30)AEW Dynamite #113- TV-Show @ Gas South Arena in Duluth, Georgia, USA",
64,12.11.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatArik Cannon&Renny D(4:18)AEW Dark #117- Online Stream @ Target Center in Minneapolis, Minnesota, USA",
65,10.11.2021,,"WardlowdefeatsWheeler Yuta(2:14)AEW Dynamite #110- TV-Show @ Indiana Farmers Coliseum in Indianapolis, Indiana, USA",
66,05.11.2021,,"WardlowdefeatsRyan Mantellby referee's decision (0:56)AEW Dark #116- Online Stream @ Chaifetz Arena in St. Louis, Missouri, USA",
67,24.10.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatBear Country(Bear Boulder&Bear Bronson) (8:10)AEW Dark #119- Online Stream @ Universal Studios in Orlando, Florida, USA",
68,24.10.2021,,"WardlowdefeatsRolando Perezby referee's decision (1:30)AEW Dark #118- Online Stream @ Universal Studios in Orlando, Florida, USA",
69,15.10.2021,,"WardlowdefeatsWill Austinby referee's decision (1:53)AEW Dark: Elevation #33- Online Stream @ James L. Knight Center in Miami, Florida, USA",
70,29.09.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatFuego Del Sol&Marko Stunt(6:10)AEW Dark: Elevation #31- Online Stream @ Blue Cross Arena in Rochester, New York, USA",
71,11.09.2021,,"WardlowdefeatsJDXby referee's decision (2:48)AEW Dark #109- Online Stream @ Universal Studios in Orlando, Florida, USA",
72,11.09.2021,,"WardlowdefeatsDarian Bengston(2:01)AEW Dark #112- Online Stream @ Universal Studios in Orlando, Florida, USA",
73,11.09.2021,,"The Pinnacle(Cash Wheeler,Dax Harwood,Shawn Spears&Wardlow) defeatAaron Frye, Austin Green,Baron Black&Dean Alexander(7:05)AEW Dark #111- Online Stream @ Universal Studios in Orlando, Florida, USA",
74,03.09.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatBrandon Gore&JDX(3:33)AEW Dark #106- Online Stream @ NOW Arena in Hoffman Estates, Illinois, USA",
75,11.08.2021,,"Fourth Labour Of Jericho:Chris JerichodefeatsWardlow(10:06)AEW Dynamite #97- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",
76,04.08.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatRipper Zbyszko&Seth Gargis(2:59)AEW Dark #102- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
77,28.07.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatFuego Del Sol&Shawn Dean(2:46)AEW Dark #100- Online Stream @ Bojangles Coliseum in Charlotte, North Carolina, USA",
78,21.07.2021,,"WardlowdefeatsBear Bronsonby referee's decision (4:32)AEW Dark: Elevation #20- Online Stream @ Curtis Culwell Center in Garland, Texas, USA",
79,14.07.2021,,"WardlowdefeatsChad Lennexby referee's decision (0:31)AEW Dark #98- Online Stream @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",
80,07.07.2021,,"The Pinnacle(Cash Wheeler,Dax Harwood&Wardlow) defeatThe Inner Circle(Jake Hager,Ortiz&Santana) (8:56)AEW Dynamite #92 - Road Rager 2021- TV-Show @ James L. Knight Center in Miami, Florida, USA",
81,06.07.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatHunter Knott&Rosario Grillo(3:39)AEW Dark #96- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
82,29.06.2021,,"WardlowdefeatsBaron Blackby referee's decision (2:33)AEW Dark #95- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
83,06.06.2021,,"The Pinnacle(Shawn Spears&Wardlow) defeatKal Herro&Ryzinby referee's decision (3:31)AEW Dark: Elevation #15- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
84,06.06.2021,,"MMA Rules Cage:Jake HagerdefeatsWardlowby referee's decision [Runde 2] (9:13)AEW Dynamite #89 - Friday Night Dynamite- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
85,05.06.2021,,"WardlowdefeatsJason Hotchby referee's decision (1:17)AEW Dark: Elevation #14- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
86,05.06.2021,,"WardlowdefeatsChandler Hopkinsby referee's decision (1:36)AEW Dark #93- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
87,30.05.2021,,"Stadium Stampede:The Inner Circle(Chris Jericho,Jake Hager,Ortiz,Sammy Guevara&Santana) defeatThe Pinnacle(Cash Wheeler,Dax Harwood,MJF,Shawn Spears&Wardlow) (32:26)AEW Double Or Nothing 2021- Pay Per View @ Daily's Place in Jacksonville, Florida, USA",
88,05.05.2021,,"Blood And Guts:The Pinnacle(Cash Wheeler,Dax Harwood,MJF,Shawn Spears&Wardlow) defeatThe Inner Circle(Chris Jericho,Jake Hager,Ortiz,Sammy Guevara&Santana) (33:58)AEW Dynamite #83 - Blood & Guts 2021- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
89,06.01.2021,,"WardlowdefeatsJake Hager(10:24)AEW Dynamite #66 - New Year's Smash 2021 - Tag 1- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
90,02.12.2020,,"Dynamite Diamond Ring 2020 Battle Royal:MJFandOrange CassidydefeatAdam PageandAlex ReynoldsandIsiah KassidyandJoey JanelaandJohn SilverandJungle BoyandKip SabianandLee JohnsonandLutherandMarq QuenandMatt HardyandMatt SydalandMiroandSammy GuevaraandScorpio SkyandSerpenticoandShawn SpearsandWardlow(12:21)AEW Dynamite #61 - Winter Is Coming 2020- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
91,04.11.2020,,"MJF&WardlowdefeatThe Inner Circle(Ortiz&Sammy Guevara) (9:27)AEW Dynamite #57- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
92,22.10.2020,,"AEW World TitleEliminator Tournament Semi Final:Adam PagedefeatsWardlow(9:47)AEW Dynamite #56- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
93,21.10.2020,,"AEW World TitleEliminator Tournament First Round:WardlowdefeatsJungle Boy(8:26)AEW Dynamite #55- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
94,14.10.2020,,"WardlowdefeatsVinny Pacificoby referee's decision (1:00)AEW Dark #57- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
95,10.10.2020,,"Control Of IWC:Team IWC (Andrew Palace,Bill Collier,Jack Pollock, Justin Plummer &Wardlow) defeat The Regulators (Chris LeRusso,David Lawless, Don Murphy,Jock Samson&Officer Dan Murphy)IWC Winner Takes All 2020- Event @ Wild Things Park in Washington, Pennsylvania, USA",
96,07.10.2020,,"WardlowdefeatsElijah Deanby referee's decision (1:57)AEW Dark #56- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
97,16.07.2020,,"WardlowdefeatsAaron Solowby referee's decision (2:54)AEW Dark #44- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
98,01.07.2020,,"The Jurassic Express(Jungle Boy&Luchasaurus) defeatMJF&Wardlow(11:02)AEW Dynamite #39 - Fyter Fest 2020 - Tag 1- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
99,24.06.2020,,"Lumberjack:WardlowdefeatsLuchasaurus(9:16)AEW Dynamite #38- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
100,27.05.2020,,"AEW TNT Title#1 Contendership Battle Royal:Jungle BoydefeatsBillyandBrandon CutlerandChristopher DanielsandColt CabanaandLuchasaurusandLutherandMarko StuntandMJFandOrange CassidyandPeter AvalonandSonny KissandWardlow(11:55)AEW Dynamite #34- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
101,20.05.2020,,"WardlowdefeatsGrimby referee's decision (2:56)AEW Dark #35- Online Stream @ Daily's Place in Jacksonville, Florida, USA",
