date,event,result,location,image_url
1,01.06.2019,,"Bruiser Strong Rumble:Drolixdefeats2-Dopeand ??? and ??? and ??? andBrandon ScottandCandiandDante CaballeroandDevan DixonandDiego CruzandDirty MoneyandEarl The PearlandGenesisandGreg ExcellentandHoss HagoodandJimmy StarzandJoe KeysandKekoaandKen Dixonand Lil' Joker andLor DiazandPat AnthonyandQenaan CreedandRayoandRich Myersand Ringside Ryan andRonnie ZukkoandRyan McBrideandSexy SteveandShaun CannonandSilas MasonandTaraandThe Sicknessand TrickMCW Jimmy's Slamboree- Event @ MCW Arena in Joppa, Maryland, USA",
2,10.08.2013,,"MCW Tag Team TitleSeven Way:Buck Chyld&G-FeddefeatAdam Flash&Ronnie Zukko(c) andThe Hell Cats(Jimmy Starz&Sexy Steve) andHoss HagoodandMitch Miller&Paul Whiteand2-Dope&Napalm BombandChuck Lennox&Solo-TITLE CHANGE !!!MCW Shane Shamrock Memorial Cup 2013- Event @ The New Green Room in Dundalk, Maryland, USA",
3,07.07.2012,,"MCW Tag Team TitleGauntlet:Fed Up(C-Fed&G-Fed) (c) defeatBlack Wallstreet(Chuck Lennox&Drolix) andBuck Chyld&Napalm BombandHoss Hagood&Mustafa Aziz DanielsandThe Ghetto Mafia(2-Dope&Qenaan Creed) andThe Holy Rollers(Earl The Pearl&Ramblin' Rich)MCW Shane Shamrock Memorial Cup 2012- Event @ The New Green Room in Dundalk, Maryland, USA",
4,06.04.2012,,"The Foreign Exchange(Boris Dragoff&Mustafa Aziz Daniels) defeatThe Ghetto Mafia(2-Dope&Qenaan Creed)MCW Bodyslam Autism II- Event @ The New Green Room in Dundalk, Maryland, USA",
5,25.02.2012,,"MCW Tag Team Title:Black Wallstreet(Chuck Lennox&Drolix) (c) defeatThe Ghetto Mafia(2-Dope&Qenaan Creed)MCW Anniversary 2012- Event @ The New Green Room in Dundalk, Maryland, USA",
6,03.06.2011,,"Three Way:Ghetto Mafia(2-Dope&Qenaan Creed) defeatThe Dirty Rotten Scoundrelz(EC Negro&KC Blade) andGrim Reefer&RuckusUWF First Blood- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",
7,21.02.2009,,"The Ghetto Mafia(2-Dope&Qenaan Creed) defeatCole Calloway&Rhett TitusMCW Anniversary 2009- Event @ The New Green Room in Dundalk, Maryland, USA",
8,27.12.2008,,"MCW Tag Team TitleLadder:The Hot Shots(Ryan McBride&Teddy Stigma) defeatThe Ghetto Mafia(2-Dope&Qenaan Creed) (c) -TITLE CHANGE !!!MCW Holiday Hell 2008- Event @ The New Green Room in Dundalk, Maryland, USA",
9,02.11.2008,,"MCW Tag Team Title:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatThe Real Rehobeth Beach Crew(Tyler Hilton&Zachary Shane)MCW Monster Mash 2008- Event @ The New Green Room in Dundalk, Maryland, USA",
10,19.07.2008,,"MCW Tag Team TitleFalls Count Anywhere:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatAdam Flash&Corporal PunishmentMCW Shane Shamrock Memorial Cup 2008 - Tag 2- Event @ North Point Arena in Dundalk, Maryland, USA",
11,18.07.2008,,"MCW Tag Team TitleLadder:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatRyan McBride&Teddy StigmaMCW Shane Shamrock Memorial Cup 2008 - Tag 1- Event @ North Point Arena in Dundalk, Maryland, USA",
12,04.05.2008,,"MCW Tag Team TitleThree Way:The Ghetto Mafia(2-Dope&Qenaan Creed) defeatJohnny Hardwick&Zachary Shane(c) andRyan McBride&Teddy Stigma-TITLE CHANGE !!!MCW Xtreme Measures 2008- Event @ MCW Arena in Dundalk, Maryland, USA",
13,05.04.2008,,"MCW Tag Team TitleThree Way Elimination:Johnny Hardwick&Zachary ShanedefeatRyan McBride&Teddy StigmaandThe Ghetto Mafia(2-Dope&Qenaan Creed) (c) -TITLE CHANGE !!!MCW Breaking Balls & Busting Heads- Event @ North Point Plaza in Dundalk, Maryland, USA",
14,24.02.2008,,"MCW Tag Team Title:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatJohnny Hardwick&Zachary ShaneMCW Anniversary 2008- Event @ MCW Arena in Dundalk, Maryland, USA",
15,26.12.2007,,"MCW Tag Team Title:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatThe Headliners(Jimmy Jannetty&Ramblin' Rich)MCW Holiday Homecoming 2007- Event @ Michaels 8th Avenue in Glen Burnie, Maryland, USA",
16,04.11.2007,,"MCW Tag Team TitleTriple Threat:The Ghetto Mafia(2-Dope&Qenaan Creed) (c) defeatBLKOUT(Ruckus&Sabian) andCreative Control(Adam Flash&Tom Brandi)MCW Monster Mash 2007- Event @ MCW Arena in Dundalk, Maryland, USA",
17,09.09.2007,,"MCW Tag Team Title:The Ghetto Mafia(2-Dope&Qenaan Creed) defeatBLKOUT(Ruckus&Sabian) (c) -TITLE CHANGE !!!MCW Kickoff Chaos- Event @ MCW Arena in Dundalk, Maryland, USA",
18,09.06.2007,,"Danny Doring&Patrick BrinkdefeatThe Ghetto Mafia(2-Dope&Qenaan Creed) (11:47)UWF/MCW- Event @ Fort Meade Pavilion in Fort Meade, Maryland, USA",
19,06.05.2007,,"The Ghetto Mafia(2-Dope&Qenaan Creed) defeatThe Midnight Idols(Fabulous Fabian&Nicky Benz)MCW Xtreme Measures 2007- Event @ MCW Arena in Dundalk, Maryland, USA",
20,21.04.2007,,"The Voodoo Kin Mafia(BG James&Kip James) defeatThe Ghetto Mafia(2-Dope&Qenaan Creed)MCW Aggravated Assault 2007- Event @ The Arena Club in Bel Air, Maryland, USA",
