date,event,result,location,image_url
1,05.09.2025,,"Aleister BlackdefeatsDamian Priest(9:37)WWE Friday Night SmackDown #1359- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
2,24.08.2025,,"Damian PriestdefeatsAleister BlackWWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
3,23.08.2025,,"Damian PriestdefeatsAleister BlackWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
4,15.08.2025,,"Dark:R-TruthdefeatsAleister Blackby DQWWE Friday Night SmackDown #1356- Dark Match @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
5,01.08.2025,,"Damian PriestdefeatsAleister Blackby DQ (8:47)WWE Friday Night SmackDown #1354- TV-Show @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
6,11.07.2025,,"R-TruthdefeatsAleister Black(2:07)WWE Friday Night SmackDown #1351- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
7,13.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Randy OrtondefeatsAleister BlackandCarmelo HayesandLA Knight(16:15)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
8,06.06.2025,,"LA KnightdefeatsAleister Blackby DQ (13:20)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
9,23.05.2025,,"Money In The Bank Qualifying Triple Threat:LA KnightdefeatsAleister BlackandShinsuke Nakamura(11:00)WWE Friday Night SmackDown #1344- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
10,16.05.2025,,"Aleister BlackdefeatsCarmelo Hayesby DQ (10:26)WWE Friday Night SmackDown #1343- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
11,09.05.2025,,"Aleister BlackdefeatsCarmelo Hayes(9:14)WWE Friday Night SmackDown #1342- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
12,02.05.2025,,"Aleister BlackdefeatsThe Miz(9:29)WWE Friday Night SmackDown #1341- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
13,11.01.2025,,"Malakai BlackdefeatsOrion(14:50)CCW Havoc And Haze 9- Event @ Magnanimous Brewing Company in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
14,23.11.2024,,"AEW World Tag Team TitleFour Way:Private Party(Quen&Zay) (c) defeatKings Of The Black Throne(Brody King&Malakai Black) andThe Acclaimed(Anthony Bowens&Max Caster) andThe Outrunners(Truth Magnum&Turbo Floyd) (13:29)AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
15,13.11.2024,,"Full Gear Four Way Contenders Series:Kings Of The Black Throne(Brody King&Malakai Black) defeatFTR(Cash Wheeler&Dax Harwood) (13:34)AEW Dynamite #267- TV-Show @ Total Mortgage Arena in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
16,07.11.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatIron Savages(Beefcake Boulder,Bulk Bronson&Jacked Jameson) (3:25)AEW Collision #69- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
17,06.11.2024,,"Adam ColedefeatsMalakai Black(12:47)AEW Dynamite #266- TV-Show @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
18,23.10.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatJaden Monroe, Kevin Koa & Pirata de la Muerte (2:00)AEW Dynamite #264- TV-Show @ Maverik Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
19,17.10.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatAlpha Zo,Chris Nastyy&Olumide(2:49)AEW Collision #66- TV-Show @ Adventist Health Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
20,03.10.2024,,"AEW World Tag Team Title#1 Contendership Three Way:Private Party(Quen&Zay) defeatHouse Of Black(Buddy Matthews&Malakai Black) andTop Flight(Dante Martin&Darius Martin) (11:52)AEW Collision #65- TV-Show @ Huntington Center in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
21,21.09.2024,,"House Of Black(Buddy Matthews&Malakai Black) defeatAction Andretti&Lio Rush(9:02)AEW Rampage #164- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
22,25.08.2024,,"AEW World Trios TitleLondon Ladder:Blackpool Combat Club(Claudio Castagnoli&Wheeler Yuta) &PACdefeatThe Patriarchy(Christian Cage,Killswitch&Nick Wayne) (c) andHouse Of Black(Brody King,Buddy Matthews&Malakai Black) andBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (18:58) -TITLE CHANGE !!!AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
23,10.08.2024,,"AEW World Trios Title#1 Contendership Match (Special Referee: Christian Cage):Bang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) vs.House Of Black(Brody King,Buddy Matthews&Malakai Black) - Double KO (16:11)AEW Collision #57- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
24,06.07.2024,,"Kings Of The Black Throne(Brody King&Malakai Black) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (9:54)AEW Rampage #153- TV-Show @ Landers Center in Southaven, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
25,30.06.2024,,"Four Way:Kings Of The Black Throne(Brody King&Malakai Black) defeatGabe Kidd&Roderick StrongandKyle O'Reilly&Tomohiro IshiiandPrivate Party(Isiah Kassidy&Marq Quen) (8:39)AEW/NJPW Forbidden Door 2024 - Zero Hour- Online Stream @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
26,20.06.2024,,"Kings Of The Black Throne(Brody King&Malakai Black) defeatLSG&MSG(1:53)AEW Collision #50- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
27,15.06.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (18:24)AEW Collision #49 - 1 Year Anniversary- TV-Show @ Covelli Centre in Youngstown, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
28,26.05.2024,,"AEW TNT TitleBarbed Wire Steel Cage:Adam Copeland(c) defeatsMalakai Black(20:11)AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
29,22.05.2024,,"Malakai BlackdefeatsKyle O'Reilly(10:17)AEW Dynamite #242- TV-Show @ Mechanics Bank Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
30,21.04.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatAdam Copeland,Eddie Kingston&Mark Briscoe(17:46)AEW Dynasty 2024- Pay Per View @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
31,13.04.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatAction Andretti,Dante Martin&Matt Sydal(14:24)AEW Collision #41- TV-Show @ Truist Arena in Highland Heights, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Aleister_Black_2017_WWE_%28cropped%29.jpg
