date,event,result,location,image_url
1,05.09.2025,,"Mustafa AlidefeatsBrian Myers(2:34)TNA iMPACT #1104- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
2,04.09.2025,,"The Nemeths(Nic Nemeth&Ryan Nemeth) defeatThe System(Brian Myers&Eddie Edwards) (12:44)TNA iMPACT #1103- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
3,16.08.2025,,"Order 4(Jason Hotch,John Skyler&Mustafa Ali) defeatMatt Cardona&The System(Brian Myers&Moose) (10:14)TNA iMPACT #1100- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
4,15.08.2025,,"First Class(AJ Francis&Rich Swann) defeatThe System(Brian Myers&Eddie Edwards) (8:30)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
5,09.08.2025,,"Bear Bronson,Seabass Finn&Tommy DreamerdefeatThe System(Brian Myers,Eddie Edwards&JDC) (11:35)Limitless Vacationland Cup 2025- Online Stream @ The Colisee in Lewiston, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
6,25.07.2025,,"First Class(AJ Francis&Rich Swann) &Trick WilliamsdefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:12)TNA iMPACT #1099- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
7,24.07.2025,,"The Great Hands(Jason Hotch&John Skyler) defeatBrian Myers&Matt Cardona(3:04)TNA iMPACT #1096- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
8,20.07.2025,,"Matt Cardona&The System(Brian Myers,Eddie Edwards&JDC) defeatDarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) (6:43)TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
9,18.07.2025,,"Triple Threat:CarlitodefeatsBrian MyersandLeo Sparrow(6:32)ACW Fallout- Pay Per View @ MJN Convention Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
10,12.06.2025,,"Maxwell Street Heritage Title:Sean Login(c) defeatsBrian Myers2econd Breaking The Rules- Event @ Durty Nellie's in Palatine, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
11,06.06.2025,,"Leon Slater,The Hardys(Jeff Hardy&Matt Hardy) &The Home Town MandefeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:37)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
12,31.05.2025,,"CAP Tag Team Title:The Shooter Boys(Aaron Ortiz & Anthony Vecchio) defeatThe System(Brian Myers&Eddie Edwards) (c) (9:18) -TITLE CHANGE !!!CAP The Chosen Ones- Online Stream @ All Sportz Melville in Melville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
13,25.05.2025,,"The Northern Armory(Judas Icarus&Travis Williams) [Canada] defeatThe System(Brian Myers&Eddie Edwards) [USA] (7:38)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
14,25.05.2025,,"Mixed:Cody Deaner,Jody Threat,Matt Hardy,Santino Marella&Tommy DreamerdefeatThe System(Alisha Edwards,Brian Myers,Eddie Edwards,JDC&Moose) (8:44)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
15,24.05.2025,,"TNA World Tag Team Title#1 Contendership Four Way:The Rascalz(Trey Miguel&Zachary Wentz) defeatFirst Class(AJ Francis&KC Navarro) andLaredoandThe System(Brian Myers&Eddie Edwards) (12:44)TNA iMPACT #1088- TV-Show @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
16,23.05.2025,,"The Northern Armory(Eric Young,Judas Icarus&Travis Williams) defeatThe System(Brian Myers,JDC&Moose) (12:00)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
17,17.05.2025,,"Match (Special Referee: Swoggle):Brian Myersvs.Nick Colucci- Double DQACW WaterCity WrestlingCon 2025- Event @ Oshkosh Convention Center in Oshkosh, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/e4/Brian_Meyers_JDC_081025.jpg
