date,event,result,location,image_url
1,02.09.2025,,"WWE Women's Speed Title#1 Contendership Tournament Semi Final:Candice LeRaedefeatsXia Brookside(2:36)WWE NXT #801- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
2,13.07.2025,,"20 Woman Battle Royal:Stephanie VaquerdefeatsAlba FyreandB-FabandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIzzi DameandJaida ParkerandKelani JordanandLash LegendandLola ViceandMaxxine DupriandMichinandNatalyaandNia JaxandNikki BellaandPiper NivenandTatum PaxleyandZelina Vega(15:32)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
3,13.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Alexa BlissdefeatsAlba FyreandCandice LeRaeandCharlotte Flair(10:59)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
4,06.06.2025,,"Candice LeRaedefeatsB-Fab(5:04)WWE Main Event #663- Online Stream @ Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
5,02.06.2025,,"Candice LeRaedefeatsMichin(6:29)WWE Main Event #662- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
6,30.05.2025,,"Dark:Candice LeRaedefeatsMichinWWE Friday Night SmackDown #1345- Dark Match @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
7,11.04.2025,,"WWE Women's Speed Title:Sol RucadefeatsCandice LeRae(c) (4:01) -TITLE CHANGE !!!WWE Speed #67- Online Stream @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
8,01.03.2025,,"Tiffany Stratton&Trish StratusdefeatCandice LeRae&Nia Jax(11:41)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
9,21.02.2025,,"Tiffany StrattondefeatsCandice LeRae(13:00)WWE Friday Night SmackDown #1331- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
10,21.02.2025,,"WWE Women's Speed Title:Candice LeRae(c) vs.Zoey Stark- Time Limit Draw (5:00)WWE Speed #59- Online Stream @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/de/Candice_LeRae_Nov_2014.jpg
