date,event,result,location,image_url
1,06.09.2025,,"UKWA Steiermark Title:Mexxberg(c) defeatsChris Mastersby DQUKWA Summersmash- Event @ Sport-und Kultursaal in Anger bei Weiz, Steiermark, Österreich",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
2,06.09.2025,,"UKWA Tag Team Title:Chris Masters&MexxbergdefeatAUTlaws(John Drake&Scott Iron) (c) -TITLE CHANGE !!!UKWA Summersmash- Event @ Sport-und Kultursaal in Anger bei Weiz, Steiermark, Österreich",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
3,09.08.2025,,"Chris AdonisdefeatsTim StrangeTarget Wrestling- Event @ BOX ARENA in Carlisle, Cumbria, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
4,21.06.2025,,"Mr. Billy BdefeatsChris Masters(13:53)FULL Serenamania XL- Online Stream @ Polideportivo Las Companias in La Serena, Region de Coquimbo, Chile",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
5,02.06.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 24- Event @ Plaza 88 in Prince Albert, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
6,01.06.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 23- Event @ Chief John Keenatch Gymnasium in Big River First Nation, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
7,31.05.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 22- Event @ Norwood Legion in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
8,24.05.2025,,"ElijahdefeatsChris AdonisWWA Hysteria 162 - Over The Top 2025- Event @ Owensboro Sportscenter in Owensboro, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
9,17.05.2025,,"Chris MastersdefeatsMil MuertesNTLL Aftermath- Event @ Unit 101 in Palmdale, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
10,16.05.2025,,"Chris MastersdefeatsVito FratelliRMW- Event @ Elk Lodge Club in Oxnard, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
11,10.05.2025,,"NWE World Heavyweight TitleMatch (vakant):Chris Mordetzkyvs.Nic Nemeth- No Contest (14:44)NWE Purgatory- Event @ Palacollegno in Collegno, Piemont, Italien",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
12,02.05.2025,,"NeeldefeatsChris AdonisWXM Ground Zero: Powerbomb At WAVES Mumbai- Event @ NSCI Dome in Mumbai, Maharashtra, Indien",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
13,05.04.2025,,"MLW World Heavyweight Title40 Man Battle Riot VII:Matt Riddle(c) defeatsAlex HammerstoneandAlex KaneandAnthony GreeneandAriel DominguezandAtlantisandAtlantis Jr.andBarbaro CavernarioandBishop DyerandBlue PantherandBobby FishandBrett Ryan GosselinandBrock AndersonandChris AdonisandCW AndersonandDonovan DijakandDr. DaxandEsfingeandHechiceroandIkuro KwonandJesus RodriguezandJourney FatuandJuicy FinauandKUSHIDAandMads Krule KrüggerandMagnusandMatthew JusticeandMr. ThomasandOkumuraandPaul LondonandPaul Walter HauserandRaj DhesiandRob Van DamandSatoshi KojimaandShane HasteandStar Jr.andTitus AlexanderandTom LawlorandUltimo GuerreroandVirus(66:31)MLW Battle Riot VII- Online Stream @ Thunder Studios Arena in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
14,31.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 11- Event @ Dryden Regional Training And Cultural Centre in Dryden, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
15,30.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 10- Event @ Couchiching Multi-Use Facility in Fort Frances, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
16,29.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 9- Event @ Moose Hall in Thunder Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
17,28.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 8- Event @  Lakeview Community Hall in Marathon, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
18,27.03.2025,,"Chris Masters&Vinnie DaVincidefeatChad Daniels&Diego DaVinciCWE The Point To Prove Tour 2025 - Tag 7- Event @ Soo Blaster in Sault Ste Marie, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
19,26.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 6- Event @ Collins Hall in Elliot Lake, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
20,25.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 5- Event @ West Nipissing Community & Recreation Centre in Sturgeon Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
21,24.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 4- Event @ Polish Combatants Hall in Sudbury, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
22,23.03.2025,,"CWE Title:Chad Daniels(c) defeatsChris MastersCWE The Point To Prove Tour 2025 - Tag 3- Event @ Four Directions Event Complex in Manitoulin Island, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
23,20.03.2025,,"Brian Cagevs.Chris Masters- No ContestOWA- Pay Per View @ The Vermont Hollywood in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
24,15.03.2025,,"Chris MastersdefeatsTony MackoMCW Winter Blast 2025 - Tag 5- Event @ Coppermine Pantherplex in Hampstead, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
25,14.03.2025,,"Colton CharlesdefeatsChris MastersWrestlePro My Brother's Keeper: Community Night Out Wrestling Event- Event @ Yonkers Middle High School in Yonkers, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
26,08.03.2025,,"K-1 Classic Title:The Underground King(c) defeatsChris MastersTOS Lone Survivor 6- Online Stream @ St. Thomas Church Parish in Palmer, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
27,18.01.2025,,"Chris Mastersdefeats JC WesterfieldAWF New Dawn 2025- Event @ Bull Shooters in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
28,15.12.2024,,"Madman FultondefeatsChris Masters(12:05)BRCW Festival Of Fights- Online Stream @ VIP Ballroom At CBI in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
29,07.12.2024,,"Chris MastersdefeatsTommy Billingtonby referee's decisionNCG Legacy- Event @ Leamington Portuguese Community Club in Leamington, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
30,10.11.2024,,"Stu Hart Heritage Title:Raj DhesidefeatsChris Masters(c) -TITLE CHANGE !!!Dungeon Wrestling November Pain- Event @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
31,26.10.2024,,"HAW Title:Gunner Brave(c) defeatsChris MastersHAW Never Surrender- Event @ Bettendorf Community Center in Bettendorf, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
32,05.10.2024,,"Chris Masters&Riea Von SlasherdefeatThe Brand(Shaun Martens&Sydney Steele)Thrash Wrestling Better Yet- Event @ Trail Memorial Centre in Trail, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
33,04.10.2024,,"Chris MastersdefeatsCharlie JosephThrash Wrestling The Full Nelson- Event @ Rod & Gun Club in Nelson, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
34,17.08.2024,,"Chris Adonis&Jack Siriusdefeat GBA (Jayden Mercer&Tylor Sullivan)BCW Summer Sizzler 2024- Event @ Elks Lodge 400 in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
35,06.07.2024,,"Bobby BrennandefeatsChris AdonisFlashback Pro Episode VIII: Rimrock Rumble- Event @ Centennial Ice Arena in Billings, Montana, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
36,22.06.2024,,"Chris MastersdefeatsAnthony IdolSCP Summer Sizzle 2024- Event @ Boys & Girls Club in Vista, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
37,21.06.2024,,"Stu Hart Heritage Title:Chris Masters(c) defeatsDangoDungeon Wrestling Slampede- Event @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
38,15.06.2024,,"Northland Wrestling King Of The North Title:Nick Andrew defeatsChris Adonis(c) -TITLE CHANGE !!!Northland Wrestling Conquest VI- Event @ St-Andrew's United Church in North Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
39,01.06.2024,,"Mr. AndersondefeatsChris MastersRPW Homecoming 2- Event @ Waupaca Expo Center in Waupaca, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
40,11.05.2024,,"WWC Universal Heavyweight TitleMatch (Special Referee: Ray Gonzalez):Intelecto 5 Estrellas defeatsChris Adonis(c) -TITLE CHANGE !!!WWC Honor Vs. Traicion 2024- Event @ CBT. Pepin Cestero in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
41,20.04.2024,,"Northland Wrestling King Of The North Title:Chris Adonisdefeats Nick Andrew (c) -TITLE CHANGE !!!Northland Wrestling Malice- Event @ St-Andrew's United Church in North Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
42,19.04.2024,,"Wesley PipesdefeatsChris MastersMPW Retribution- Event @ Skowhegan Community Center in Skowhegan, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
43,13.04.2024,,"Stu Hart Heritage Title:Chris Masters(c) defeatsMike Rallis(12:42)OPW Australian Stampede- Pay Per View @ Selkirk Stadium in Ballarat, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
44,29.03.2024,,"Stu Hart Heritage Title:Chris Masters(c) defeatsSteve MaclinDungeon Wrestling Unfinished Business II- Event @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
45,23.03.2024,,"Chris AdonisdefeatsRampage SantanaFlashback Pro Into The Wrestle-Verse- Event @ Miles City Fairgrounds in Miles City, Montana, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
46,17.03.2024,,"NTLL Gladiator Title:G. Sharpe(c) defeatsChris MastersNTLL DangerZone Afterburn- Event @ East LA Rising in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
47,16.03.2024,,"NTLL Gladiator Title:Chris MastersdefeatsJ2 Mattioli(c) -TITLE CHANGE !!!NTLL DangerZone Reloaded- Event @ Unit 101 in Palmdale, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
48,16.03.2024,,"NTLL Gladiator Title:G. SharpedefeatsChris Masters(c) -TITLE CHANGE !!!NTLL DangerZone Reloaded- Event @ Unit 101 in Palmdale, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
49,09.03.2024,,"WWC Universal Heavyweight Title:Chris Adonis(c) defeats Intelecto 5 EstrellasWWC La Hora De La Verdad 2024- Event @ Coliseo Mario Morales in Guaynabo, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
50,24.02.2024,,"AWF Heavyweight   TitleFour Way:Chubby DeppdefeatsPaul London(c) andAydan ColtandChris Masters-TITLE CHANGE !!!AWF Triumph 2024- Online Stream @ PHX Beer Co. in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
51,10.02.2024,,"Chris Adonis&Thom Latimerdefeat Killian Krowe & Sean O'ReillySXPW- Event @ Cheyenne YMCA in Cheyenne, Wyoming, USA",https://upload.wikimedia.org/wikipedia/commons/a/aa/Chris_Adonis_BFG_17.jpg
