date,event,result,location,image_url
1,30.08.2025,,"Colt Cabanadefeats Mac HartmanThey Live Wrestling All Out Of Bubble Gum- Event @ Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
2,09.08.2025,,"Joe AlonzodefeatsColt Cabana(10:15)AAW Take No Prisoners 2025- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
3,01.08.2025,,"ACW Heavyweight           Title#1 Contendership 30 Man All Star Rumble:Myles Mason defeatsAdam Graceand Arkadius andArmando Alvarezand Big Rig Baker and Brandon Kaiser andBrock Halland Cameron Carter andChris BaugherandColt CabanaandCypherand Drachen andDrake DanielsandJack Siriusand James Ocean and Kellen Quest and Kodiak Baker and Lauren Lockett and Madd Man Sidd and Miguel Santos andNick Colucciand Preston Palmer and Riley Adams andSalem CraneandShane HillsandShawn PriestandTylor Sullivanand Ty Vogel and Wyatt Boone and XTCACW The 2025 ACW All Star Rumble- Event @ Oshkosh Masonic Center in Oshkosh, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
4,21.06.2025,,"Kongo KongdefeatsOfficer Colt Cabana(2:28)JCW Lunacy #47- Online Stream @ Eagles Club in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
5,29.05.2025,,"JCW Tag Team Title:The Brothers Of Funstruction(Ruffo The Clown&Yabo The Clown) (c) defeat Deputy Dork &Officer Colt Cabana(6:45)OWA Chi-Town Beat Down- Pay Per View @ Admiral Theatre in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
6,25.04.2025,,"Officer Colt CabanadefeatsMickie Knuckles(9:47)JCW Lunacy #33- Online Stream @ The Forge in Joliet, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
7,24.04.2025,,"JCW Heavyweight Title:Willie Mack(c) defeatsOfficer Colt Cabana(8:16)JCW Lunacy #32- Online Stream @ Apollo Theater in Belvidere, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
8,22.03.2025,,"Casey King&Colt CabanadefeatChance Prophet&Troy ParkerASW 19th Anniversary Show- Event @ Madison Civic Center in Madison, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
9,02.03.2025,,"Jewish Heavyweight Title Two On One Handicap:Colt Cabana(c) defeatsThe BackSeat Boyz(JP Grayson&Tommy Grayson) (8:37)Maccabiah Mania III: The Last Hora- Online Stream @ Livingston High School in Livingston, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
10,10.01.2025,,"Heidi HowitzerdefeatsColt Cabana(9:52)LLL We Are The Weirdos, Mister- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
11,15.12.2024,,"Colt CabanadefeatsBull James(9:03)BRCW Festival Of Fights- Online Stream @ VIP Ballroom At CBI in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
12,11.12.2024,,"Dark:Satnam SinghdefeatsColt CabanaAEW Dynamite #271 - Winter Is Coming 2024 - Tag 1- Dark Match @ T-Mobile Center in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
13,05.12.2024,,"FacadedefeatsOfficer Colt CabanaJCW Lunacy #18- Online Stream @ The Hawthorn in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
14,04.12.2024,,"Dark:Satnam SinghdefeatsColt CabanaAEW Dynamite #270- Dark Match @ Fishers Event Center in Fishers, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
15,30.11.2024,,"Officer Colt CabanadefeatsCoKane(7:36)JCW Spanks Givin'- Pay Per View @ Grizzly's Bar & Grill in Wyandotte, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
16,06.11.2024,,"Dark:Satnam SinghdefeatsColt CabanaAEW Dynamite #266- Dark Match @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
17,02.11.2024,,"DanhausendefeatsOfficer Colt Cabana(11:08)GCW HawaiiMania- Pay Per View @ Hawaii Convention Center in Honolulu, Hawaii, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
18,30.10.2024,,"Dark:Satnam SinghdefeatsColt CabanaAEW Dynamite #265 - Fright Night Dynamite- Dark Match @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
19,29.10.2024,,"JCW American TitleFour Way:Caleb Konley(c) defeatsLuigi PrimoandOfficer Colt CabanaandWillie MackJCW Lunacy #15- Online Stream @ The Forge in Joliet, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/45/Colt_Cabana_2018_crop.jpg
