date,event,result,location,image_url
1,21.06.2025,,"Chase StevensdefeatsDavey Richards(21:20)CCW Music City Fight Night 9- Event @ Troubador Theatre in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
2,17.03.2023,,"Dan MoloneydefeatsDavey Richards(15:02)OTT ScrapperMania VII - Tag 1- Event @ The Hangar in Wolverhampton, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
3,12.03.2023,,"Only Friends(Bobby Gunns&Michael Knight) defeatDavey Richards&Masha Slamovich(15:28)wXw 16 Carat Gold 2023 - Tag 3- Online Stream @ Turbinenhalle 1 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
4,11.03.2023,,"wXw Shotgun Title:Laurance Roman(c) defeatsDavey Richards(10:25)wXw 16 Carat Gold 2023 - Tag 2- Online Stream @ Turbinenhalle 1 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
5,11.03.2023,,"AMBITION 14 First Round:Davey RichardsdefeatsLaurance Roman(6:11)AMBITION 14- Online Stream @ Turbinenhalle 1 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
6,11.03.2023,,"AMBITION 14 Semi Final:Fuminori AbedefeatsDavey Richards(4:37)AMBITION 14- Online Stream @ Turbinenhalle 1 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
7,10.03.2023,,"16 Carat Gold Tournament 2023 First Round:Axel TischerdefeatsDavey Richards(16:46)wXw 16 Carat Gold 2023 - Tag 1- Online Stream @ Turbinenhalle 1 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
8,04.03.2023,,"Pick Your Poison:Brandon WilliamsdefeatsDavey RichardsNew South HOSS Tournament 2023 - Tag 2- Online Stream @ Singin' River Brewing Company in Florence, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
9,03.03.2023,,"Heart Of The Southern Sixteen Tournament 2023 First Round:Stallion RogersdefeatsDavey Richards(14:21)New South HOSS Tournament 2023 - Tag 1- Online Stream @ Singin' River Brewing Company in Florence, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
10,26.02.2023,,"Crown Of Glory Title#1 Contendership:Davey RichardsdefeatsRahim De La Suede(13:07)Glory Pro Anniversary 6- Online Stream @ South Broadway Athletic Club in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
11,18.02.2023,,"Cara NoirdefeatsDavey Richards(15:41)1PW No Turning Back- Pay Per View @ The Engine Shed in Lincoln, Lincolnshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
12,11.02.2023,,"Jon Moxley&SchaffdefeatDavey Richards&Zack Sabre Jr.(21:29)DEFY Year 6- Event @ Washington Hall in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
13,04.02.2023,,"Lio RushdefeatsDavey RichardsMLW SuperFight 2023- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
14,03.02.2023,,"Davey RichardsdefeatsAustin Luke(11:45)Garden State PW V- Online Stream @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
15,28.01.2023,,"Davey RichardsdefeatsWarhorseRelentless The Following Contest- Event @ Trailbreaker Cider in Liberty Lake, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
16,27.01.2023,,"PCW ULTRA Light Heavyweight Title:Davey RichardsdefeatsJai Vidal(c) (19:12) -TITLE CHANGE !!!PCW ULTRA Anniver7ary- Event @ IWLU Memorial Hall in Wilmington, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
17,21.01.2023,,"Davey RichardsdefeatsTyler BatemanPrestige Vendetta- Online Stream @ The Glass House in Pomona, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
18,20.01.2023,,"Artemis SpencerdefeatsDavey Richards(20:07)DEFY Most Dangerous- Event @ ALMA Tacoma in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
19,15.01.2023,,"UWN Heritage Title:Kevin Martenson(c) defeatsDavey RichardsChampionship Wrestling #598- Online Stream @ Bell Bank Park in Mesa, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
20,15.01.2023,,"PWE North American Title Four Way Elimination:Casey BlackrosedefeatsDavey Richards(c) andDavid KiddandDevin Carter-TITLE CHANGE !!!PWE It's True It's True- Online Stream @ Shrine Auditorium in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
21,07.01.2023,,"MLW National Openweight Title:John HennigandefeatsDavey Richards(c) (9:51) -TITLE CHANGE !!!MLW Underground Wrestling #4 - John Hennigan Vs. Davey Richards- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
22,31.12.2022,,"Tracy WilliamsdefeatsDavey Richards(18:21)Beyond Heavy Lies The Crown 2022- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
23,30.12.2022,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeatThe American Wolves(Davey Richards&Eddie Edwards) (17:00)Prestige The Things We Carry- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
24,18.12.2022,,"Davey RichardsdefeatsNick Aldis(15:02)Glory Pro December To RizzMember 2- Online Stream @ South Broadway Athletic Club in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
25,17.12.2022,,"Franco VargadefeatsDavey RichardsTSW Returns To Macon- Event @ Macon Youth Expo Center in Macon, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
26,03.12.2022,,"The Wolves(Davey Richards&Eddie Edwards) defeatThe NU Graysons(JP Grayson&Tommy Grayson) (10:31)SAW Contest Of Champions: Where Heroes Gather- Online Stream @ RJ Barnabas Arena in Toms River, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
27,19.11.2022,,"ZERO1 USA Heavyweight Title:Joey O'Riley(c) defeatsDavey RichardsZERO1 USA Ambition- Event @ Burgess Osborne Auditorium in Mattoon, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
28,12.11.2022,,"MLW National Openweight Title:Davey Richards(c) defeatsColby Corino(6:43)NWA Hard Times In New Orleans- Pay Per View @ Frederick J. Sigur Civic Center in Chalmette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
29,06.11.2022,,"Davey RichardsdefeatsShane Haste(12:42)PWG DINK- Event @ Globe Theatre in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
30,05.11.2022,,"Xcite Heavyweight Title:Kevin Bennett(c) defeatsDavey RichardsXcite One Will Fall- Event @ Oakdale Mall in Johnson City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
31,04.11.2022,,"Davey RichardsdefeatsDave TurnerPWE Friends Don't Lie- Event @ Spaulding Hall Club in Alton, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
32,30.10.2022,,"The American Wolves(Davey Richards&Eddie Edwards) defeatViolence Is Forever(Dominic Garrini&Kevin Ku) (18:08)Prestige Roseland 4 - Wake The Dead- Online Stream @ Roseland Theater in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
33,29.10.2022,,"Davey RichardsdefeatsCody Chhun(18:05)DEFY Kingdom Come- Pay Per View @ Washington Hall in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
34,27.10.2022,,"NEW Title:Evan Rivers(c) defeatsDavey RichardsNEW 10- Event @ Commodore Ballroom in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
35,09.10.2022,,"PWE North American Title:Davey RichardsdefeatsTroy Marcum(c) by TKO -TITLE CHANGE !!!PWE San Antonio Showdown- Online Stream @ Shrine Auditorium in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
36,07.10.2022,,"Davey Richardsdefeats1 Called MandersSLA Surprise! You're Dead!- Event @ Spaulding Hall in Alton, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
37,30.09.2022,,"Exodus PrimedefeatsDavey RichardsVIP Setting The Bar 8: All The Shine- Event @ Haltom Theater in Haltom City, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
38,25.09.2022,,"SonicodefeatsDavey Richards(13:06)Prestige Talk Is Cheap- Online Stream @ Hawthorne Theatre in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
39,24.09.2022,,"Malcolm PhlexdefeatsDavey RichardsPOW! Savage Streets- Event @ Blairally Vintage Arcade in Eugene, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
40,23.09.2022,,"Junior BenitodefeatsDavey RichardsC4 Silver Bullet- Online Stream @ Preston Event Centre in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
41,18.09.2022,,"MLW National Openweight Title:Davey Richards(c) defeatsSB KENTo(10:28)MLW Fusion #159 - Super Series 2022: Week 3- Online Stream @ Espacio Discotheque in Norcross, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
42,17.09.2022,,"Iron Savages(Boulder&Bronson) defeatThe Wolves(Davey Richards&Eddie Edwards) (16:02)CAP Wildlife- Online Stream @ All Sportz Melville in Mellville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
43,16.09.2022,,"Garden State PW Tag Team Title Tournament First Round:The Wolves(Davey Richards&Eddie Edwards) defeatKings Of The District(Eel O'Neal&Jordan Blade) (12:05)Garden State PW Dynasty Clash- Pay Per View @ Warinanco Sports Center in Roselle, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
44,10.09.2022,,"VSKdefeatsDavey RichardsPPW Anniversary IX- Event @ Signature Training Academy in Brodheadsville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
45,03.09.2022,,"Titus AlexanderdefeatsDavey Richards(16:34)West Coast Pro/Prestige Savage Mode II- Online Stream @ The Colonial Theater in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
46,01.09.2022,,"Davey RichardsdefeatsRich Swann(11:15)AAW Destination Chicago 2022- Event @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
47,28.08.2022,,"MLW National Openweight Title:Davey Richards(c) defeatsSilas Mason(10:24)NWA 74 - Tag 2- Pay Per View @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
48,27.08.2022,,"Davey RichardsdefeatsEl DragonMLW Fury Road 2022- Event @ Cathedral High School in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
49,21.08.2022,,"REVOLVER Title:JT Dunn(c) defeatsDavey Richards(13:58)REVOLVER Sunday FunBey- Pay Per View @ Calumet Center At Montgomery County Fairgrounds in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
50,20.08.2022,,"David Lee Memorial Tournament 2022 First Round:Davey RichardsdefeatsMoses The DelivererWrestleMax STL Episode VIII- Event @ Gardenville Masonic Temple in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/DR_at_BOLA_2008.jpg
