date,event,result,location,image_url
1,05.07.2015,,"R-TruthdefeatsDavid OtungaWWE Live SummerSlam Heatwave Tour- House Show @ BMO Harris Bank Center in Rockford, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
2,18.01.2015,,"Los Matadores(Diego&Fernando) &El ToritodefeatDavid Otunga,Hornswoggle&Titus O'NeilWWE Live- House Show @ Freeman Coliseum in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
3,17.01.2015,,"Los Matadores(Diego&Fernando) &El ToritodefeatDavid Otunga,Fandango&Titus O'NeilWWE Live- House Show @ Taylor County Expo Center in Abilene, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
4,11.01.2015,,"El Torito&Los Matadores(Diego&Fernando) defeatDavid Otunga,Hornswoggle&Titus O'NeilWWE Live- House Show @ Mobile Civic Center in Mobile, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
5,10.01.2015,,"Los Matadores(Diego&Fernando) defeatDavid Otunga&Titus O'NeilWWE Live- House Show @ Garrett Coliseum in Montgomery, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
6,09.01.2015,,"Los Matadores(Diego&Fernando) defeatDavid Otunga&Titus O'NeilWWE Live- House Show @ McKenzie Arena in Chattanooga, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
7,06.04.2014,,"Andre The Giant Memorial 2014 Battle Royal:CesarodefeatsAlberto Del RioandBig EandBrad MaddoxandBrodus ClayandCody RhodesandDamien SandowandDarren YoungandDavid OtungaandDolph ZigglerandDrew McIntyreandFandangoandGoldustandHeath SlaterandJinder MahalandJustin GabrielandKofi KingstonandMark HenryandR-TruthandRey MysterioandSantino MarellaandSheamusandSin CaraandThe Big ShowandThe Great KhaliandThe MizandTitus O'NeilandTyson KiddandXavier WoodsandYoshi TatsuandZack Ryder(13:26)WWE WrestleMania XXX - ""Let The Good Times Roll""- Premium Live Event @ Mercedes-Benz Superdome in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
8,18.03.2013,,"RybackdefeatsDavid Otunga(1:41)WWE Monday Night RAW #1034- TV-Show @ Consol Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
9,25.02.2013,,"Kofi KingstondefeatsDavid Otunga(4:36)WWE Superstars #203- Online Stream @ American Airlines Arena in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
10,23.02.2013,,"TensaidefeatsDavid OtungaWWE RAW House Show- House Show @ Ülker Sports Arena in Istanbul, Türkei",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
11,22.02.2013,,"TensaidefeatsDavid OtungaWWE RAW House Show- House Show @ Khalifa International Tennis & Squash Complex in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
12,21.02.2013,,"R-TruthdefeatsDavid OtungaWWE RAW House Show- House Show @ Khalifa International Tennis & Squash Complex in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
13,10.02.2013,,"Justin GabrieldefeatsDavid OtungaWWE RAW House Show- House Show @ Show Me Center in Cape Girardeau, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
14,09.02.2013,,"Justin GabrieldefeatsDavid OtungaWWE RAW House Show- House Show @ JQH Arena in Springfield, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
15,08.02.2013,,"Justin GabrieldefeatsDavid OtungaWWE RAW House Show- House Show @ Black River Coliseum in Poplar Bluff, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
16,27.01.2013,,"Royal Rumble:John CenadefeatsAntonio CesaroandBo DallasandBrodus ClayandChris JerichoandCody RhodesandDamien SandowandDaniel BryanandDarren YoungandDavid OtungaandDolph ZigglerandDrew McIntyreandGoldustandHeath SlaterandJinder MahalandKaneandKofi KingstonandRandy OrtonandRey MysterioandRybackandSantino MarellaandSheamusandSin CaraandTensaiandThe GodfatherandThe Great KhaliandThe MizandTitus O'NeilandWade BarrettandZack Ryder(55:04)WWE Royal Rumble 2013- Pay Per View @ US Airways Center in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
17,19.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Stockton Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
18,18.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Carlson Center in Fairbanks, Alaska, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
19,17.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Sullivan Arena in Anchorage, Alaska, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
20,13.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Oil Palace in Tyler, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
21,12.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Rapides Parish Coliseum in Alexandria, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
22,05.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Coliseo De Puerto Rico Jose M. Agrelot in San Juan, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
23,04.01.2013,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Palacio de Recreation Y Desportes in Mayaguez, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
24,30.12.2012,,"Santino MarelladefeatsDavid OtungaWWE RAW House Show- House Show @ PNC Arena in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
25,28.12.2012,,"Santino MarelladefeatsDavid OtungaWWE RAW House Show- House Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
26,27.12.2012,,"Brodus ClaydefeatsDavid OtungaWWE RAW House Show- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
27,26.12.2012,,"Santino MarelladefeatsDavid OtungaWWE RAW House Show- House Show @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
28,18.12.2012,,"Zack RyderdefeatsDavid Otunga(4:42)WWE Monday Night RAW #1022- TV-Show @ Consol Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
29,17.12.2012,,"The Great KhalidefeatsDavid Otunga(1:55)WWE Monday Night RAW #1021- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
30,09.12.2012,,"Dark:Brodus Clay,Hornswoggle,Sin Cara&The Great KhalidefeatDavid Otunga,Epico,Primo&TensaiWWE Tribute To The Troops 2012- Dark Match @ Norfolk Scope in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
31,03.12.2012,,"Brodus ClaydefeatsDavid Otunga(2:45)WWE Superstars #191- Online Stream @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
32,01.12.2012,,"The Great KhalidefeatsDavid OtungaWWE SmackDown House Show- House Show @ Colonial Life Arena in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
33,27.11.2012,,"The Great KhalidefeatsDavid Otunga(1:15)WWE Friday Night SmackDown #693- TV-Show @ CenturyLink Center in Bossier City, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
34,26.11.2012,,"Santino MarelladefeatsDavid Otunga(9:35)WWE Superstars #190- Online Stream @ Cajundome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
35,19.11.2012,,"The MizdefeatsDavid Otunga(6:05)WWE Monday Night RAW #1017- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/2014_David_Otunga.jpg
