date,event,result,location,image_url
1,30.08.2025,,"Dean AllmarkdefeatsScott ObermanGJK Promotions- Event @ Woodlands Bar And Grill in Widnes, Cheshire, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
2,02.08.2025,,"Jim DieharddefeatsDean Allmark(11:48)Megaslam- Event @ Core Theatre in Solihull, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
3,02.08.2025,,"Six Man Tag Team Battle Royal:Dean Allmark,George Thomas& Matt Tucker defeatJim Diehard,Mad Dog Maxx&Nick Powers(13:54)Megaslam- Event @ Core Theatre in Solihull, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
4,15.02.2025,,"Dean AllmarkdefeatsJames Mason(15:40)Megaslam- Event @ Kings Hall in Stoke On Trent, Staffordshire, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
5,02.02.2025,,"Dean Allmark&Soner DursundefeatFTM(Critchy & Tom McColl)SPW Slam Jam 2025- Event @ Croxteth Gems Community Association in Croxteth, Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
6,25.01.2025,,"TNT IGNition Rumble:Joseph ConnersdefeatsAlunaandBullitandChase Alcalaand Christy Quinlan and Critchy andDean Allmarkand Gareth Kelly andJack JohnsonandJimmy Jacksonand Joe Kessler andLewis Johnsonand Liam Carr and Max Brooker and Padraig Quinlan andRPDandScott Obermanand Tom McColl andTom ThelwellandTony Wright(38:16)TNT IGNition Rumble 2025- Online Stream @ Fusion Nightclub in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
7,21.09.2024,,"Jaden NewmandefeatsDean AllmarkPCW 13th Anniversary Show- Event @ Layton Institute in Blackpool, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
8,18.05.2024,,"PCW Heavyweight       Title:Philip Michael(c) defeatsDean AllmarkPCW Wrestlefest- Event @ Layton Institute in Blackpool, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
9,18.11.2023,,"WIN  TitleGauntlet For The Gold Match (vakant):Brady PhillipsdefeatsDean AllmarkandIsaac NorthandScotty RawkandZeo KnoxandRob Drake(21:37) -TITLE CHANGE !!!WIN Gauntlet For The Gold- Event @ Forest Hall Social Club in Newcastle Upon Tyne, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
10,17.06.2023,,"Callum NewmandefeatsDean AllmarkTNT Going Off Big Time 2023- Event @ Hangar 34 in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
11,25.03.2023,,"Dean AllmarkdefeatsBrady Phillips(17:32)WIN Brawl At The Hall- Event @ Forest Hall Social Club in Newcastle Upon Tyne, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
12,07.03.2023,,"Dean AllmarkdefeatsDan MoloneyPROGRESS Gene Munny's Daft Lad Emporium- Event @ The Dome in London, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
13,04.11.2022,,"BTW TitleQualifying:Dean AllmarkdefeatsShady NattrassBTW Bonfire Fury 2- Event @ Ellesmere Recreational Center in Bolton, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
