date,event,result,location,image_url
1,30.08.2025,,"Pure Rules:Deonna PurrazzodefeatsRachael Ellering(5:14)ROH YouTube Special Episode #2- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
2,15.08.2025,,"Lili La PescaditadefeatsDeonna Purrazzo(12:57)CSW Trial By Fire- Online Stream @ VFW Post 5040 in Franklin Park, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
3,03.08.2025,,"Deonna PurrazzodefeatsB3CCA(10:03)Richard Holliday Presents Narcissistic Behavior- Online Stream @ Devonshire Hall in Hamden, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
4,01.08.2025,,"Team Cardona (Mark Sterling,Matt Cardona&Tommy Invincible) defeat Team Shotzi (Deonna Purrazzo,Matt Tremont&Shotzi Blackheart) (10:02)GCW Hit 'Em Up 2025- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
5,27.07.2025,,"Deonna PurrazzodefeatsJada StonePWJ Damaged Goods 2: Too Broken To Fix- Pay Per View @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
6,19.07.2025,,"Jonathan GreshamdefeatsDeonna Purrazzo(7:00)GCW Bash At The Ballpark- Pay Per View @ Maimonides Park in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
7,21.06.2025,,"Pure Rules:Deonna PurrazzodefeatsRachael Ellering(6:08)ROH on HonorClub #124- Online Stream @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
8,07.06.2025,,"Deonna PurrazzodefeatsKarissa Rivera(11:02)HOG Mike Santana Presents Puerto Rican Weekend 2025- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
9,30.05.2025,,"Deonna PurrazzodefeatsTaryn From Accounting(12:05)LPW 37: It's Gonna Be May- Online Stream @ The Rec Room South Edmonton in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
10,08.05.2025,,"Pure Rules:Deonna PurrazzodefeatsMarti Belle(4:24)ROH on HonorClub #121- Online Stream @ Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
11,03.05.2025,,"Pure Rules:Deonna PurrazzodefeatsAshley Vox(5:56)ROH on HonorClub #115- Online Stream @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
12,16.03.2025,,"KanjidefeatsDeonna Purrazzo(11:45)RevPro Epic Encounter 2025- Online Stream @ The Hangar in Wolverhampton, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e3/Deonna_Purrazzo%2C_May_2018_04_%28cropped%29.jpg
