date,event,result,location,image_url
1,04.09.2025,,"The Nemeths(Nic Nemeth&Ryan Nemeth) defeatThe System(Brian Myers&Eddie Edwards) (12:44)TNA iMPACT #1103- TV-Show @ The Armory in Minneapolis, Minnesota, USA",
2,16.08.2025,,"Eddie EdwardsdefeatsRyan Nemeth(5:40)TNA iMPACT #1101- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",
3,15.08.2025,,"First Class(AJ Francis&Rich Swann) defeatThe System(Brian Myers&Eddie Edwards) (8:30)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",
4,09.08.2025,,"Bear Bronson,Seabass Finn&Tommy DreamerdefeatThe System(Brian Myers,Eddie Edwards&JDC) (11:35)Limitless Vacationland Cup 2025- Online Stream @ The Colisee in Lewiston, Maine, USA",
5,25.07.2025,,"First Class(AJ Francis&Rich Swann) &Trick WilliamsdefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:12)TNA iMPACT #1099- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",
6,24.07.2025,,"The System(Eddie Edwards&Moose) defeatAJ Francis&Trick Williams(9:28)TNA iMPACT #1097- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",
7,20.07.2025,,"Matt Cardona&The System(Brian Myers,Eddie Edwards&JDC) defeatDarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) (6:43)TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",
8,20.06.2025,,"Matt CardonadefeatsEddie Edwards(3:09)TNA iMPACT #1093- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",
9,07.06.2025,,"Matt Cardona&The Home Town MandefeatThe System(Eddie Edwards&JDC) (3:57)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",
10,06.06.2025,,"Leon Slater,The Hardys(Jeff Hardy&Matt Hardy) &The Home Town MandefeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:37)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",
11,31.05.2025,,"CAP Tag Team Title:The Shooter Boys(Aaron Ortiz & Anthony Vecchio) defeatThe System(Brian Myers&Eddie Edwards) (c) (9:18) -TITLE CHANGE !!!CAP The Chosen Ones- Online Stream @ All Sportz Melville in Melville, New York, USA",
12,25.05.2025,,"The Northern Armory(Judas Icarus&Travis Williams) [Canada] defeatThe System(Brian Myers&Eddie Edwards) [USA] (7:38)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",
13,25.05.2025,,"Mixed:Cody Deaner,Jody Threat,Matt Hardy,Santino Marella&Tommy DreamerdefeatThe System(Alisha Edwards,Brian Myers,Eddie Edwards,JDC&Moose) (8:44)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",
14,24.05.2025,,"TNA World Tag Team Title#1 Contendership Four Way:The Rascalz(Trey Miguel&Zachary Wentz) defeatFirst Class(AJ Francis&KC Navarro) andLaredoandThe System(Brian Myers&Eddie Edwards) (12:44)TNA iMPACT #1088- TV-Show @ CAA Centre in Brampton, Ontario, Canada",
15,23.05.2025,,"Eddie EdwardsdefeatsCody Deaner(10:40)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",
16,04.05.2025,,"The System(Brian Myers&Eddie Edwards) defeatCasey King&Jack VaughnASW All Star Wars- Event @ Madison Civic Center in Madison, West Virginia, USA",
17,02.05.2025,,"Eddie EdwardsdefeatsJake Painter(3:36)TNA iMPACT #1087- TV-Show @ Bren Events Center in Irvine, California, USA",
18,27.04.2025,,"Ace Austin&The Rascalz(Trey Miguel&Zachary Wentz) defeatThe System(Brian Myers,Eddie Edwards&Moose) (11:09)TNA Rebellion 2025- Pay Per View @ Galen Center in Los Angeles, California, USA",
19,17.04.2025,,"TNA International TitleTournament Three Way:Steve MaclindefeatsAce AustinandEddie Edwards(9:57)TNA Unbreakable 2025- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",
20,28.03.2025,,"Eddie EdwardsdefeatsSteve Maclin(8:00)TNA iMPACT #1081- TV-Show @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",
21,16.03.2025,,"CAP Tag Team Title:The System(Brian Myers&Eddie Edwards) defeatBryce Donovan&Evil Kip(c) -TITLE CHANGE !!!CAP Celtic Pride- Event @ Lynbrook Knights Of Columbus in Lynbrook, New York, USA",
22,15.03.2025,,"Elijah&Joe HendrydefeatThe System(Brian Myers&Eddie Edwards) (7:34)TNA iMPACT #1078- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",
23,14.03.2025,,"Steel Cage:Elijah,Joe Hendry,Leon Slater,Matt Hardy&Nic NemethdefeatThe Colons(Eddie Colon&Orlando Colon) &The System(Brian Myers,Eddie Edwards&JDC) (17:02)TNA Sacrifice 2025- Online Stream @ El Paso County Coliseum in El Paso, Texas, USA",
24,01.03.2025,,"Eddie EdwardsdefeatsYoscifer El(7:24)WrestlePro Push It To The Limit- Event @ Rahway Rec Center in Rahway, New Jersey, USA",
25,22.02.2025,,"Eddie Edwards&Marko HarrisdefeatDaniel Nova& Dorian Vain by DQEPW #178- Online Stream @ EPW Arena in Booneville, Mississippi, USA",
26,21.02.2025,,"Eddie EdwardsdefeatsLeon Slater(9:42)TNA iMPACT #1077- TV-Show @ Full Sail University in Winter Park, Florida, USA",
27,20.02.2025,,"The System(Brian Myers,Eddie Edwards&Moose) defeatOba Femi&The Hardys(Jeff Hardy&Matt Hardy) (6:50)TNA iMPACT #1075- TV-Show @ Full Sail University in Winter Park, Florida, USA",
28,24.01.2025,,"Leon Slater&The Hardys(Jeff Hardy&Matt Hardy) defeatThe System(Eddie Edwards,JDC&Moose) (10:43)TNA iMPACT #1072- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",
29,19.01.2025,,"Eric Young&Steve MaclindefeatThe System(Brian Myers&Eddie Edwards) (7:30)TNA Genesis 2025- Pay Per View @ Curtis Culwell Center in Garland, Texas, USA",
30,14.12.2024,,"Eric Young,Jonathan Gresham&Steve MaclindefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:31)TNA iMPACT #1068- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
31,13.12.2024,,"TNA World Tag Team TitleTables:The Hardys(Jeff Hardy&Matt Hardy) (c) defeatThe System(Brian Myers&Eddie Edwards) (16:52)TNA Final Resolution 2024- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",
32,12.12.2024,,"Kenny King,Mike Santana&Powerhouse HobbsdefeatThe System(Brian Myers,Eddie Edwards&Moose) (12:06)4th Rope Heels Have Eyes IV: Atlanta- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",
33,29.11.2024,,"TNA World Title:Nic Nemeth(c) defeatsEddie Edwards(22:05)TNA Turning Point 2024- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",
34,17.11.2024,,"The System(Alisha Edwards&Eddie Edwards) defeatJax Williams&Vanna Black(10:35)Smash Brace For Impact- Online Stream @ London Music Hall in London, Ontario, Canada",
35,09.11.2024,,"TNA World Tag Team Title:The Hardys(Jeff Hardy&Matt Hardy) (c) defeatThe System(Brian Myers&Eddie Edwards) by DQ (9:48)TNA iMPACT #1063- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",
36,27.10.2024,,"The System(Eddie Edwards&JDC) defeatJoe Hendry&Nic Nemeth(10:01)TNA iMPACT #1058 - Halloween- TV-Show @ Wayne State Fieldhouse in Detroit, Michigan, USA",
37,26.10.2024,,"TNA World Tag Team TitleFull Metal Mayhem:The Hardys(Jeff Hardy&Matt Hardy) defeatABC(Ace Austin&Chris Bey) andThe System(Brian Myers&Eddie Edwards) (c) (27:26) -TITLE CHANGE !!!TNA Bound For Glory 2024- Pay Per View @ Wayne State Fieldhouse in Detroit, Michigan, USA",
38,03.10.2024,,"ABC(Ace Austin&Chris Bey) &The Hardys(Jeff Hardy&Matt Hardy) defeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:08)TNA iMPACT #1057- TV-Show @ Skyway Studios in Nashville, Tennessee, USA",
39,02.10.2024,,"Joe Hendry,PCO&Sami CallihandefeatThe System(Eddie Edwards,JDC&Moose) (5:40)TNA iMPACT #1062 - Thanksgiving Special 2024- TV-Show @ Nashville, Tennessee, USA",
40,22.09.2024,,"Eddie EdwardsdefeatsIchiban(8:29)LIVE Teddy Goodz Final Match- Online Stream @ Greater New Bedford Regional Vocational Technical High School in New Bedford, Massachusetts, USA",
