date,event,result,location,image_url
1,10.09.2025,,"El Desperado,Hiroshi Tanahashi,Ryusuke Taguchi&Yuya UemuradefeatMaster Wato,Togi Makabe,Toru Yano&YOH(11:12)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",
2,09.09.2025,,"El Desperado,Hiroshi Tanahashi,Ryusuke Taguchi&Shota UminodefeatMaster Wato,Togi Makabe,Toru Yano&YOH(10:30)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",
3,07.09.2025,,"Master Wato,Togi Makabe,Toru Yano&YOHdefeatEl Desperado,Ryusuke Taguchi,Shota Umino&Yuya Uemura(8:16)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",
4,24.08.2025,,"El Desperado,Paragon(Kyle O'Reilly&Roderick Strong) &Yuya UemuradefeatCRU(Action Andretti&Lio Rush) &The Don Callis Family(Hechicero&Josh Alexander) (12:13)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",
5,17.08.2025,,"Master Wato,Toru Yano&YOHdefeatEl Desperado,Ryusuke Taguchi&YOSHI-HASHI(6:40)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",
6,16.08.2025,,"El Desperado,Ryusuke Taguchi,Shota Umino,YOSHI-HASHI&Yuya UemuradefeatMaster Wato,Satoshi Kojima,Taichi,Toru Yano&YOH(8:54)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",
7,03.08.2025,,"El Desperado&Isami KodakadefeatMasato Kamino&Takato Nakano(14:54)BASARA 285 ~ Masho Sakushin- Online Stream @ Korakuen Hall in Tokyo, Japan",
8,21.07.2025,,"Chris Brookes&Emi SakuradefeatEl Desperado&Maki Itoh(12:36)TJPW Summer Sun Princess '25- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",
9,06.07.2025,,"IWGP Junior Heavyweight Title:El Desperado(c) defeatsKosei Fujita(19:32)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",
10,04.07.2025,,"El Desperado,Oleg Boltin&Yuya UemuradefeatTMDK(Hartley Jackson,Kosei Fujita&Zack Sabre Jr.) (8:39)NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",
11,29.06.2025,,"Dragon Kid,El Desperado,Master Wato&YOHdefeatHouse Of Torture(DOUKI,SANADA,SHO&Yoshinobu Kanemaru) (11:24)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",
12,24.06.2025,,"IWGP Junior Heavyweight TitleFluorescent Lighttubes Glass Board Barbed Wire Death:El Desperado(c) defeatsJun Kasai(29:31)NJPW Death Pain Invitational- Pay Per View @ Korakuen Hall in Tokyo, Japan",
