date,event,result,location,image_url
1,18.02.2007,,"17 Team Gauntlet:Cheech&Cloudydefeat2.0(Jagged&Shane Matthews) andAmerican Balloon&Danshoku DinoandArrogance(Chris Bosh&Scott Lost) andBabyface Fire(Jason Gory&Shiima Xion) andBrandon Thomaselli&Vito ThomaselliandCreate-A-Wrestler&Player UnoandEquinox&Fire AntandExcalibur&Joey RyanandLarry Sweeney&ShareCropperandMitch Ryder&Robbie EllisandThe Colony(Soldier Ant&Worker Ant) andThe New Jersey All-Stars(JC Ryder&Lucky) andThe Olsen Twins(Colin Olsen&Jimmy Olsen) andThe Order Of The Neo Solar Temple(Hydra&UltraMantis Black) andThe Prescription Thugs(Darkness Crabtree&Dr. Cheung) andThe Ring Crew Express(Dunn&Marcos) (51:43)CHIKARA King Of Trios - Tag 3- Event @ New Alhambra Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
2,28.10.2006,,"ExcaliburdefeatsPlayer Uno(7:28)CHIKARA Cibernetico Forever- Event @ New Alhambra Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
3,14.10.2006,,"Last Team Standing Tournament First Round:The Kings Of Wrestling(Chris Hero&Claudio Castagnoli) defeatTeam Masturbation(Beef Wellington&Excalibur) (11:32)CZW Last Team Standing- Event @ New Alhambra Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
4,02.09.2006,,"PWG World TitleFour Corners Elimination:Human TornadodefeatsExcaliburandJoey Ryan(c) andPetey Williams(15:58)PWG Battle Of Los Angeles 2006 - Tag 2- Event @ American Legion Post #308 in Reseda, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
5,01.09.2006,,"B-Boy,Excalibur,Homicide&Human TornadodefeatPetey Williams&The Dynasty(Chris Bosh,Joey Ryan&Scott Lost) (26:23)PWG Battle Of Los Angeles 2006 - Tag 1- Event @ American Legion Post #308 in Reseda, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
6,19.08.2006,,"Arik CannondefeatsExcalibur(8:46)CHIKARA Return Of The Son Of The International Invasion Of International Invaders: 1st Stage- Event @ American Legion Hall in Hellerton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
7,16.07.2006,,"Disco MachinedefeatsExcalibur(8:30)PWG Threemendous- Event @ Hollywood-Los Feliz JCC in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
8,24.06.2006,,"Young Lions Cup IV First Round:Andy SumnerdefeatsExcalibur(5:36)CHIKARA Young Lions Cup IV - Tag 2- Event @ American Legion Hall in Hellertown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
9,03.06.2006,,"TJ PerkinsdefeatsExcalibur(10:35)PWG Fear Of A Black Planet- Event @ Hollywood-Los Feliz JCC in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
10,09.04.2006,,"Disco Machine&ExcaliburdefeatBino Gambino&Top Gun Talwar(9:42)PWG All Star Weekend 3: Crazymania - Tag 2- Event @ Hollywood-Los Feliz JCC in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/326_The_Romance_of_King_Arthur.jpg
