date,event,result,location,image_url
1,27.04.2025,,"Casey Blackrose,Jesse Funaki&Shoichi FunakidefeatBranden Vice,David Teen&Diego Renay(10:30)RCW Mania- Online Stream @ Good Shepherd Lutheran Activity Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
2,04.10.2015,,"FUNAKI,LEONA&Ryota ChikuzendefeatAsosan,Mitsuya Nagai&The Bodyguard(17:50)Dradition Hall Of Fame 2015 Memorial Series In Fukuoka- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
3,03.10.2015,,"FUNAKI,LEONA&Masakatsu FunakidefeatBlack Tiger,MAZADA&Yoshihiro Takayama(19:06)Dradition Hall Of Fame 2015 Memorial Series In Osaka- Event @ Texpia Osaka in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
4,01.10.2015,,"FUNAKIdefeatsLEONA(11:35)Dradition Hall Of Fame 2015 Memorial Series In Tokyo- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
5,12.12.2014,,"FUNAKI,Jinsei Shinzaki&Kesen NumajirodefeatEagles Mask,Katsuo&Kinya Oyanagi(11:31)Michinoku Pro Battle In Outer Space ~ Battle Of The Gods And The Turtles- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
6,11.12.2014,,"FUNAKI&Shinjiro OtanidefeatDaemon-gun(Daemon Ueda&KAMIKAZE) (16:13)ZERO1 Furinkazan Tag Tournament 2014 - Tag 1- Event @ Shin-Kiba 1st Ring in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
7,06.12.2014,,"FUNAKI,Scotty 2 Hotty&Super CrazydefeatPesadilla,Yoshinari Ogawa&Zack Sabre Jr.(10:55)NOAH Great Voyage 2014 In Tokyo Vol. 3- TV-Show @ Ariake Coliseum in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
8,30.11.2014,,"Shin Aibou Tag(Fujita Hayato&Ikuto Hidaka),FUNAKI&Tatsumi FujinamidefeatDaemon-gun(Daemon Ueda&Takuya Sugawara),Jason Lee&YASSHI(6:03)ZERO1 Fate Of The Country Shimane Tour 2014 - Tag 1- Event @ Masuda Civic Gymnasium in Masuda, Shimane, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
9,04.11.2013,,"Bad Boy(Manjimaru&Takeshi Minamino) defeatFUNAKI&TAKA Michinoku(17:05)Michinoku Pro JJJ Series ~ In The Top Of November - Tag 4: Michinoku Pro 20th Anniversary In Morioka- TV-Show @ Iwate Prefectural Gymnasium in Morioka, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
10,03.11.2013,,"Bad Boy(Daichi Sasaki&Manjimaru) defeatAyumu Gunji&FUNAKI(10:25)Michinoku Pro JJJ Series ~ In The Top Of November - Tag 3- Event @ Akita City Selion Plaza in Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
11,02.11.2013,,"FUNAKI&Ultimo DragondefeatKen45&Takeshi Minamino(12:24)Michinoku Pro JJJ Series ~ In The Top Of November - Tag 2- Event @ Fukushima National Athletic Memorial Gymnasium in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
12,01.11.2013,,"FUNAKI,Kinya Oyanagi&Ultimo DragondefeatAsura(Brahman Kei,Brahman Shu&Taro Nohashi) (13:40)Michinoku Pro JJJ Series ~ In The Top Of November - Tag 1- Event @ Aomori Hamanasu Hall in Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
13,26.10.2013,,"Asura(Brahman Kei&Brahman Shu) &ObariyondefeatFUNAKI,Kesen Numagirolamo&Rasse(11:05)Michinoku Pro Michinoku Space Gate War ~ Prelude- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
14,20.07.2013,,"Shoichi FunakidefeatsJecklesVendetta Pro Underground- Event @ Vendetta Pro Wrestling Kayfabe College in Santa Maria, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
15,19.07.2013,,"FunakidefeatsRyan Von KoolBTW International Incident- Event @ Newark Pavilion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
16,14.07.2013,,"Asura(Brahman Kei,Brahman Shu&Rui Hiugaji) defeat DEWA Lock Man,FUNAKI&Ultimo Dragon(8:09)Michinoku Pro- Event @ Yamagata Big Wing in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
17,14.07.2013,,"Independent Junior Heavyweight Title/UWA World Middleweight Title:TAKA Michinoku(c) defeatsFUNAKI(15:19)K-DOJO Club-K Super In Chiba- Event @ Chiba Port Arena in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
18,13.07.2013,,"FUNAKI,Ultimo Dragon,Yapper Man 1&Yapper Man 2defeatAsura(Behnam Ali,Brahman Kei,Brahman Shu&Taro Nohashi) (6:58)Michinoku Pro- Event @ Yahaba Townsman Gymnasium in Yahaba, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
19,12.05.2013,,"Frank O'RourkedefeatsFunaki(11:09)WIA Impression- Event @ Knights Of Columbus Hall in Bridgewater, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
20,11.05.2013,,"FunakidefeatsGreen Ant(16:50)WIA Expression- Event @ Haverhill High School in Haverhill, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
21,13.04.2013,,"Battle Royal:Rudy RussodefeatsGregory JamesandJC BravoandMike DellandSho FunakiandWeazy WooNWA BOW Spring Slam- Event @ Woodlawn Gym in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
22,19.03.2013,,"Nine Man Hardcore Over The Top Battle Royal:Shark Boydefeats2 Cold ScorpioandCrimsonandDevon StormandFunakiandGunnerandJohnny SwingerandLittle GuidoandSam Shaw(19:25)TNA One Night Only - Hardcore Justice 2- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
23,18.03.2013,,"World Cup:Aces And Eights(DOC&Knux) [1] defeatFunaki&Petey Williams[Team International] [1] (10:58)TNA One Night Only - World Cup 2013- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
24,09.02.2013,,"Four Way Elimination:Carson&Mike Delldefeat ??? &Sho FunakiandThe Disciples Of Destruction(Jacob Ladder&Jaykus Plisken) and The Dogs Of War (Brent McKenzie&Ken Johnson)NWA BOW Extreme Anniversary: A Year Of Dominance- Event @ Woodlawn Gym in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
25,19.01.2013,,"Four Way Dance:AJ SummersdefeatsGregory JamesandSho FunakiandWeazy WooNWA BOW New Years Revolution- Event @ Woodlawn Gym in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
26,06.01.2013,,"STRONGEST-K Tag Team Title:Kengo Mashimo&Ryuichi Sekine(c) defeatFUNAKI&TAKA Michinoku(16:04)K-DOJO New Year Wrestling Fiesta- Event @ Yokohama Red Brick Warehouse in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
27,15.12.2012,,"Eugene,Funaki,James Claxton&Rob ConwaydefeatBrent McKenzie,Lumberjack Lambert,Mad Dog Johnson&Ricky StarksNWA BOW December To Remember- Event @ Woodlawn Gym in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
28,01.12.2012,,"FunakidefeatsRuff CrossingGLCW Blizzard Brawl 8- Event @ County Expo Center in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
29,27.10.2012,,"FUNAKI,Masato Tanaka&Shinjiro OtanidefeatJames Raideen,KAMIKAZE&Shito Ueda(17:21)ZERO1 Ikuto Hidaka 15th Anniversary- Event @ Masuda Civic Gymnasium in Masuda, Shimane, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
30,14.10.2012,,"Suzuki-gun(Minoru Suzuki&Taichi) &NOSAWA RongaidefeatCIMA,FUNAKI&TAKA Michinoku(19:48)K-DOJO TAKA Michinoku 20th Anniversary- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
31,21.07.2012,,"Scott MurdochdefeatsSho FunakiMPX Red Hot And Blue- Event @ Metroflex Gym in Bedford, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
32,26.05.2012,,"Sho FunakidefeatsCarrion ArcaneMPX- Event @ Metroflex Gym in Bedford, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
33,03.01.2012,,"FUNAKIdefeatsOwen Phoenix(9:01)K-DOJO K-Special- Event @ REINA Arena in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
34,18.12.2011,,"Battle Royal:Kaji TomatodefeatsBambiandBoso Boy RaitoandDaigoro KashiwaandFUNAKIandHIROKIandHiro TonaiandKengo MashimoandMarines MaskandOwen PhoenixandRicky FujiandRyuichi SekineandSaburo InematsuandShiori AsahiandTAKA MichinokuandYOSHIYAandYuji HinoandYuki Sato(22:49)K-DOJO K-Special Chiba BlueField Final Show ~ Thank You BlueField- Event @ Chiba BlueField in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
35,14.12.2011,,"Kaz Hayashi&Satoshi KojimadefeatFUNAKI&Hiroyoshi Tenzan(19:38)NJPW Satoshi Kojima 20th Anniversary Show ~ Rush!!- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
36,15.07.2011,,"FUNAKI,Kana&Yoshiaki FujiwaradefeatGenichiro Tenryu,Syuri&TAJIRI(11:41)SMASH.19- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
37,02.07.2011,,"FUNAKI&TAJIRIdefeatKanjyouro Matsuyama&Kuishinbo Kamen(8:50)Osaka Pro Summer Action Series 2011 - Tag 1- Event @ Minami Move On Arena in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
38,30.06.2011,,"Daisuke Sasaki,Ikuto Hidaka&Tomohiro IshiidefeatFUNAKI,Kaz Hayashi&Yuki Sato(13:54)DDT Dick Togo Japanese Retirement Show ~ Ikizama ~- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
39,26.06.2011,,"FUNAKI,Soma Takao&TsubasadefeatDaisuke Sasaki,Gurukun Diver&Shoichi Uchida(10:45)Bikkuri Pro The Ultimate Final Battle!- Event @ Sumiyoshi Civic Center in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
40,18.06.2011,,"Kaientai DX(Dick Togo,FUNAKI,Hanzo Nakajima,MEN's Teioh&TAKA Michinoku) defeatGran Hamada,Jinsei Shinzaki,Super Delfin,The Great Sasuke&Tsubo Genjin(13:50)K-DOJO Club-K Super Take- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
41,14.06.2011,,"Dick Togo,FUNAKI&Ikuto HidakadefeatFujita Hayato,Masato Tanaka&Munenori Sawa(14:02)ZERO1 Wrestler's- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
42,09.06.2011,,"SMASH TitleTournament First Round:TAJIRIdefeatsFUNAKI(7:53)SMASH.18- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
43,05.06.2011,,"Kowloon(Rui Hiugaji,Taro Nohashi&Ultimo Dragon) defeatFUNAKI,Kesen Numajiro&Kinya Oyanagi(13:10)Michinoku Pro- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
44,09.04.2011,,"Dick Togo&FUNAKIdefeatKesen Numajiro&The Great Sasuke(16:58)Michinoku Pro- Event @ Shin-Kiba 1st Ring in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
45,02.04.2011,,"FUNAKI&TAKA MichinokudefeatHIROKI&JOE(11:38)K-DOJO Club-K 3000- Event @ Chiba BlueField in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
46,31.03.2011,,"FUNAKIdefeatsKana(4:26)SMASH.15- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
47,24.03.2011,,"FUNAKI&Kenshiro YukimuradefeatKesen Numajiro&Kinya Oyanagi(17:56)Michinoku Pro- Event @ Kumamoto Food Exchange Hall in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
48,08.01.2011,,"FUNAKI,TAJIRI&TAKA Michinokudefeat Little Galaxy (Hiro Tonai,Makoto Oishi&Shiori Asahi) (12:33)K-DOJO Club-K Super In Chiba City Citizen Hall ~ Chiba Pro-Wrestling Festival- Event @ Chiba City Citizen Hall in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
49,01.01.2011,,"FUNAKI&Mineo FujitadefeatKAMIKAZE&Rikiya Fudo(11:30)ZERO1 Pro Wrestling Beginning- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
50,31.12.2010,,"34 Man Royal Rumble:Winner:FUNAKI(40:51)Pro-Wrestling 2010 Countdown Show- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
51,25.12.2010,,"Kaientai DX(FUNAKI,Kaz Hayashi,MEN's Teioh&TAKA Michinoku) defeatKazuya Yuasa,Kesen Numajiro,Minoru Fujita&The Great Sasuke(10:55)K-DOJO Club-K Super Overthrow- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
52,21.12.2010,,"Furinkazan Tag League 2010 Block B:Daisuke Sekimoto&Masato Tanaka[7] defeatFUNAKI&Yutaka Yoshie[6] (9:42)ZERO1 Furinkazan 2010 - Tag 7- TV-Show @ Zepp Nagoya in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
53,19.12.2010,,"Furinkazan Tag League 2010 Block B:FUNAKI&Yutaka Yoshie[6] defeatRyouji Sai&Shinsuke Wakataka[2] (13:59)ZERO1 Furinkazan 2010 - Tag 6- Event @ Masuda Citizen Gymnasium in Masuda, Shimane, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
54,18.12.2010,,"Furinkazan Tag League 2010 Block B:FUNAKI&Yutaka Yoshie[4] defeatDon Gorman&Yuzuru Saito(13:11)ZERO1 Furinkazan 2010 - Tag 5- Event @ Masuda Citizen Gymnasium in Masuda, Shimane, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
55,17.12.2010,,"Furinkazan Tag League 2010 Block B:FUNAKI&Yutaka Yoshie[2] defeatFujita Hayato&Ikuto Hidaka[3] (16:29)ZERO1 Furinkazan 2010 - Tag 4- Event @ PBA Kumamoto in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
56,16.12.2010,,"FUNAKI&Ultimo Dragonvs.Jinsei Shinzaki&TAKA Michinoku- Time Limit Draw (15:00)Michinoku Pro Great Space War - The Final Battle- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
57,17.10.2010,,"FUNAKI&TAKA MichinokudefeatKaji Tomato&Taishi Takizawa(15:52)K-DOJO Club-K Super Outbreak 2010- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
58,04.08.2010,,"Kaijin Habu Otoko,Minoru Fujita&Takuya SugawaradefeatFUNAKI,Ikuto Hidaka&Munenori Sawa(16:50)ZERO1 Fire Festival 2010 - Tag 7- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
59,02.08.2010,,"Kohei Sato,Minoru Fujita&Takuya SugawaradefeatFUNAKI,KAMIKAZE&Munenori Sawa(10:42)ZERO1 Fire Festival 2010 - Tag 6- Event @ Zepp Nagoya in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
60,01.08.2010,,"FUNAKI&Ikuto HidakadefeatMinoru Fujita&The Predator(13:02)ZERO1 Fire Festival 2010 - Tag 5- Event @ Osaka Prefectural Gymnasium #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
61,31.07.2010,,"FUNAKI&Shinjiro OtanidefeatKAMIKAZE&Masato Tanaka(13:41)ZERO1 Fire Festival 2010 - Tag 4- Event @ Minokamo City Central Gymnasium Plaza  in Minokamo, Gifu, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
62,25.07.2010,,"FUNAKI&Shinjiro OtanidefeatMinoru Fujita&Yutaka Yoshie(17:17)ZERO1 Fire Festival 2010 - Tag 2- Event @ Niigata Bandai City Park Special Ring in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
63,24.07.2010,,"FUNAKI&Munenori SawadefeatMinoru Fujita&Takuya Sugawara(10:32)ZERO1 Fire Festival 2010 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
64,11.07.2010,,"ZERO1 International Junior Heavyweight TitleThree Way:Ikuto Hidaka(c) defeatsFUNAKIandMunenori Sawa(6:25)ZERO1 ZERO-ONE KNIGHT STAND ~ Wasshoi!!- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
65,13.06.2010,,"FUNAKI,Ikuto Hidaka&Munenori SawadefeatKAMIKAZE,Kenta Kakinuma&Masato Tanaka(16:36)ZERO1 Wrestler's- Event @ Fukushima Big Palette in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
66,13.06.2010,,"SNIPE Cup Battle Royal:AkebonodefeatsFUNAKIandIkuto HidakaandKAMIKAZEandKenta KakinumaandKikutaroandKohei SatoandLingerie MutoandMasato TanakaandRikiya FudoandRyouji SaiandShinjiro OtaniandShito UedaandYoshikazu YokoyamaandShota TakanishiandYuzuru Saito(12:39)ZERO1 Wrestler's- Event @ Fukushima Big Palette in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
67,11.06.2010,,"Dick Togo&The Great SasukedefeatFUNAKI&TAKA Michinoku(21:47)Michinoku Pro The Great Sasuke 20th Anniversary Show- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
68,10.06.2010,,"NWA Intercontinental Tag Team Title:Akebono&Shinjiro Otani(c) defeatFUNAKI&Ikuto Hidaka(11:15)ZERO1 Wrestler's 12- TV-Show @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
