date,event,result,location,image_url
1,20.03.2025,,"Bull James&HomicidedefeatAfa Jr.&Mike SantanaOutlaw Wrestling End Of An Era- Event @ Arlo Williamsburg in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
2,02.03.2025,,"Three Way:HomicidedefeatsGhost ShadowandKris KageNWA/PROject codename: WRESTLING NWA On Tour- Event @ Morgan Jr Arena in Wallington, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
3,01.03.2025,,"DarkWrestlePro Gold Title:CPA(c) defeatsHomicideWrestlePro Push It To The Limit- Dark Match @ Rahway Rec Center in Rahway, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
4,23.02.2025,,"HomicidedefeatsLuca BrazziBPW Evil Intent- Event @ Signature Event Center in Brodheadsville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
5,22.02.2025,,"Anything Goes:Homicide&Louie RamosdefeatAustin Luke&Deklan Grant(14:46)H2O Control- Online Stream @ H2O Wrestling Center in Williamstown, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
6,15.02.2025,,"Gabe KidddefeatsHomicide(16:33)GCW/JCW Jersey J-Cup 2025 - Tag 1- Pay Per View @ White Eagle Hall in Jersey City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
7,19.01.2025,,"The New York OG’s (Amazing Red,Grim Reefer&Homicide) defeat The Real F’n Pros (Griffin McCoy,Kerry Morton&Tony Deppen) (11:05)GCW The People Vs. GCW 2025- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
8,31.12.2024,,"Griffin McCoy&Kerry MortondefeatGrim Reefer&Homicide(11:16)GCW Til Infinity 2024- Pay Per View @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
9,22.12.2024,,"Action Andretti&Lio RushdefeatHomicide&Rocky Romero(8:09)ROH on HonorClub #97- Online Stream @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
10,21.12.2024,,"Homicide&Rocky RomerodefeatAaron Solo&QT Marshall(7:30)ROH on HonorClub #96 - Boxing Day Brawl- Online Stream @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
11,29.11.2024,,"HomicidedefeatsTate Mayfairsby Count Out (4:30)DEFY/PROGRESS Onslaught - Tag 1- Pay Per View @ Roulette Intermedium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
12,29.11.2024,,"GCW World Title:Mance Warner(c) defeatsHomicide(19:12)GCW You Wouldn't Understand 2024- Pay Per View @ Roulette Intermedium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
13,22.11.2024,,"HomicidedefeatsDrew Parker(14:05)ARRIVAL 3- Online Stream @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
14,09.11.2024,,"ICW American Deathmatch World Title:Atticus Cogar(c) defeatsHomicide(18:29)ICW No Holds Barred Volume 65- Online Stream @ Sonia in Cambridge, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/8b/2021_Homicide_rates_in_countries_with_highest_homicide_rates_-_variable-width_bar_chart.svg
