date,event,result,location,image_url
1,27.01.2012,,"Hulk Hogan,James Storm&StingdefeatBobby Roode,Bully Ray&Kurt AngleTNA Maximum IMPACT Tour 2012 - Tag 3- House Show @ MEN Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
2,26.01.2012,,"Hulk Hogan,James Storm&StingdefeatBobby Roode,Bully Ray&Kurt Angle(12:56)TNA Maximum IMPACT Tour 2012 - Tag 2- House Show @ Capital FM Arena in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
3,16.10.2011,,"StingdefeatsHulk Hogan(9:43)TNA Bound For Glory 2011- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
4,08.03.2010,,"Abyss&Hulk Hoganvs.AJ Styles&Ric Flair- No Contest (2:21)TNA iMPACT #297- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
5,08.03.2010,,"No Disqualification:Abyss&Hulk HogandefeatAJ Styles&Ric Flair(7:55)TNA iMPACT #297- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
6,28.11.2009,,"Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 4- Event @ Acer Arena in Sydney, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
7,26.11.2009,,"Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 3- Event @ Brisbane Entertainment Centre in Brisbane, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
8,24.11.2009,,"No Disqualification:Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 2- Event @ Burswood Dome in Perth, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
9,21.11.2009,,"Hulk HogandefeatsRic Flair(17:14)Hulkamania Let The Battle Begin Tour - Tag 1- Event @ Rod Laver Arena in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
10,27.04.2007,,"Hulk HogandefeatsPaul Wight(6:26)PMG Ultimate Clash Of Legends- Event @ FedEx Forum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Batista%2C_Hulk_Hogan_and_John_Cena%2C_April_2004.jpg
