date,event,result,location,image_url
1,17.12.2022,,"HOG Tag Team TitleBest Two Out Of Three Falls:The Mane Event(Jay Lyon&Midas Black) defeatThe Briscoe Brothers(Jay Briscoe&Mark Briscoe) (c) (17:37) -TITLE CHANGE !!!HOG Revelations- Pay Per View @ La Boom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
2,10.12.2022,,"ROH World Tag Team TitleDouble Dog Collar:The Briscoes(Jay Briscoe&Mark Briscoe) defeatFTR(Cash Wheeler&Dax Harwood) (c) (22:20) -TITLE CHANGE !!!ROH Final Battle 2022- Pay Per View @ College Park Center in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
3,27.11.2022,,"The Rock 'n' Roll Express(Ricky Morton&Robert Gibson) defeatThe Briscoes(Jay Briscoe&Mark Briscoe) (6:25)BTW Return Of The Dragon- Pay Per View @ Dorton Arena in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
4,26.11.2022,,"The Briscoes(Jay Briscoe&Mark Briscoe) defeatThe Kingdom(Matt Taven&Michael Bennett) (15:00)WrestleCade SuperShow 2022- Pay Per View @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
5,29.10.2022,,"HOG Tag Team Title:The Briscoes(Jay Briscoe&Mark Briscoe) (c) defeatAussie Open(Kyle Fletcher&Mark Davis) (18:19)HOG Exodus- Pay Per View @ La Boom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
6,02.10.2022,,"The Briscoe Brothers(Jay Briscoe&Mark Briscoe) defeatThe Rascalz(Myron Reed&Zachary Wentz) (13:39)Warrior Wrestling 25- Pay Per View @ Marian Catholic High School in Chicago Heights, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
7,24.09.2022,,"HOG Tag Team Title:The Briscoe Brothers(Jay Briscoe&Mark Briscoe) (c) defeatThe Dark Order(Evil Uno&Stu Grayson) (14:15)HOG Genesis- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
8,03.09.2022,,"GCW Tag Team   TitleWar Games Five Way:Alex Colon&John Wayne MurdochdefeatBUSSY(Allie Katch&Effy) andLos Macizos(Ciclope&Miedo Extremo) andThe Briscoes(Jay Briscoe&Mark Briscoe) (c) andThe Second Gear Crew(Mance Warner&Matthew Justice) (31:01) -TITLE CHANGE !!!GCW The Art Of War 2022- Pay Per View @ Grand Sports Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
9,28.08.2022,,"HOG Tag Team TitleThree Way:The Briscoe Brothers(Jay Briscoe&Mark Briscoe) (c) defeatPrivate Party(Isiah Kassidy&Marq Quen) andThe Mane Event(Jay Lyon&Midas Black) (10:57)HOG High Intensity 9- Pay Per View @ Terminal 5 in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
10,13.08.2022,,"GCW Tag Team   TitleDeath:The Briscoes(Jay Briscoe&Mark Briscoe) defeatLos Macizos(Ciclope&Miedo Extremo) (c) (14:25) -TITLE CHANGE !!!GCW Homecoming Weekend 2022 - Tag 1- Pay Per View @ Carousel Room At Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
