date,event,result,location,image_url
1,25.06.2022,,"wXw Unified World Wrestling Title:Tristan Archer(c) defeatsJody Fleischby Count Out (6:00)BodyZoi Anniversary V- Online Stream @ Salle BodyZoi in Frameries, Belgien",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
2,05.06.2022,,"Team RSP (Charles Crowley,Charlie Dempsey,Dean Allmark&Rickey Shane Page) defeat Team Damo (Big Damo,Callum Newman,Jody Fleisch&Maggot) (12:35)PROGRESS Chapter 135: Super Strong Style 16 Tournament Edition 2022 - Tag 3- Online Stream @ Electric Ballroom in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
3,21.05.2022,,"Jody Fleischdefeats Owen Ozzy MichaelsTarget Wrestling Live In Carlisle- Event @ The Station Hotel in Carlisle, Cumbria, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
4,16.04.2022,,"ShreddybrekdefeatsJody FleischTarget 9th Anniversary Show- Event @ The Station Hotel in Carlisle, Cumbria, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
5,09.04.2022,,"BCW Openweight TitleMatch (vakant):Daz BlackdefeatsJody Fleisch-TITLE CHANGE !!!BCW Back To Business- Event @ Kilmarnock Town Hall in Kilmarnock, East Ayrshire, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
6,03.04.2022,,"Jody FleischdefeatsJaiden DocwraDOA/WAW In Their House- Event @ WAW Performance Centre in Norwich, Norfolk, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
7,23.03.2022,,"Warren BanksdefeatsJody Fleisch(9:08)PROGRESS Roy Johnson's Everything Patterned: London- Online Stream @ The Dome in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
8,10.03.2022,,"TNT Tag Team Title:Kings Of The North(Bonesaw&Damien Corvin) (c) defeatJody Fleisch&Man Like DeReissTNT Thrill Kill 2022- Online Stream @ Fusion Nightclub in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
9,19.02.2022,,"TajiridefeatsJody Fleisch(15:36)WPW All Star Extravaganza- Event @ Cheltenham Town Hall in Cheltenham, Gloucestershire, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
10,04.02.2022,,"Lykos Gym(Kid Lykos&Kid Lykos II) defeatJody Fleisch&Joe Lando(15:18)Creation- Event @ Angel Hotel in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
11,23.01.2022,,"PROGRESS World Title#1 Contendership Six Way:Warren BanksdefeatsDan MoloneyandJody FleischandMalikandMan Like DeReissandRoy Johnson(14:06)PROGRESS Chapter 127: And The Word Was PROGRESS...- Online Stream @ Electric Ballroom in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/38/Jody_Fleisch.jpg
