date,event,result,location,image_url
1,15.07.2018,,"SwoggledefeatsJoey MercuryHOH 49- Event @ Aussie World in Sunshine Coast, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
2,14.07.2018,,"Joey MercurydefeatsCaveman UggHOH 48- Event @ Hurtsville Entertainment Centre in Hurtsville, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
3,13.07.2018,,"First Blood:Tommy DreamerdefeatsJoey MercuryHOH 47- Event @ Melbourne Pavilion in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
4,11.07.2018,,"Hardcore:Al SnowdefeatsJoey MercuryHOH 46- Event @ Gate One Theatre in Claremont, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
5,03.06.2018,,"The Northern Tournament First Round:Tyson DuxdefeatsJoey MercurySmash The Northern 2018 - Show 1- Event @ Phoenix Concert Theatre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
6,20.05.2018,,"XICW Midwest Heavyweight Title:Jimmy Jacobs(c) defeatsJoey MercuryXICW- Event @ Fraser Lions Club in Fraser, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
7,19.05.2018,,"Bull JamesdefeatsJoey MercuryHOH 43- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
8,18.05.2018,,"Joey MercurydefeatsAce RomeroHOH 42- Event @ Starland Sportsplex & Fun Park in Hanover, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
9,12.05.2018,,"Colin DelaneydefeatsJoey MercuryUPW Anniversary Anarchy 15- Event @ Premier Sports Center in Webster, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
10,11.05.2018,,"Brady PhillipsdefeatsJoey MercurySWE Cruel Intentions 2018- Event @ Gordon Craig Theatre in Stevenage, Hertfordshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/7/77/JoeyMatthewsXavier.png
