date,event,result,location,image_url
1,17.08.2025,,"Andy Wu&KAMIKAZEdefeatRyo Hoshino&Tsugutaka Sato(15:15)Tochi Pro- Event @ Utsunomiya Orion Square in Utsunomiya, Tochigi, Japan",
2,16.08.2025,,"Joji Otani&KAMIKAZEdefeatHajime&Kapii(11:44)Tochi Pro Takumi Baba Triumphant Homecoming- Event @ Kurosaki Civic Hall in Niigata, Japan",
3,24.07.2025,,"KAMIKAZE&Rikiya FudodefeatSatsuki Nagao&Tsugutaka Sato(16:43)Tochi Pro- Event @ Tochigi Orion Square in Utsunomiya, Tochigi, Japan",
4,20.07.2025,,"Magic Killer #1,Magic Killer #2& Mikan Kid defeatHiroshi Tanabota,KAMIKAZE&Kazuhiko Matsuzaki(9:56)MBPW Summer Fight In Honjo 2025- Event @ JA Saitama Hibikino Hall in Honjo, Saitama, Japan",
5,15.06.2025,,"KAMIKAZE&Satsuki NagaodefeatAja Kong&Rikiya Fudo(17:40)Tochi Pro 4th Anniversary- Event @ Utsunomiya Orion Square in Utsunomiya, Tochigi, Japan",
6,14.06.2025,,"KAMIKAZE&Satsuki NagaodefeatTakumi Baba&Takumi Saito(18:20)Tochi Pro Papa To Kodomo- Event @ Utsunomiya Minaterase in Utsunomiya, Tochigi, Japan",
7,08.06.2025,,"Cerejeira,KAMIKAZE&Shiro KoshinakadefeatKosaku Tonosaki,Magic Killer #2&Toshiya Kawarai(13:07)MBPW Early Summer Battle- Event @ US Engeneering Co., Ltd. Special Ring in Honjo, Saitama, Japan",
8,07.06.2025,,"Kengo Takai&Shigeo KatodefeatCosmo Soldier&KAMIKAZE(19:17)KAGEKI Cosmo Soldier 30th Anniversary Memorial ~ Cosmic Rendezvous- Event @ Takashimadaira Kumin Center in Tokyo, Japan",
9,31.05.2025,,"KAMIKAZE&Satsuki NagaodefeatHajime&Lil Kraken(17:26)Tochi Pro Charge! Karasuyama Line Pro Wrestling- Event @ Utsunomiya Station West Exit Event Space in Utsunomiya, Tochigi, Japan",
10,31.05.2025,,"Battle Royal:Takumi BabadefeatsHajimeandJoji OtaniandKAMIKAZEandLil KrakenandSatsuki NagaoandShota NakagawaandTakumi Saito(21:20)Tochi Pro Charge! Karasuyama Line Pro Wrestling- Event @ Utsunomiya Station West Exit Event Space in Utsunomiya, Tochigi, Japan",
11,04.05.2025,,"Satsuki Nagao&Yumehito ImanaridefeatKAMIKAZE&Rikiya Fudo(16:18)Tochi Pro- Event @ Utsunomiya Tochigi Prefectural Gokoku Shrine in Utsunomiya, Tochigi, Japan",
12,29.04.2025,,"Magic Killer #2&Thunder MelendezdefeatKAMIKAZE&Kentochu Miyahara(13:19)MBPW 6th Hanipon Festival- Event @ Honjo Gas ECO Hanipon Plaza in Honjo, Saitama, Japan",
13,06.04.2025,,"KAMIKAZEdefeatsLeo Isaka(13:28)Marvelous- Event @ Oyama Bunka Center in Oyama, Tochigi, Japan",
14,05.04.2025,,"KAMIKAZE&Leo IsakadefeatKosuke Sato&Ryo Hoshino(17:18)Tochi Pro- Event @ Utsunomiya Orion Square in Utsunomiya, Tochigi, Japan",
15,20.03.2025,,"Hiroshi Tanabota&Joji OtanidefeatKAMIKAZE&Taro Yamada(12:45)MBPW Battle Of Spring Cherry Blossoms- Event @ JA Saitama Hibikino Hotel in Honjo, Saitama, Japan",
16,09.03.2025,,"KAMIKAZE,Leo Isaka&Takahiro KatoridefeatRyo Hoshino,Satsuki Nagao&Takumi Baba(20:15)Tochi Pro- Event @ Light Cube Utsunomiya in Utsunomiya, Tochigi, Japan",
