date,event,result,location,image_url
1,11.09.2025,,"AEW Unified Title/AEW International Title/AEW Continental Title:Kazuchika Okada(c) defeatsMichael OkuAEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
2,27.08.2025,,"The Don Callis Family(Hechicero,Josh Alexander,Kazuchika Okada&Konosuke Takeshita) defeatBrodido(Bandido&Brody King) &JetSpeed(Kevin Knight&Mike Bailey) (11:20)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
3,24.08.2025,,"AEW Unified Title/AEW Continental Title/AEW International Title:Kazuchika Okada(c) defeatsSwerve Strickland(16:41)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
4,16.07.2025,,"Kazuchika OkadadefeatsRafael Quintero(1:03)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
5,12.07.2025,,"AEW Unified Title/AEW Continental Title/AEW International TitleWinner Takes All Match (vakant):Kazuchika Okada(c) [Continental] defeatsKenny Omega(c) [International] (31:05) -TITLE CHANGE !!!AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
6,02.07.2025,,"Kazuchika OkadadefeatsKota Ibushi(14:47)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
7,18.06.2025,,"Kazuchika OkadadefeatsMark Briscoe(13:31)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
8,28.05.2025,,"AEW Continental TitleEliminator:Kazuchika Okada[c] defeatsAnthony Bowens(10:32)AEW Collision #95- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
9,25.05.2025,,"AEW Continental Title:Kazuchika Okada(c) defeatsMike Bailey(16:02)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
10,07.05.2025,,"AEW Continental TitleEliminator:Kazuchika Okada[c] defeatsKevin Knight(9:35)AEW Dynamite #292- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
11,30.04.2025,,"The Elite(Kazuchika Okada,Matthew Jackson&Nicholas Jackson) &RicochetdefeatKenny Omega,Kevin Knight,Mark Briscoe&Mike Bailey(26:25)AEW Dynamite #291- TV-Show @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
12,09.03.2025,,"AEW Continental Title:Kazuchika Okada(c) defeatsBrody King(10:56)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
13,05.03.2025,,"Kazuchika Okada&RicochetdefeatBrody King&Swerve Strickland(14:29)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/2023.11.04-okada.jpg
