date,event,result,location,image_url
1,10.08.2018,,"BTW Heavyweight  TitleGauntlet:Kevin NashdefeatsFlex Armstrong(c) and ??? and ??? andDarren YoungandJames EllsworthandTodo Loco-TITLE CHANGE !!!BTW- Event @ McCoy Stadium in Pawtucket, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
2,19.11.2016,,"Kevin NashdefeatsThe Brooklyn BrawlerBTW- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
3,23.01.2016,,"Kevin NashdefeatsKennedy KendrickLOW- Event @ Entertainment Dome in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
4,24.10.2015,,"Kevin Nashdefeats John BurkeBTW Halloween Havoc 2015- Event @ Barre Municipal Auditorium in Barre, Vermont, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
5,02.10.2015,,"Kevin NashdefeatsJake ManningBTW- Event @ Old Bacon County High School in Alma, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
6,19.09.2015,,"Flex Armstrong&Kevin NashdefeatBam Shaw&Ben OrtizBTW- Event @ Bethpage Highschool in Bethpage, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
7,18.07.2015,,"Kevin Nash&Magnusdefeat The Can-Am Connection (??? & ???) (5:58)NEW Wrestling Under The Stars IV Tour - Tag 1- Event @ Eastwood Field in Niles, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
8,02.05.2015,,"The House Of Atticus(Griffin&Guy Atticus) defeatChris Cambridge&Kevin NashIWR Day Of Destiny- Event @ Hardy Murphy Coliseum in Ardmore, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
9,19.04.2015,,"Kevin Nash&X-PacdefeatDamien Darling&Danny DemantoBTW- Event @ Sukee Arena in Winslow, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
10,11.04.2015,,"Asylum,John McChesney&Kevin NashdefeatGangrel,Krimson&War ChildIWC Night Of The Superstars 4- Event @ Meadville Area High School in Meadville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
11,22.03.2015,,"Kevin Nash&Randy ReigndefeatCody Deaner&RJ CityDestiny- Event @ Don Kolov Arena in Mississauga, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
12,22.02.2015,,"Flex Armstrong&Kevin NashdefeatBenny Jux&Bobby OceanBTW- Event @ Brushfork Armory in Bluefield, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
13,06.02.2015,,"Flex Armstrong&Kevin NashdefeatBam Shaw&Gregory EdwardsBTW- Event @ Jaffa Shrine in Altoona, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
14,26.01.2014,,"Royal Rumble:BatistadefeatsAlberto Del RioandAlexander RusevandAntonio CesaroandBig E. LangstonandCM PunkandCody RhodesandDamien SandowandDean AmbroseandDolph ZigglerandEl ToritoandErick RowanandFandangoandGoldustandJack SwaggerandJey UsoandJimmy UsoandJohn Bradshaw LayfieldandKaneandKevin NashandKofi KingstonandLuke HarperandR-TruthandRey MysterioandRoman ReignsandRybackandSeth RollinsandSheamusandThe Great KhaliandThe Miz(55:05)WWE Royal Rumble 2014- Pay Per View @ CONSOL Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
15,05.10.2013,,"Kevin Nash& Nico Francis defeatRIOT(Jeff Noyze &Vinny Cenzo)FWF- Event @ The Elk's Lodge in Brick, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
16,21.09.2013,,"Cody Hall&Kevin NashdefeatThe Outcast Killaz(Diablo Santiago&Oman Tortuga)NEW Wrestling Under The Stars II- Event @ Dutchess Stadium in Wappingers Falls, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
17,25.08.2013,,"Bull Dredd&Kevin NashdefeatPlatinum Entourage(J-Busta&Stevie Stamos)CTWE 5th Anniversary Farewell- Event @ Amity Middle School in Bethany, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
18,13.07.2013,,"FSW Heavyweight  Title:Kevin NashdefeatsTyshaun Prince(c) by DQFSW When Stars Collide- Event @ Mesquite, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
19,20.04.2013,,"Zack MercurydefeatsKevin NashRaising The Roof- Event @ Opera Ultralounge in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
20,30.03.2013,,"Flex Armstrong&Kevin NashdefeatThe Delfonzo Brothers(Eddie Delfonzo&Tony Delfonzo)BTW Spring Tour 2013- Event @ Jaffa Shrine in Altoona, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
21,24.03.2013,,"Buff Bagwell&Kevin NashdefeatThe Delfonzo Brothers(Eddie Delfonzo&Tony Delfonzo)BTW Spring Tour 2013- Event @ Augusta Civic Center in Augusta, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
22,23.03.2013,,"Buff Bagwell&Kevin NashdefeatThe Delfonzo Brothers(Eddie Delfonzo&Tony Delfonzo)BTW Spring Tour 2013- Event @ Webster Town Hall in Webster, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
23,22.03.2013,,"Buff Bagwell&Kevin NashdefeatThe Delfonzo Brothers(Eddie Delfonzo&Tony Delfonzo)BTW Spring Tour 2013- Event @ Police Activities League in Danbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
24,16.03.2013,,"Jack Maverick&Kevin NashdefeatThe Delfonzo Brothers(Eddie Delfonzo&Tony Delfonzo)BTW Spring Tour 2013- Event @ Malden High School in Malden, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
25,15.03.2013,,"Kevin NashdefeatsRJ BrewerBTW Spring Tour 2013- Event @ Oxford Hills Comprehensive High School in South Paris, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
26,22.02.2013,,"NGW World TitleTournament First Round Four Way Elimination:Davey Boy Smith Jr.andKevin NashdefeatBrian CageandTrent BarretaNGW- Pay Per View @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
27,18.11.2012,,"Kevin Nash&Teddy HartdefeatHeavy Metal&Jess YoungbloodRCW Egos And Icons- Event @ Union Hall in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
28,20.10.2012,,"Cody Deaner&Kevin NashdefeatJohnny Swinger&Jon BolenBCW- Event @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
29,23.09.2012,,"Keiji Muto&Kevin NashdefeatSeiya Sanada&Taiyo Kea(15:30)AJPW 40th Anniversary Year Flashing Tour 2012 - Tag 8- TV-Show @ Yokohama Bunka Gymnasium in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
30,09.09.2012,,"No Disqualification:Kevin NashdefeatsKrimsonBBWF Carribean Wrestling Bash Aruba - The Legend Tour- Event @ Joe Laveist Ball Park in Sint Nicolaas, Aruba",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
31,08.09.2012,,"BBWF Aruba TitleTournament Semi Final:Scott SteinerdefeatsKevin NashBBWF Carribean Wrestling Bash Aruba - The Legend Tour- Event @ Joe Laveist Ball Park in Sint Nicolaas, Aruba",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
32,06.06.2012,,"Kevin Nash&Mr. FantasticdefeatKiyoshi&KrimsonLCW Hart Attack Tour Finale- Event @ Jack Byrne Stadium in Torbay, Newfoundland, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
33,02.06.2012,,"FTW World Heavyweight Title:The Rockstar(c) defeatsKevin NashFTW Locked & Loaded- Event @ Center Island Sports in Ronkonkoma, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
34,01.06.2012,,"Kevin NashdefeatsRobbie ENEW Spring Slam 2012- Event @ Newburgh Free Academy High School in Newburgh, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
35,26.05.2012,,"The JWO (Kevin Nash&Sean Waltman) defeatThe Head Bangers(Mosh&Thrasher)JCW Hatchet Attacks 2012- Pay Per View @ McGee Park Coliseum in Farmington, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
36,12.05.2012,,"Two On One Handicap:Kevin Nashdefeats Team Double D (Danny Demanto&Danny Doring)NWS- Event @ St. Catherine's Parish Hall in North Middletown, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
37,05.05.2012,,"Gene Snitskyvs.Kevin Nash- Double DQNWS- Event @ St. Matthews School Gym in Edison, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
38,21.04.2012,,"Kevin NashdefeatsDamien Darling(6:55)ECPW- Event @ Our Lady Of Guadalupe School in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
39,18.12.2011,,"Suspended Sledgehammer Ladder:Triple HdefeatsKevin Nash(18:11)WWE TLC: Tables, Ladders & Chairs 2011- Pay Per View @ 1st Mariner Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
40,05.12.2011,,"Kevin NashdefeatsSantino Marella(1:04)WWE Monday Night RAW #967- TV-Show @ St. Pete Times Forum in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
41,01.12.2011,,"John Cena&The Big ShowdefeatKevin Nash&The Miz(9:21)WWE RAW House Show- House Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
42,30.11.2011,,"The Big Show&Zack RyderdefeatDolph Ziggler&Kevin Nash(12:35)WWE RAW House Show- House Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d9/5_Main_Event_Mafia_members.jpg
