date,event,result,location,image_url
1,01.03.2025,,"Unsanctioned:Kevin OwensdefeatsSami Zayn(27:35)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
2,01.02.2025,,"Undisputed WWE TitleLadder:Cody Rhodes(c) defeatsKevin Owens(25:22)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
3,24.01.2025,,"Kevin OwensdefeatsJimmy Uso(13:44)WWE Friday Night SmackDown #1327- TV-Show @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
4,17.01.2025,,"Kevin OwensdefeatsRey Mysterio(15:34)WWE Friday Night SmackDown #1326- TV-Show @ Pechanga Arena in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
5,30.12.2024,,"Undisputed WWE TitleSteel Cage:Cody Rhodes(c) defeatsKevin OwensWWE Live Holiday Tour- House Show @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
6,29.12.2024,,"Undisputed WWE TitleSteel Cage:Cody Rhodes(c) defeatsKevin OwensWWE Live Holiday Tour- House Show @ Kaseya Center in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
7,28.12.2024,,"Undisputed WWE TitleSteel Cage:Cody Rhodes(c) defeatsKevin OwensWWE Live Holiday Tour- House Show @ Kia Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
8,26.12.2024,,"Undisputed WWE TitleSteel Cage:Cody Rhodes(c) defeatsKevin OwensWWE Live Holiday Tour- House Show @ VyStar Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
9,14.12.2024,,"Undisputed WWE Title:Cody Rhodes(c) defeatsKevin Owens(12:03)WWE Saturday Night's Main Event #37- TV-Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
10,27.09.2024,,"The Bloodline(Jacob Fatu&Solo Sikoa) defeatKevin Owens&Randy Orton(15:05)WWE Friday Night SmackDown #1310- TV-Show @ Paycom Center in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
11,20.09.2024,,"Kevin Owens&The Street Profits(Angelo Dawkins&Montez Ford) vs.The Bloodline(Jacob Fatu,Tama Tonga&Tonga Loa) - No Contest (14:47)WWE Friday Night SmackDown #1309- TV-Show @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1b/Hell_in_a_Cell_04.jpg
