date,event,result,location,image_url
1,24.08.2025,,"NYWC Trios Title:NYWC OG's (Dickie Rodz,JT Kasin&Spyder) defeat The FBI (CJ Bambino,Little Guido& Nicky Primo) (c) -TITLE CHANGE !!!NYWC The Heat Is On- Online Stream @ Mulcahy's in Wantagh, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
2,02.08.2025,,"??? &Nunziodefeat The EWO (??? & ???)WTW Through The Fire And The Flames- Event @ Citizens Fire Company #2 in Mahanoy City, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
3,07.06.2025,,"Joey Vincent Martini&Little GuidodefeatHigh Seas(Cloudy&Nick Ando)AIW Bang Your Head- Online Stream @ Penguin City Brewing Company in Youngstown, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
4,29.03.2025,,"NYWC Trios Title:The FBI (CJ Bambino,Little Guido& Nicky Primo) (c) defeatDirty Deedz(Dirk Moore,Johnny Malloy& Uncle Billy)NYWC Aftermath 2025- Event @ NYWC Sportatorium in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
5,08.03.2025,,"Dirty DangodefeatsNunzioECPW- Event @ Eastchester High School in Eastchester, New York USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
6,22.02.2025,,"NYWC Trios Title:The FBI (CJ Bambino,Little Guido& Nicky Primo) defeatDirty Deedz(Dirk Moore,Johnny Malloy& Uncle Billy) (c) -TITLE CHANGE !!!NYWC Psycho Circus 22- Event @ Farmingville Fire Department in Farmingville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
7,25.01.2025,,"NYWC Trios Title#1 Contendership:FBI (Gary Reno,Little Guido& Nicky Primo) defeatJ-Redd,JT Kasin&Tony BurmaNYWC SIdeshow 2025- Event @ NYWC Sportatorium in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
8,19.01.2025,,"Los Desperados(Arez,Gringo Loco&Jack Cartwheel) defeatLittle Guido,Super Crazy&Tajiri(12:35)GCW The People Vs. GCW 2025- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
9,16.01.2025,,"NunziodefeatsDrew MarstonECPW- Event @ Warwick Valley Middle School in Warwick, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
10,04.01.2025,,"The FBI(Little Guido,Ray Jaz&Zack Clayton) defeatDanny Doring,Dante Casanova&Landon Hale(7:38)ACW Poughkeepsie Rumble- Pay Per View @ MJN Convention Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
11,24.11.2024,,"PWM Junior Heavyweight Title:Troy Locke (c) defeatsNunzioPWM Christmas Party- Online Stream @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
12,23.11.2024,,"Little Guido&Ricky MortondefeatGriffin McCoy&Kerry Morton(6:35)GCW Dream On 2024- Pay Per View @ American Dream in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
13,23.11.2024,,"Little Guidovs.Ricky Morton- No Contest (2:00)GCW Dream On 2024- Pay Per View @ American Dream in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
14,06.11.2024,,"WWE NXT North American Title:Tony D'Angelo(c) defeatsNunzio(2:19)WWE NXT #758 - NXT 2300- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/JamesMaritato2010.png
