date,event,result,location,image_url
1,13.12.2022,,"WWE NXT Women's Title:Roxanne PerezdefeatsMandy Rose(c) (9:38) -TITLE CHANGE !!!WWE NXT #659- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
2,03.12.2022,,"Ivy Nile,Roxanne Perez&Tatum PaxleydefeatToxic Attraction(Gigi Dolin,Jacy Jayne&Mandy Rose)WWE NXT Live- House Show @ Martin Luther King Jr. Recreation Center in Gainesville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
3,03.12.2022,,"WWE NXT Women's Title:Ivy NiledefeatsMandy Rose(c) by DQWWE NXT Live- House Show @ Martin Luther King Jr. Recreation Center in Gainesville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
4,29.11.2022,,"Toxic Attraction(Gigi Dolin,Jacy Jayne&Mandy Rose) defeatKatana Chance,Kayden Carter&Nikkita Lyons(8:54)WWE NXT #657- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
5,19.11.2022,,"Toxic Attraction(Gigi Dolin,Jacy Jayne&Mandy Rose) defeatDani Palmer,Indi Hartwell&Sol RucaWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
6,15.11.2022,,"WWE NXT Women's TitleLast Woman Standing:Mandy Rose(c) defeatsAlba Fyre(11:56)WWE NXT #655- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
7,28.10.2022,,"WWE NXT Women's Title:Mandy Rose(c) defeatsThea HailWWE NXT Live- House Show @ Melbourne Auditorium in Melbourne, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
8,22.10.2022,,"WWE NXT Women's Title:Mandy Rose(c) defeatsAlba Fyre(7:07)WWE NXT Halloween Havoc 2022- Premium Live Event @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
9,24.09.2022,,"WWE NXT Women's Title:Mandy Rose(c) defeatsNikkita LyonsWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
10,14.09.2022,,"Mandy RosedefeatsFallon Henley(5:40)WWE NXT #648- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
11,10.09.2022,,"Mixed:Indi Hartwell,Nathan Frazer&Wes LeedefeatCarmelo Hayes,Mandy Rose&Trick WilliamsWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
12,04.09.2022,,"WWE NXT Women's Title/WWE NXT UK Women's TitleTriple Threat Unification:Mandy Rose(c) [NXT] defeatsBlair DavenportandMeiko Satomura(c) [NXT UK] (13:18) -TITLE CHANGE !!!WWE NXT Worlds Collide 2022- Premium Live Event @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
13,20.08.2022,,"WWE NXT Women's TitleTriple Threat:Mandy Rose(c) defeatsCora JadeandIvy NileWWE NXT Live- House Show @ Venice Community Center in Venice, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mandy_Rose%26Sonya_Deville_WM34.jpg
