date,event,result,location,image_url
1,13.09.2025,,"Elimination:Chris Vice,Daisuke Sekimoto&Masato Tanakadefeat Hayabusa,Mammoth Sasaki&Yuko Miyamoto(14:41)ZERO1 Keep On Running 2025- Event @ TOKYOSQUARE In Itabashi in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
2,31.08.2025,,"Hayabusa &Masato TanakadefeatJunya Matsunaga&Yuki Toki(19:59)ZERO1- Event @ TOKYOSQUARE In Itabashi in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
3,24.08.2025,,"Junya Matsunaga,Masato Tanaka&Yuki TokidefeatBryan Ishizaka,Hashinosuke&Takumi Sakurai(13:24)A-TEAM Tomohiko Hashimoto Memorial Event ~Thank You For Your Hard Work! Thank You For Everything!- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
4,22.08.2025,,"Battle Royal:Mima ShimodadefeatsMadison MarleyandMasato TanakaandMio MomonoandMisa KaguraandSUGIandYumiko Hotta(8:53)SEAdLINNNG 10th Anniversary- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
5,03.08.2025,,"Mask Vs. ZERO1 Career:Hayabusa [Mask] vs.Masato Tanaka[Career] - Time Limit Draw (30:00)ZERO1- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
6,25.07.2025,,"Aja Kong&Junya MatsunagadefeatMasato Tanaka&Takuya Sugawara(13:35)ZERO1- Event @ Shiba Shinborimachi Children's Park in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
7,04.07.2025,,"Junya Matsunaga&Yuki TokidefeatMasato Tanaka&Takuya Sugawara(12:36)ZERO1 Fire Festival 2025 - Tag 9- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
8,29.06.2025,,"Fire Festival 2025 A Block:Chris Vice[20] defeatsMasato Tanaka[15] (11:49)ZERO1 Fire Festival 2025 - Tag 8- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
9,28.06.2025,,"Fire Festival 2025 A Block:Masato Tanaka[15] defeatsTakuya Sugawara[15] (1:05)ZERO1 Fire Festival 2025 - Tag 7- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
10,25.06.2025,,"Okami(Daichi Hashimoto&Hideyoshi Kamitani) defeatMasato Tanaka&Yuya Aoki(14:22)BJW- Event @ Sapporo Penny Lane 24 in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bc/20221030tanaka.jpg
