date,event,result,location,image_url
1,06.09.2025,,"Matt CrossdefeatsJax WilliamsTop Tier New Season- Event @ Hamilton Convention Centre in Hamilton, Ontario, Canada",
2,24.08.2025,,"Matthew Cross&Thunderkittydefeat Grease And Grit (Greta Von Grit&Roscoe Grime)Olde Wrestling Extravaganza 2025- Event @ Huron County Fairgrounds in Norwalk, Ohio, USA",
3,17.08.2025,,"NGW Title:Matt Cross(c) defeatsCedric Alexanderby DQNGW Wrestle Wars 2025- Event @ The Mill And Mine in Knoxville, Tennessee, USA",
4,14.08.2025,,"GCW Legends (2 Cold Scorpio,Masha Slamovich&The Great Sasuke) defeat Team JCW (Alice Crowley,JP Grayson&Matt Cross) (10:11)GCW/JCW The 2 Day War - Tag 1- Pay Per View @ Legend Valley in Thornville, Ohio, USA",
5,12.08.2025,,"Matt CrossdefeatsThe Wraith(3:33)JCW Lunacy #48 - Gathering Of The Juggalos 2025- Online Stream @ Legend Valley in Thornville, Ohio, USA",
6,01.08.2025,,"Mecha WolfdefeatsMatt Cross(7:48)JCW Lunacy: Powder Keg- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",
7,13.06.2025,,"World TitleFour Way:Matthew Cross(c) defeatsCowpoke PaulandGino DeCapoandShelby WylderOlde Wrestling Murder Mystery- Event @ Beachland Ballroom & Tavern in Cleveland, Ohio, USA",
8,07.06.2025,,"ASW Heavyweight  TitleTriple Threat:Huffmanly(c) defeatsJason KincaidandMatt CrossASW Bash In Beckley V- Event @ Beckley Raleigh Convention Center in Beckley, West Virginia, USA",
9,31.05.2025,,"Stu GraysondefeatsMatt CrossTop Tier Mayday- Event @ Hamilton Convention Centre in Hamilton, Ontario, Canada",
10,25.05.2025,,"NGW Title:Matt Cross(c) defeatsSuge DNGW New Blood- Event @ The Mill & Mine in Knoxville, Tennessee, USA",
11,23.05.2025,,"JCW American TitleFour Way:Caleb Konley(c) defeatsLuigi PrimoandMatt Crossand Mike The Ref (Mosh Pit Mike) (8:38)JCW Lunacy #41- Online Stream @ Mountain View Amphitheater in Cheswick, Pennsylvania, USA",
