date,event,result,location,image_url
1,05.09.2025,,"CPW Women's    TitleTriple Threat:Skylar Slice(c) defeatsKyraandNova PhoenixCPW Revival- Event @ HillSpring Church in Sand Springs, Oklahoma, USA",
2,29.08.2025,,"Three Way:MelinadefeatsJazze ParryandJGUDrag Attack Divas In Paris- Event @ YOYO in Paris, Frankreich",
3,10.05.2025,,"Wrestle Nation Battle Royal:KA Kid defeats 2Shinbi and Andre Cartier and Byeolbit Naru and Charlie West and Dr. XXplosive andIkemen JiroandMelinaandPixelandThe Boy DivaPWS Wrestle Nation- Event @ KBS Arena in Seoul, Südkorea",
4,16.09.2022,,"MCW Women's  TitleFour Way:Mandy LeondefeatsGia Scott(c) andLeila GreyandMelina(6:43) -TITLE CHANGE !!!MCW Ladies Night 2022- Pay Per View @ RJ Meyer Arena in Joppa, Maryland, USA",
5,05.06.2022,,"A Matter Of Pride Title:Rick Cataldo(c) defeatsMelina PerezA Matter Of Pride Peepshow XXX- Event @ Brooklyn Monarch in New York City, New York, USA",
6,07.05.2022,,"Scarlett BordeauxdefeatsMelina(4:51)WrestlePro May-Hem- Pay Per View @ Rahway Rec Center in Rahway, New Jersey, USA",
7,01.04.2022,,"DPCW Women's Tag Team Title 50.000 Dollar Challenge Match (vakant):Mystii Marks&Rache ChaneldefeatMelina&Salina de la Renta-TITLE CHANGE !!!TSW Unfoolish Business- Event @ TSW Plus Broadcast Studios in Addison, Texas, USA",
8,29.01.2022,,"Royal Rumble:Ronda RouseydefeatsAlicia FoxandAliyahandBianca BelairandBrie BellaandCameronandCarmellaandCharlotte FlairandDana BrookeandIvoryandKelly KellyandLitaandLiv MorganandMelinaandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNikki ASHandNikki BellaandQueen ZelinaandRhea RipleyandSarah LoganandSasha BanksandShayna BaszlerandShotziandSonya DevilleandSummer RaeandTamina(59:42)WWE Royal Rumble 2022- Premium Live Event @ The Dome At America's Center in St. Louis, Missouri, USA",
9,18.12.2021,,"Melina&Salina de la RentadefeatJazmin Allure&Madi Wrenkowski(10:02)TSW Unsettled Business- Event @ TSW Plus Broadcast Studios in Addison, Texas, USA",
10,06.12.2021,,"MelinadefeatsMadi Wrenkowski(4:42)NWA Powerrr #50- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
11,06.12.2021,,"MelinadefeatsChristi Jaynes(6:14)NWA Powerrr #53- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
12,04.12.2021,,"NWA World Women's Title:Kamille(c) defeatsMelina(12:42)NWA Hard Times 2 - Revenge Has No Bounds- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",
13,23.10.2021,,"Call Your Shot Gauntlet:MoosedefeatsAce AustinandAlishaandBrian MyersandChris SabinandEddie EdwardsandJohnny SwingerandLaredo KidandMadman FultonandMatt CardonaandMelinaandRachael ElleringandRich SwannandRocky RomeroandRohit RajuandSam BealeandSavannah EvansandTasha SteelzandThe DemonandW. Morrissey(29:38)Impact Wrestling Bound For Glory 2021- Pay Per View @ Sam's Town Hotel & Gambling Hall in Las Vegas, Nevada, USA",
14,01.09.2021,,"MelinadefeatsSkye Blue(3:15)NWA Powerrr Surge #7- Online Stream @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",
15,31.08.2021,,"NWA World Women's Title#1 Contendership Three Way:MelinadefeatsChelsea GreenandKylie Rae(4:08)NWA Powerrr #42 - EmPowerrr- Online Stream @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",
16,28.08.2021,,"Impact Knockouts Title:Deonna Purrazzo(c) defeatsMelina(14:38)NWA EmPowerrr- Pay Per View @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",
17,15.08.2021,,"Deonna Purrazzo&Matt RehwoldtdefeatMelina&Trey Miguel(10:15)Impact Wrestling Emergence 2021- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",
18,15.08.2021,,"MelinadefeatsBrandi Lauren(2:04)Impact Wrestling #892- TV-Show @ Skyway Studios in Nashville, Tennessee, USA",
19,29.06.2021,,"Kylie RaedefeatsMelina(6:10)NWA Powerrr #31- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
20,15.06.2021,,"Three Way:MelinadefeatsJennacideandKenzie Paige(2:21)NWA Powerrr #29- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
21,06.06.2021,,"Kylie Rae&Taryn TerrelldefeatMelina&Thunder Rosa(8:53)NWA When Our Shadows Fall- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",
22,22.02.2020,,"MelinadefeatsRick CataldoNYWC Psycho Circus 18- Event @ NYWC Sportatorium in Deer Park, New York, USA",
23,08.02.2020,,"WOW Women's  Title:Melina(c) defeatsGabby OrtizWOW Cold Fury 2020- Event @ Funstation USA in New York City, New York, USA",
24,26.01.2020,,"NWA World Women's Title:Thunder Rosa(c) defeatsMelinaby Count Out (1:45)NWA Powerrr #19- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
25,25.01.2020,,"MelinadefeatsTasha Steelz(4:46)NWA Powerrr #18- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
26,18.01.2020,,"WOW Women's  Title:MelinadefeatsUltra Violette(c) -TITLE CHANGE !!!WOW New Beginnings 2020- Event @ St. Finbars Catholic Church in New York City, New York, USA",
27,09.01.2020,,"Melinadefeats DJ Summers (8:39)A Matter Of Pride Thy Queendom Cum- Event @ 3 Dollar Bill in New York City, New York, USA",
28,16.12.2019,,"MelinadefeatsAshley Vox(3:09)NWA Powerrr #14- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
29,15.12.2019,,"Marti Belle,Melina&Thunder RosadefeatAllysin Kay,Ashley Vox&ODB(5:46)NWA Powerrr #11- Online Stream @ GPB Studios in Atlanta, Georgia, USA",
30,14.12.2019,,"Allysin Kay&ODBdefeatMarti Belle&Melina(7:21)NWA Into The Fire- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",
31,07.12.2019,,"GLCW Ladies Title:ODB(c) defeatsMelinaGLCW/HOH 57: Blizzard Brawl 15 - ""Challenge Of The SuperFriends""- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",
32,02.11.2019,,"Match (Special Referee: Swoggle):Melina PerezdefeatsAria PalmerMCW Chaos In Culpeper- Event @ Eastern View High School in Culpeper, Virginia, USA",
33,10.10.2019,,"Eddy McQueen&MelinadefeatRick Cataldo&Vinny PacificoA Matter Of Pride Scream Queens- Event @ 3 Dollar Bill in New York City, New York, USA",
34,26.09.2019,,"MelinadefeatsKimber LeeNYWC/Outlaw Wrestling- Event @ Brooklyn Bazaar in New York City, New York, USA",
35,21.09.2019,,"MORE Wrestling Women's Title Match (vakant):Lisa Marie VarondefeatsMelina Perez(9:31) -TITLE CHANGE !!!MORE Wrestling Masters Of Ring 1- Event @ Duplin County Events Center in Kenansville, North Carolina, USA",
36,15.08.2019,,"MelinadefeatsSolo DarlingNYWC/Outlaw Wrestling- Event @ Our Lady Of Mount Carmel in New York City, New York, USA",
37,20.06.2019,,"Three On Two Handicap:Bull James&MelinadefeatAnthony Greene&The Platinum Hunnies(Angel Sinclair&Ava Everett)NYWC/Outlaw Wrestling- Event @ Our Lady Of Mount Carmel in New York City, New York, USA",
