date,event,result,location,image_url
1,08.04.2021,,"The Carnage Crew(DeVito&Loc) &New JackdefeatThe Rejects(John Wayne Murdoch&Reed Bentley) &Neil Diamond Cutter(7:40)ICW No Holds Barred Volume 11 - Then & Now- Online Stream @ 81Bay Brewing Company in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
2,20.09.2019,,"New JackdefeatsKeith KnoxKFW Black Harvest 13- Online Stream @ River Plantation RV Resort in Sevierville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
3,12.07.2019,,"Hardcore Battle Royal:New Jackdefeats Chino Reyes andCorviceand Damarkus Rashad andJeff Gantand Joey DynamiteHMW Fight The Power- Event @ The Guillotine in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
4,11.05.2019,,"Kareem &New Jackdefeat Big Rock &Dirtbag DanSKPW Inner Demons II: Blame The Dogg- Event @ Holmesburg Rec. Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
5,21.10.2017,,"War Games:Team PWS (???, ???, ???,Crazzy Steve&New Jack) defeat Team Evolution (???, ???, Corey Smith,Nicole Stratton&Wayne Adkins)IPW Shocktober- Event @ Carver Rec Center in Johnson City, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
6,30.09.2017,,"Three Way:Matt TremontdefeatsNew JackandNick GagePWS Refuse To Lose 2017- Event @ Metuchen Sportsplex in Metuchen, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
7,24.09.2017,,"No Rules:New JackdefeatsArik AngelPrimos Slave To The Deathmatch 8- Event @ Watering Bowl in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
8,09.09.2017,,"Wildside Special Rumble:New JackdefeatsDestinyandKid USAandMark E. MarkandMike PoseyandMr. DeliciousandRusty RiddleandScotty BeachandTJ Grayand White Trash (13:30)NWA Wildside Reunion- Event @ Landmark Arena in Cornelia, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
9,24.06.2017,,"Clay Sawyer,Kleetus&New JackdefeatAce Marxman,Mikey Pacifica&Waylon KageSWF Feel The Heat- Event @ Bayville Elk Lodge in Bayville, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
10,05.05.2017,,"Clay Sawyer&New Jackdefeat Lukas Finnegan &Mikey PSWF Cinco De Mayhem 2017- Event @ Columbian Club of Avenel in Avenel, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Necro_Butcher_%26_New_Jack.jpg
