date,event,result,location,image_url
1,10.09.2025,,"500.000 Dollar:Death Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBrodido(Bandido&Brody King) &The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) (13:22)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
2,03.09.2025,,"The Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) defeatAdam Page,JetSpeed(Kevin Knight&Mike Bailey) &Kenny Omega(22:12)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
3,24.08.2025,,"Lights Out Steel Cage:Darby Allin,Golden Lovers(Kenny Omega&Kota Ibushi),Hiroshi Tanahashi&Will OspreaydefeatDeath Riders(Claudio Castagnoli&Jon Moxley),Gabe Kidd&The Young Bucks(Matt Jackson&Nick Jackson) (32:25)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
4,20.08.2025,,"The Young Bucks(Matt Jackson&Nick Jackson) defeatParagon(Kyle O'Reilly&Roderick Strong) (15:47)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
5,13.08.2025,,"Brody King,The Conglomeration(Hologram&Tomohiro Ishii) &Hiromu TakahashidefeatThe Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) (16:26)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
6,06.08.2025,,"AEW World Tag Team TitleEliminator Tournament Semi Final:Brodido(Bandido&Brody King) defeatThe Young Bucks(Matt Jackson&Nick Jackson) (20:26)AEW Dynamite #305- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
7,30.07.2025,,"AEW World Tag Team TitleEliminator Tournament Quarter Final:The Young Bucks(Matt Jackson&Nick Jackson) defeatThe Outrunners(Truth Magnum&Turbo Floyd) (14:18)AEW Dynamite #304- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
8,16.07.2025,,"The Don Callis Family(Hechicero&Josh Alexander) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBandido,Brody King&JetSpeed(Kevin Knight&Mike Bailey) (13:36)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
9,12.07.2025,,"Swerve Strickland&Will OspreaydefeatThe Young Bucks(Matthew Jackson&Nicholas Jackson) (26:16)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
10,09.07.2025,,"Death Riders(Claudio Castagnoli&Jon Moxley) &The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatAdam Page,The Opps(Katsuyori Shibata&Powerhouse Hobbs) &Will Ospreay(10:37)AEW Dynamite #301- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
11,02.07.2025,,"Konosuke Takeshita&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatBandido&Paragon(Kyle O'Reilly&Roderick Strong) (11:53)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
12,18.06.2025,,"Death Riders(Jon Moxley&Wheeler Yuta),The Beast Mortos&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatThe Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe),Swerve Strickland&Will Ospreay(16:13)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
13,25.05.2025,,"Anarchy In The Arena:Kenny Omega,Swerve Strickland,The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) &Willow NightingaledefeatDeath Riders(Claudio Castagnoli,Jon Moxley,Marina Shafir&Wheeler Yuta) &The Young Bucks(Matthew Jackson&Nicholas Jackson) (35:19)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
14,21.05.2025,,"Swerve Strickland&The Opps(Powerhouse Hobbs&Samoa Joe) defeatJon Moxley&The Young Bucks(Matthew Jackson&Nicholas Jackson) (21:16)AEW Dynamite #294- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
15,09.05.2025,,"The Good Brothers(Doc Gallows&Karl Anderson) &The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatBULLET CLUB War Dogs(Clark Connors,David Finlay,Gabe Kidd&Gedo) (13:39)NJPW Resurgence 2025- Pay Per View @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
16,07.05.2025,,"Ricochet&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatMark Briscoe,Mike Bailey&Swerve Strickland(14:15)AEW Dynamite #292- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
17,30.04.2025,,"The Elite(Kazuchika Okada,Matthew Jackson&Nicholas Jackson) &RicochetdefeatKenny Omega,Kevin Knight,Mark Briscoe&Mike Bailey(26:25)AEW Dynamite #291- TV-Show @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
18,23.04.2025,,"The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatKevin Knight&Mike Bailey(15:46)AEW Dynamite #290- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/6/66/Matt_and_Nick_Jackson.jpg
