date,event,result,location,image_url
1,27.10.2013,,"Hell In A Cell Two On One Handicap:CM PunkdefeatsPaul Heyman&Ryback(13:50)WWE Hell In A Cell 2013- Pay Per View @ AmericanAirlines Arena in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
2,22.10.2013,,"Two One One Handicap No Disqualification:Paul Heyman&RybackdefeatCM Skunk(2:43)WWE Friday Night SmackDown #740- TV-Show @ BJCC Arena in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
3,20.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ Bancorp South Arena in Tupelo, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
4,18.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
5,17.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ VFG Arena in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
6,13.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
7,12.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ Dunkin' Donuts Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
8,05.10.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ Times Union Center in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
9,29.09.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
10,28.09.2013,,"Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Live- House Show @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
11,15.09.2013,,"Two On One Handicap Elimination No Disqualification:Curtis Axel&Paul HeymandefeatCM Punk(15:43)WWE Night Of Champions 2013- Pay Per View @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
12,09.09.2013,,"Dark Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Monday Night RAW #1059- Dark Match @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
13,02.09.2013,,"Dark Two On One Handicap No Disqualification:CM PunkdefeatsCurtis Axel&Paul HeymanWWE Monday Night RAW #1058- Dark Match @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
14,27.12.2012,,"Street Fight:RybackdefeatsPaul HeymanWWE RAW House Show- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
15,15.11.2006,,"Extreme Rules:Rob Van DamdefeatsPaul HeymanWWE Road To Survivor Series Tour 2006 - Tag 13- House Show @ Braehead Arena in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
16,11.11.2006,,"Extreme Rules:Rob Van DamdefeatsPaul HeymanWWE Road To Survivor Series Tour 2006 - Tag 8- House Show @ PalaTrieste in Triest, Italien",https://upload.wikimedia.org/wikipedia/commons/b/b5/Brock_Lesnar_and_Paul_Heyman_April_2014.jpg
