date,event,result,location,image_url
1,22.08.2025,,"Piper NivendefeatsCharlotte Flair(7:33)WWE Friday Night SmackDown #1357- TV-Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
2,15.08.2025,,"Alexa BlissdefeatsPiper Niven(7:36)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
3,28.07.2025,,"IYO SKY,Nikki Bella,Rhea Ripley&Stephanie VaquerdefeatNaomi&The Green Regime(Alba Fyre,Chelsea Green&Piper Niven) (14:38)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
4,13.07.2025,,"20 Woman Battle Royal:Stephanie VaquerdefeatsAlba FyreandB-FabandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIzzi DameandJaida ParkerandKelani JordanandLash LegendandLola ViceandMaxxine DupriandMichinandNatalyaandNia JaxandNikki BellaandPiper NivenandTatum PaxleyandZelina Vega(15:32)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
5,30.06.2025,,"WWE Women's Tag Team Title#1 Contendership Triple Threat:Alexa Bliss&Charlotte FlairdefeatB-Fab&MichinandThe Secret Hervice(Alba Fyre&Piper Niven) (9:08)WWE Friday Night SmackDown #1350- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
6,13.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Jade CargilldefeatsMichinandNia JaxandPiper Niven(12:50)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
7,06.06.2025,,"Bakersfield Brawl:Zelina VegadefeatsPiper Niven(10:45)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
8,23.05.2025,,"B-Fab&MichindefeatThe Secret Hervice(Alba Fyre&Piper Niven) (3:45)WWE Friday Night SmackDown #1344- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
9,09.05.2025,,"Alexa Bliss&Zelina VegadefeatThe Green Regime(Chelsea Green&Piper Niven) (8:20)WWE Friday Night SmackDown #1342- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
10,02.05.2025,,"Zelina VegadefeatsPiper Niven(11:09)WWE Friday Night SmackDown #1341- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/8/83/Piper_Niven_081925.jpg
