date,event,result,location,image_url
1,06.09.2025,,"4th Rope Flyweight Title:Real1(c) defeatsAnthony GangonePPW College Invasion- Event @ American International College in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
2,30.08.2025,,"4th Rope Flyweight Title:Real1(c) defeatsBull James(5:39)CCW Breakout 51- Online Stream @ CCW Arena in Pompano Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
3,22.08.2025,,"ALW Tag Team Title:Brothers In Arms(Babathunder&Jason Dugan) (c) defeatBen Bishop&Real1by DQ (12:53)ALW Next Level: Strike Fast, Strike Hard- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
4,09.08.2025,,"ACW National Title:Real1(c) defeatsLeo Sparrow(14:08)ACW Uprising- Pay Per View @ Sound Garden Arena in Poughquag, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
5,26.07.2025,,"Real1defeatsSteven LustNWWE Summer Sizzler '25- Event @ American Legion Post 85 in Woonsocket, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
6,20.07.2025,,"Josh Bishop,Real1&Zilla FatudefeatJake Something,Mance Warner&Steve Maclin(3:00)TNA Countdown To Slammiversary 2025- Online Stream @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
7,18.07.2025,,"ACW National Title:Real1(c) defeatsZack Clayton(10:16)ACW Fallout- Pay Per View @ MJN Convention Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
8,12.07.2025,,"4th Rope Flyweight Title:Real1(c) defeatsAugust ArtoisWFC ExtravaSLAMza 4- Event @ Property Event Center in Broken Arrow, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
9,27.06.2025,,"4th Rope Flyweight Title:Real1(c) defeatsThiago Montero4th Rope Heels Have Eyes: Pray Four Paris- Event @ Studio Jenny in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
10,21.06.2025,,"Real1defeats The REVenueRWA Unleashed 2025- Event @ West Newton Gym in West Newton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
11,13.06.2025,,"Ben Bishop&Real1defeat The Sugar Daddies (Austin Kingsley& Dan Stofko)ACW It's Friday The 13th Bro- Event @ Salisbury Elks Lodge in Salisbury, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
12,01.06.2025,,"4th Rope Flyweight Title:Real1(c) defeats LiamoWWC Certified Summer Bonafide Fun- Event @ VFW Post 511 in New Britain, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassady-Amore.jpg
