date,event,result,location,image_url
1,17.06.2016,,"DDT Iron Man Heavy Metal Title:Scott HalldefeatsChuck Taylor(c) -TITLE CHANGE !!!F1RST Wrestlepalooza- Event @ Wooly's in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
2,19.05.2010,,"TNA World Tag Team TitleTwo On One Handicap:The Band(Eric Young&Scott Hall) (c) defeatMatt Morgan(0:14)TNA iMPACT #310- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
3,18.05.2010,,"Three Way:Ink Inc.(Jesse Neal&Shannon Moore) defeatTeam 3D(Brother Devon&Brother Ray) andThe Band(Eric Young&Scott Hall) (4:51)TNA iMPACT #308- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
4,16.05.2010,,"TNA World Tag Team Title:The Band(Kevin Nash&Scott Hall) (c) defeatInk Inc.(Jesse Neal&Shannon Moore) (8:00)TNA Sacrifice 2010- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
5,04.05.2010,,"TNA World Tag Team TitleTwo On One Handicap:The Band(Kevin Nash&Scott Hall) defeatMatt Morgan(c) -TITLE CHANGE !!!TNA iMPACT #306- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
6,18.04.2010,,"Steel Cage Falls Count Anywhere Tag Team St. Louis Street Fight:Team 3D(Brother Devon&Brother Ray) defeatThe Band(Kevin Nash&Scott Hall) (6:50)TNA Lockdown 2010- Pay Per View @ The Family Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
7,06.04.2010,,"Six Man Tag Team New York Street Fight:The Band(Kevin Nash,Scott Hall&Syxx-Pac) defeatTeam 3D(Brother Devon&Brother Ray) &Jesse Neal(5:42)TNA iMPACT #302- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
8,23.03.2010,,"Steel Cage:Eric Young,Jeff Hardy&Rob Van DamdefeatThe Band(Kevin Nash,Scott Hall&Syxx-Pac) (3:57)TNA iMPACT #300- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
9,21.03.2010,,"Scott Hall&Syxx-PacdefeatEric Young&Kevin Nash(7:57)TNA Destination X 2010- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
10,09.03.2010,,"Five Minute Challenge:Scott HalldefeatsKevin Nash(5:00)TNA iMPACT #298- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
11,03.10.2009,,"Buzzkill &Sid Viciousdefeat Lord Humongous &Scott HallMid-Southern Championship Wrestling- Event @ Luxora, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
12,19.09.2009,,"Lord Humongous &Scott Halldefeat Pokerface &Sid ViciousDCW- Event @ Jonesboro, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
13,18.09.2009,,"Lord Humongous &Scott Halldefeat Pokerface &Sid ViciousMid-Southern Championship Wrestling- Event @ Osceola, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
14,22.08.2009,,"Scott HalldefeatsSid ViciousMGCW- Event @ Upson County Civic Center in Thomaston, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
15,09.08.2009,,"Corporal Robinson,The Insane Clown Posse(Shaggy 2 Dope&Violent J),Scott Hall&Sid Viciousdefeat The Young Alter Boys (Terry, Tim, Todd &Tom) &Trent Acid(26:17)JCW Bloodymania III- Event @ Hogrock Campground in Cave-In-Rock, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
16,21.03.2009,,"The Outlaws(BG James&Kip James) defeatKevin Nash&Scott HallGLCW Two Words... Too Sweet- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
17,22.02.2009,,"El Guerrero,Kahagas&Savio Vegadefeat Michael Rock,Scott Hall&Vengador BoricuaDWE- Event @ Santo Domingo, Dominikanische Republik",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
18,20.12.2008,,"Scott HalldefeatsNecro Butcher(4:00)JCW Big Ballas X-Mas Party 2008- Event @ Pontiac, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
19,09.08.2008,,"The Outsiders(Kevin Nash&Scott Hall) defeatThe Iron Saints(Sal Thomaselli&Vito Thomaselli)JCW Bloodymania II- Event @ Hogrock Campground in Cave-In-Rock, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
20,21.12.2007,,"Nosawa,Scott Hall&Violent JdefeatThe Thomasellis(Brandon Thomaselli,Sal Thomaselli&Vito Thomaselli)JCW Big Ballas X-Mas Party 2007- Event @ Clutch Cargo's in Pontiac, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
21,31.10.2007,,"Three On Two Handicap Match (Special Referee: Nosawa):The JWO (Corporal Robinson&Scott Hall) defeatBreyer Wellington,Conrad Kennedy III&Joe DoeringJCW Hallowicked After Party 2007- Event @ St. Andrew's Hall in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
22,28.10.2007,,"WWC Universal Heavyweight Title:Razor Ramon(c) defeatsEddie ColonWWC Halloween Wrestling Extravaganza 2007 - Tag 3- Event @ Moca, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
23,27.10.2007,,"WWC Universal Heavyweight Title:Razor Ramon(c) defeatsOrlando ColonWWC Halloween Wrestling Extravaganza 2007 - Tag 2- Event @ Cancha Pepin Cestero in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
24,26.10.2007,,"Razor RamondefeatsRico SuaveWWC Halloween Wrestling Extravaganza 2007 - Tag 1- Event @ Ponce, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
25,07.10.2007,,"Copa Antonio Pena 2007 12 Man Gauntlet:Charly MansondefeatsAlan StoneandKenzo SuzukiandKonnanandLa ParkaandLaredo KidandMascara DivinaandRon KillingsandScorpio Jr.andScott HallandSuper PorkyandX-Pac(61:40)AAA Sin Limite - Homenaje A Antonio Pena 2007- TV-Show @ El Toreo de Cuatro Caminos in Naucalpan de Juarez, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
26,06.10.2007,,"Scott HalldefeatsJake RobertsJCW Evansville Invasion- Event @ Soldiers And Sailors Memorial Coliseum in Evansville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
27,15.09.2007,,"WWC Universal Heavyweight Title:Razor Ramon(c) defeatsEddie ColonWWC Septiembre Negro Tour- Event @ Hector Solá Bezares Coliseum in Caguas, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
28,14.09.2007,,"Orlando ColondefeatsRazor RamonWWC Septiembre Negro Tour- Event @ Salvador Dijols Arena in Ponce, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
29,11.08.2007,,"JCW Heavyweight Title:Corporal Robinson(c) defeatsScott Hall(10:09)JCW Bloodymania- Event @ Hogrock Campground in Cave-In-Rock, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
30,04.08.2007,,"WWC Universal Heavyweight Title:Razor Ramon(c) defeatsEddie ColonWWC- Event @ Pepin Cestero Arena in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
31,14.07.2007,,"WWC Universal Heavyweight Title:Razor RamondefeatsApolo(c) andCarlito-TITLE CHANGE !!!WWC 34th Aniversario 2007 - Event 2: Mayagüez- Event @ Sports & Recreational Palace in Mayagüez, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
32,13.07.2007,,"CarlitodefeatsRazor Ramon(8:46)WWC 34th Aniversario 2007 - Event 1: San Juan- Event @ Jose Miguel Agrelot Coliseum in San Juan, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
33,16.01.2005,,"Match (Special Referee: Roddy Piper):Jeff HardydefeatsScott Hall(5:42)TNA Final Resolution 2005- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
34,21.12.2004,,"Scott HalldefeatsHector Garza(5:03)TNA iMPACT #31- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
35,17.12.2004,,"Scott HalldefeatsMarty Jannetty(5:04)Fusion Wrestling- Event @ Rexplex in Elizabeth, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
36,05.12.2004,,"AJ Styles,Jeff Hardy&Randy SavagedefeatThe Kings Of Wrestling(Jeff Jarrett,Kevin Nash&Scott Hall) (18:00)TNA Turning Point 2004- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
37,23.11.2004,,"Scott HalldefeatsAJ Styles(8:36)TNA iMPACT #26- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
38,08.05.2004,,"Naoya Ogawa&Shinya HashimotodefeatThe Outsiders(Kevin Nash&Scott Hall) (7:37)HUSTLE-3- Pay Per View @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
39,20.02.2004,,"(Special Referee: Evan Marriott):Christopher Daniels&Tom HowarddefeatThe Outsiders(Kevin Nash&Scott Hall) (11:10)UPW Overload- Event @ The Grove in Anaheim, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
40,05.04.2003,,"Savio VegadefeatsScott HallIWA Puerto Rico Juicio Final 2003 - Tag 3- Event @ Juan Ramon Lobriel Stadium in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Hennig_and_Hall%2C_1986.jpg
