date,event,result,location,image_url
1,27.04.2025,,"World Of Stardom TitleCareer Vs. Career:Saya Kamitani(c) defeatsTam Nakano(26:09)Stardom All-Star Grand Queendom 2025- TV-Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
2,24.04.2025,,"AZM&Saya Kamitanivs.Starlight Kid&Tam Nakano- Time Limit Draw (20:00)Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
3,13.04.2025,,"Tam NakanodefeatsHanan(14:34)Stardom- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
4,12.04.2025,,"HATE(Konami&Saya Kamitani) defeatCosmic Angels(Natsupoi&Tam Nakano) (14:58)Stardom- Online Stream @ Chunichi Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
5,11.04.2025,,"HATE(Konami,Natsuko Tora&Ruaka) defeatCosmic Angels(Natsupoi,Saori Anou&Tam Nakano) (12:05)Stardom- Online Stream @ Chunichi Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
6,10.04.2025,,"HATE(Ruaka&Saya Kamitani) defeatStarlight Kid&Tam Nakano(15:28)Stardom- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
7,06.04.2025,,"Cosmic Angels(Saori Anou,Tam Nakano&Unagi Sayaka) defeatCosmic Angels(Aya Sakura,Sayaka Kurara&Yuna Mizumori) (20:42)Stardom Dream In Anjo ~ Tam Nakano Triumphant Return- Online Stream @ Tosho Arena Anjo in Anjo, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
8,06.04.2025,,"Mina Shirakawavs.Tam Nakano- Time Limit Draw (3:00)Stardom Dream In Anjo ~ Tam Nakano Triumphant Return- Online Stream @ Tosho Arena Anjo in Anjo, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
9,05.04.2025,,"Tam NakanodefeatsYuki Miyazaki(96:43)WAVE KARIYA WAVE Vol. 5- Event @ Kariya City Industrial Promotion Center Aioi Hall in Kariya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
10,02.04.2025,,"Tam NakanodefeatsSaori Anou(18:35)Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
11,30.03.2025,,"Natsupoi,Saori Anou&Tam NakanodefeatAja Kong,Kaoru Ito&Yumiko Hotta(16:34)T-HEARTS 5th Anniversary- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
12,30.03.2025,,"Three Way:Aja Kong&Tam NakanodefeatKaoru Ito&NatsupoiandSaori Anou&Yumiko Hotta(3:46)T-HEARTS 5th Anniversary- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
13,29.03.2025,,"Saori Anou&Tam NakanodefeatHATE(Azusa Inaba&Saya Kamitani) (13:38)Stardom- Online Stream @ Tokorozawa Sakura Town Hall A in Tokorozawa, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
14,27.03.2025,,"Tam NakanodefeatsMisa Kagura(14:58)Stardom New Blood 20- Online Stream @ Shinagawa Intercity Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
15,22.03.2025,,"Elimination:Cosmic Angels(Aya Sakura,Saori Anou,Sayaka Kurara&Yuna Mizumori) &Tam NakanodefeatHATE(Konami,Momo Watanabe,Natsuko Tora,Ruaka&Saya Kamitani) (22:07)Stardom Spring Vacation ~Hi Hi! Okinawa~ - Tag 2- Pay Per View @ Okinawa Convention Center in Ginowan, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
16,20.03.2025,,"Saori Anou&Tam NakanodefeatEmpress Nexus Venus(Mina Shirakawa&Waka Tsukiyama) (12:38)Stardom Spring Vacation ~Hi Hi! Okinawa~ - Tag 1- Pay Per View @ Okinawa Convention Center in Ginowan, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
17,15.03.2025,,"Saori Anou&Tam NakanodefeatCosmic Angels(Aya Sakura&Yuna Mizumori) (14:23)Stardom Cinderella Tournament 2025 - Tag 3- TV-Show @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c7/Tam_Nakano_-_Chunichi_Hall_Nagoya_January_2025.jpg
