date,event,result,location,image_url
1,31.05.2019,,"Reggie Rivers Memorial Battle Royal:Winner:Ted DiBiaseACW Reggie Rivers King Of Maryland Tournament 2019- Event @ American Legion Hall in Halethorpe, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
2,10.12.2007,,"15th Anniversary Battle Royal:Ted DiBiasedefeatsAl SnowandBart GunnandBob BacklundandDoinkandFlash FunkandGangrelandGillbergandIrwin R. SchysterandJim NeidhartandPete GasandRepo ManandScotty 2 HottyandSgt. SlaughterandSkinnerandSteve BlackmanandThe Goon(5:45)WWE Monday Night RAW #759 - 15th Anniversary- TV-Show @ Arena At Harbor Yard in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
3,15.11.1993,,"Stan Hansen&Ted DiBiasedefeatAbdullah The Butcher&Giant Kimala(8:19)AJPW Real World Tag League 1993 - Tag 3- Event @ Toda Sports Center in Toda, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
4,14.11.1993,,"Real World Tag League 1993:Stan Hansen&Ted DiBiase[2] defeatRichard Slinger&Tracy Smothers[0] (7:11)AJPW Real World Tag League 1993 - Tag 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
5,13.11.1993,,"Giant Baba&Holy Demon Army(Akira Taue&Toshiaki Kawada) defeatStan Hansen,Ted DiBiase&Tracy Smothers(13:56)AJPW Real World Tag League 1993 - Tag 1- TV-Show @ City General Gymnasium in Yokosuka, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
6,30.10.1993,,"Ted DiBiasedefeatsTerry Funkby Count Out (15:28)NWA Bensalem Bash- Event @ Bensalem, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
7,28.10.1993,,"Ted DiBiasedefeatsTito Santanaby Count Out (14:35)Funk Free-For-All- Event @ Amarillo Civic Center in Amarillo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
8,23.10.1993,,"Ted DiBiasedefeatsJun Akiyama(12:12)AJPW Giant Series 1993 - Tag 20- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
9,22.10.1993,,"Kendall Windham,Stan Hansen&Ted DiBiasedefeatBig Bubba,Richard Slinger&Steve Williams(17:26)AJPW Giant Series 1993 - Tag 19- Event @ City General Gymnasium in Tagajo, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
10,21.10.1993,,"Holy Demon Army(Akira Taue,Toshiaki Kawada&Yoshinari Ogawa) defeatJoel Deaton,Stan Hansen&Ted DiBiase(11:14)AJPW Giant Series 1993 - Tag 18- Event @ Aizu City Gymnasium in Aizuwakamatsu, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
11,20.10.1993,,"Big Bubba,Richard Slinger&Steve WilliamsdefeatKendall Windham,Stan Hansen&Ted DiBiase(14:06)AJPW Giant Series 1993 - Tag 17- Event @ Koriyama Central Hall in Koriyama, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
12,19.10.1993,,"Joel Deaton,Stan Hansen&Ted DiBiasedefeatSuper Generation Army(Kenta Kobashi,Mitsuharu Misawa&Tsuyoshi Kikuchi) (13:30)AJPW Giant Series 1993 - Tag 16- Event @ Municipal Gymnasium in Yonezawa, Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
13,17.10.1993,,"Kendall Windham,Stan Hansen&Ted DiBiasedefeatBig Bubba,Richard Slinger&Steve Williams(13:00)AJPW Giant Series 1993 - Tag 15- TV-Show @ City Welfare Hall in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
14,16.10.1993,,"Ted DiBiasedefeatsKendall Windham(9:59)AJPW Giant Series 1993 - Tag 14- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
15,14.10.1993,,"AJPW World Tag Team Title:Stan Hansen&Ted DiBiase(c) defeatHoly Demon Army(Akira Taue&Toshiaki Kawada) (18:15)AJPW Giant Series 1993 - Tag 13- TV-Show @ City General Gymnasium in Matsumoto, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
16,13.10.1993,,"Steve Williams&The Can-Am Express(Danny Kroffat&Doug Furnas) defeatKendall Windham,Stan Hansen&Ted DiBiase(13:54)AJPW Giant Series 1993 - Tag 12- Event @ Nakano Gymnasium in Minokamo, Gifu, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
17,12.10.1993,,"Holy Demon Army(Akira Taue,Toshiaki Kawada&Yoshinari Ogawa) defeatJoel Deaton,Stan Hansen&Ted DiBiase(11:12)AJPW Giant Series 1993 - Tag 11- Event @ City Gymnasium in Tsu, Mie, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
18,11.10.1993,,"Stan Hansen&Ted DiBiasedefeatSuper Generation Army(Jun Akiyama&Mitsuharu Misawa) (15:32)AJPW Giant Series 1993 - Tag 10- Event @ Osaka Prefectural Gymnasium #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
19,10.10.1993,,"Johnny Ace,Stan Hansen&Ted DiBiasedefeatHoly Demon Army(Akira Taue,Toshiaki Kawada&Yoshinari Ogawa) (9:25)AJPW Giant Series 1993 - Tag 9- Event @ Sun Mall Mana Special Ring in Maizuru, Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
20,08.10.1993,,"Ted DiBiasedefeatsTamon Honda(8:55)AJPW Giant Series 1993 - Tag 8- Event @ Oita Prefectural Town Gymnasium in Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
21,07.10.1993,,"Stan Hansen&Ted DiBiasedefeatSuper Generation Army(Jun Akiyama&Mitsuharu Misawa) (13:46)AJPW Giant Series 1993 - Tag 7- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
22,06.10.1993,,"Steve Williams&The Can-Am Express(Danny Kroffat&Doug Furnas) defeatKendall Windham,Stan Hansen&Ted DiBiase(14:37)AJPW Giant Series 1993 - Tag 6- Event @ Nagasaki International Gymnasium in Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
23,04.10.1993,,"Super Generation Army(Jun Akiyama,Kenta Kobashi&Mitsuharu Misawa) defeatJoel Deaton,Stan Hansen&Ted DiBiase(17:47)AJPW Giant Series 1993 - Tag 5- Event @ City Public Hall in Onomichi, Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
24,02.10.1993,,"Danny Spivey,Stan Hansen&Ted DiBiasedefeatBig Bubba,Richard Slinger&Steve Williams(13:49)AJPW Giant Series 1993 - Tag 4- TV-Show @ Shizuoka Spring Water Marine Building in Shimizu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
25,01.10.1993,,"Super Generation Army(Jun Akiyama,Kenta Kobashi&Mitsuharu Misawa) defeatKendall Windham,Stan Hansen&Ted DiBiase(9:11)AJPW Giant Series 1993 - Tag 3- Event @ City General Gymnasium in Minamiashigara, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
26,30.09.1993,,"Big Bubba,Richard Slinger&Steve WilliamsdefeatKendall Windham,Stan Hansen&Ted DiBiase(11:45)AJPW Giant Series 1993 - Tag 2- Event @ Gunma Sports Center in Maebashi, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
27,29.09.1993,,"Kendall Windham,Stan Hansen&Ted DiBiasedefeatHoly Demon Army(Akira Taue,Toshiaki Kawada&Yoshinari Ogawa) (13:36)AJPW Giant Series 1993 - Tag 1- TV-Show @ Kasumigaura Bunka Gymnasium in Kasumigaura, Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
28,09.09.1993,,"Holy Demon Army(Akira Taue,Toshiaki Kawada&Yoshinari Ogawa) defeatJoel Deaton,Stan Hansen&Ted DiBiase(16:32)AJPW Summer Action Series II 1993 - Tag 17- TV-Show @ Citizen Gymnasium in Omiya, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
29,08.09.1993,,"Stan Hansen&Ted DiBiasedefeatThe Can-Am Express(Danny Kroffat&Doug Furnas) (15:09)AJPW Summer Action Series II 1993 - Tag 16- Event @ Joetsu Region Plaza in Joetsu, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
30,07.09.1993,,"Stan Hansen&Ted DiBiasedefeatSteve Williams&Tracy Smothers(14:19)AJPW Summer Action Series II 1993 - Tag 15- Event @ Takaoka Techno Dome in Takaoka, Toyama, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
31,05.09.1993,,"Stan Hansen,Ted DiBiase&Tracy SmothersdefeatSuper Generation Army(Jun Akiyama,Kenta Kobashi&Mitsuharu Misawa) (17:23)AJPW Summer Action Series II 1993 - Tag 14- TV-Show @ City General Gymnasium in Nanao, Ishikawa, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
32,04.09.1993,,"Joel Deaton,Stan Hansen&Ted DiBiasedefeatSuper Generation Army(Kenta Kobashi,Mitsuharu Misawa&Tsuyoshi Kikuchi) (14:14)AJPW Summer Action Series II 1993 - Tag 13- Event @ Civic Gymnasium in Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
33,03.09.1993,,"AJPW World Tag Team Title:Stan Hansen&Ted DiBiasedefeatAkira Taue&Toshiaki Kawada(c) (13:12) -TITLE CHANGE !!!AJPW Summer Action Series II 1993 - Tag 12- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
34,30.08.1993,,"Razor RamondefeatsTed DiBiase(7:32)WWF SummerSlam 1993- Pay Per View @ The Palace of Auburn Hills in Auburn Hills, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
35,22.08.1993,,"CWA World Heavyweight  Title:Rambo(c) defeatsTed DiBiase[Runde 8]CWA Catch Cup 1993 - Tag 44- Event @ Heumarkt in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
36,16.08.1993,,"The 1-2-3 KiddefeatsTed DiBiaseby DQ (4:46)WWF Monday Night RAW #30- TV-Show @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
37,16.08.1993,,"WWF World Tag Team TitleSteel Cage:The Steiner Brothers(Rick Steiner&Scott Steiner) (c) defeatMoney Inc.(Irwin R. Schyster&Ted DiBiase) (17:58)WWF SummerSlam Spectacular 1993- TV-Show @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
38,24.07.1993,,"WWF World Tag Team Title:The Steiner Brothers(Rick Steiner&Scott Steiner) (c) defeatMoney Inc.(Irwin R. Schyster&Ted DiBiase)WWF House Show- House Show @ Hersheypark Arena in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
39,23.07.1993,,"WWF World Tag Team Title:The Steiner Brothers(Rick Steiner&Scott Steiner) (c) defeatMoney Inc.(Irwin R. Schyster&Ted DiBiase)WWF House Show- House Show @ Catholic Youth Center in Scranton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
40,18.07.1993,,"WWF World Tag Team Title:The Steiner Brothers(Rick Steiner&Scott Steiner) (c) defeatMoney Inc.(Irwin R. Schyster&Ted DiBiase)WWF House Show- House Show @ SunDome in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
41,17.07.1993,,"WWF World Tag Team Title:The Steiner Brothers(Rick Steiner&Scott Steiner) (c) defeatMoney Inc.(Irwin R. Schyster&Ted DiBiase)WWF House Show- House Show @ West Palm Beach Auditorium in West Palm Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/2b/Bret_Hart_vs._Ted_DiBiase_-_1991-04-15_-_01.jpg
