date,event,result,location,image_url
1,14.01.2023,,"Impact Knockouts Tag Team Title:Death Dollz(Jessicka&Taya Valkyrie) (c) defeatGisele Shaw&Tara(6:17)Impact Wrestling #967- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
2,31.01.2021,,"Royal Rumble:Bianca BelairdefeatsAlexa BlissandAlicia FoxandBayleyandBillie KayandCarmellaandCharlotte FlairandDakota KaiandDana BrookeandEmber MoonandJillian HallandLacey EvansandLanaandLiv MorganandMandy RoseandMickie JamesandNaomiandNatalyaandNia JaxandNikki CrossandPeyton RoyceandRhea RipleyandRuby RiottandSantana GarrettandShayna BaszlerandShotzi BlackheartandTaminaandToni StormandTorrie WilsonandVictoria(58:48)WWE Royal Rumble 2021- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
3,21.09.2019,,"MORE Wrestling Women's Title Match (vakant):Lisa Marie VarondefeatsMelina Perez(9:31) -TITLE CHANGE !!!MORE Wrestling Masters Of Ring 1- Event @ Duplin County Events Center in Kenansville, North Carolina, USA",
4,28.07.2019,,"Kara Noia&ODBdefeatBrooke Valentine&VictoriaHOW FortuneBaynia II- Event @ Fortune Bay Resort Casino in Tower, Minnesota, USA",
5,26.07.2019,,"Frankie JaydefeatsLisa Marie VaronIPW Hall Of Fame Show 2019- Event @ Five Sullivan Brothers Convention Center in Waterloo, Iowa, USA",
6,10.05.2019,,"SkylardefeatsVictoriaLimitless Hooked On A Friedman- Event @ Westbrook Armory in Westbrook, Maine, USA",
7,26.04.2019,,"Kat Von HeezdefeatsLisa Marie VaronHIW Spring Meltdown 2019- Event @ Highland Curling Club in Regina, Saskatchewan, Canada",
8,20.04.2019,,"Remix Pro Fury Title:Madison Rayne(c) defeatsLisa Marie VaronRemix Pro Throwdown For The Pound 19: The Vision- Event @ Marietta Middle School in Marietta, Ohio, USA",
9,15.03.2019,,"PROGRESS Women's Title:Jordynne Grace(c) defeatsLisa Marie VaronWarrior Wrestling 4- Event @ Marian Catholic High School in Chicago Heights, Illinois, USA",
10,24.02.2019,,"Lisa Marie VarondefeatsAnthony GreeneBeyond Treasure Hunt- Event @ Varnum Memorial Museum in East Greenwich, Rhode Island, USA",
11,23.02.2019,,"Kris StatlanderdefeatsLisa Marie VaronWWR Widowmaker- Online Stream @ NYWC Sportatorium in Deer Park, New York, USA",
12,26.01.2019,,"Lisa Marie Varonvs.Melina Perez- No ContestMCW Winter Wars 2019 - Tag 4- Event @ Manchster Valley High School in Manchester, Maryland, USA",
13,19.01.2019,,"AlliedefeatsLisa MarieESW A Night At The Johnsburg- Event @ St. Johnsburg Fire Hall in North Tonawanda, New York, USA",
14,10.10.2018,,"Meg Monroe,ODB&VictoriadefeatThe It Girls(Cali,Jaylee&Valerie Vermin)OVW TV #1000- TV-Show @ 4th Street in Louisville, Kentucky, USA",
15,30.09.2018,,"TaradefeatsChantal JordanEWE Coyote Heat- Event @ Coyote Ugly Swansea in Swansea, Wales, UK",
16,29.07.2018,,"Tenille DashwooddefeatsLisa Marie VaronHOW FortuneBaynia- Event @ Fortune Bay Resort & Casino in Tower, Minnesota, USA",
17,28.04.2018,,"FaceBrookedefeatsLisa Marie VaronWrestling GO! Fenix Rising - Tag 1- Online Stream @ Marayong Community Centre in Marayong, New South Wales, Australia",
