date,event,result,location,image_url
1,28.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
2,27.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
3,26.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
4,01.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina Vega(12:13)WWE Friday Night SmackDown #1354- TV-Show @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
5,13.07.2025,,"20 Woman Battle Royal:Stephanie VaquerdefeatsAlba FyreandB-FabandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIzzi DameandJaida ParkerandKelani JordanandLash LegendandLola ViceandMaxxine DupriandMichinandNatalyaandNia JaxandNikki BellaandPiper NivenandTatum PaxleyandZelina Vega(15:32)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
6,27.06.2025,,"WWE Women's United States Title:GiuliadefeatsZelina Vega(c) (7:33) -TITLE CHANGE !!!WWE Friday Night SmackDown #1349- TV-Show @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
7,06.06.2025,,"Bakersfield Brawl:Zelina VegadefeatsPiper Niven(10:45)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
8,30.05.2025,,"Zelina VegadefeatsAlba Fyre(11:05)WWE Friday Night SmackDown #1345- TV-Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
9,24.05.2025,,"WWE Women's United States Title:Zelina Vega(c) defeatsChelsea Green(5:10)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
10,23.05.2025,,"Money In The Bank Qualifying Triple Threat:GiuliadefeatsCharlotte FlairandZelina Vega(13:30)WWE Friday Night SmackDown #1344- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
11,09.05.2025,,"Alexa Bliss&Zelina VegadefeatThe Green Regime(Chelsea Green&Piper Niven) (8:20)WWE Friday Night SmackDown #1342- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
12,02.05.2025,,"Zelina VegadefeatsPiper Niven(11:09)WWE Friday Night SmackDown #1341- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
13,25.04.2025,,"WWE Women's United States Title:Zelina VegadefeatsChelsea Green(c) (7:15) -TITLE CHANGE !!!WWE Friday Night SmackDown #1340- TV-Show @ Dickies Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
14,18.04.2025,,"Zelina VegadefeatsChelsea Green(3:33)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
15,11.04.2025,,"Zelina VegadefeatsChelsea Greenby Count Out (1:00)WWE Friday Night SmackDown #1338- TV-Show @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
16,21.03.2025,,"Piper NivendefeatsZelina Vega(12:14)WWE Friday Night SmackDown #1335- TV-Show @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
17,01.02.2025,,"Royal Rumble:Charlotte FlairdefeatsAlexa BlissandB-FabandBayleyandBianca BelairandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIYO SKYandJaida ParkerandJordynne GraceandLash LegendandLiv MorganandLyra ValkyriaandMaxxine DupriandMichinandNaomiandNatalyaandNia JaxandNikki BellaandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandSonya DevilleandStephanie VaquerandTrish StratusandZelina VegaandZoey Stark(70:20)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
18,30.12.2024,,"Shayna BaszlerdefeatsZelina Vega(5:07)WWE Main Event #641- Online Stream @ Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
19,09.12.2024,,"WWE Women's Intercontinental TitleTournament First Round Triple Threat:Lyra ValkyriadefeatsIvy NileandZelina Vega(7:50)WWE Monday Night RAW #1646- TV-Show @ INTRUST Bank Arena in Wichita, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
20,22.11.2024,,"WWE Women's Speed Title#1 Contendership Tournament First Round:Zelina VegadefeatsChelsea Green(2:05)WWE Speed #44- Online Stream @ Delta Center in Salt Lake City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
21,11.11.2024,,"Mixed:LWO(Rey Mysterio&Zelina Vega) defeatAmerican Made(Chad Gable&Ivy Nile) (9:58)WWE Monday Night RAW #1643- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Almas%26Vega_TakeOver-_NOLA_crop.jpg
