date,event,result,location,image_url
1,18.04.2025,,"Braun Strowman&LA KnightdefeatJacob Fatu&Solo Sikoa(7:25)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
2,04.04.2025,,"WWE United States Title#1 Contendership Last Man Standing:Jacob FatudefeatsBraun Strowman(15:12)WWE Friday Night SmackDown #1337- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
3,28.03.2025,,"WWE United States Title:LA Knight(c) vs.Braun Strowman- No Contest (6:24)WWE Friday Night SmackDown #1336- TV-Show @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
4,23.03.2025,,"Braun Strowman&Jimmy UsodefeatJacob Fatu&Tama TongaWWE Road To WrestleMania- House Show @ Motorpoint Arena Nottingham in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
5,22.03.2025,,"Braun Strowman&Jimmy UsodefeatJacob Fatu&Tama TongaWWE Road To WrestleMania- House Show @ SSE Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
6,21.03.2025,,"Braun StrowmandefeatsJacob Fatuby DQ (9:15)WWE Friday Night SmackDown #1335- TV-Show @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
7,14.03.2025,,"Braun Strowman,Jimmy Uso&LA KnightdefeatJacob Fatu,Solo Sikoa&Tama Tonga(10:09)WWE Friday Night SmackDown #1334- TV-Show @ Pavelló Olímpic de Badalona in Badalona, Spanien",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
8,07.03.2025,,"Braun Strowmanvs.Solo Sikoa- No Contest (7:00)WWE Friday Night SmackDown #1333- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
9,28.02.2025,,"WWE United States Title#1 Contendership Qualifying:Carmelo HayesdefeatsBraun Strowmanby DQ (1:30)WWE Friday Night SmackDown #1332- TV-Show @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
10,21.02.2025,,"Braun Strowman&Damian PriestdefeatJacob Fatu&Solo Sikoa(12:33)WWE Friday Night SmackDown #1331- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
11,14.02.2025,,"Elimination Chamber Qualifying Triple Threat:Damian PriestdefeatsBraun StrowmanandJacob Fatu(16:15)WWE Friday Night SmackDown #1330- TV-Show @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
12,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Braun_Strowman%27s_submission.jpg
