date,event,result,location,image_url
1,12.09.2011,,"Bret Hart&John CenadefeatAlberto Del Rio&Ricardo Rodriguez(3:20)WWE Monday Night RAW #955- TV-Show @ Scotiabank Place in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
2,14.11.2010,,"Bret Hart,Edge&Rey MysteriodefeatAlberto Del Rio,Cody Rhodes&Drew McIntyreWWE SmackDown House Show- House Show @ Abdi Ipekci Arena in Istanbul, Türkei",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
3,13.11.2010,,"Bret Hart&The Hart Dynasty(David Hart Smith&Tyson Kidd) defeatThe Nexus(David Otunga,Husky Harris&Justin Gabriel)WWE SmackDown House Show- House Show @ SAP Arena in Mannheim, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
4,12.11.2010,,"Bret Hart&The Hart Dynasty(David Hart Smith&Tyson Kidd) defeatThe Nexus(David Otunga,Heath Slater&Husky Harris)WWE SmackDown House Show- House Show @ Lanxess Arena in Köln, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
5,11.11.2010,,"Bret Hart&The Hart Dynasty(David Hart Smith&Tyson Kidd) defeatThe Nexus(Heath Slater,Husky Harris&Justin Gabriel)WWE SmackDown House Show- House Show @ Nürnberg Arena in Nürnberg, Bayern, Deutschland",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
6,10.11.2010,,"Bret Hart&The Hart Dynasty(David Hart Smith&Tyson Kidd) defeatThe Nexus(David Otunga,Heath Slater&Husky Harris)WWE SmackDown House Show- House Show @ Vorst Nationaal in Brüssel, Belgien",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
7,25.09.2010,,"(Special Referee: Jerry Lawler):Bret Hart&The Hart Dynasty(David Hart Smith&Tyson Kidd) defeatThe Nexus(Heath Slater,Justin Gabriel&Michael Tarver)WWE SmackDown House Show- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
8,15.08.2010,,"14 Man Elimination:Team WWE (Bret Hart,Chris Jericho,Daniel Bryan,Edge,John Cena,John Morrison&R-Truth) defeatThe Nexus(Darren Young,David Otunga,Heath Slater,Justin Gabriel,Michael Tarver,Skip Sheffield&Wade Barrett) (35:20)WWE SummerSlam 2010- Pay Per View @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
9,09.08.2010,,"Lumberjack:Chris Jericho&Edgevs.Bret Hart&John Cena- No Contest (5:00)WWE Monday Night RAW #898- TV-Show @ Arco Arena in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
10,17.05.2010,,"WWE United States TitleNo Disqualification:Bret HartdefeatsThe Miz(c) (3:15) -TITLE CHANGE !!!WWE Monday Night RAW #886- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
11,28.03.2010,,"No Holds Barred Match (Special Referee: Bruce Hart):Bret HartdefeatsVince McMahon(11:09)WWE WrestleMania XXVI - ""Get All Fired Up""- Pay Per View @ University Of Phoenix Stadium in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
12,10.01.2000,,"WCW World Heavyweight Title:Bret Hart(c) vs.Kevin Nash- No Contest (10:54)WCW Monday NITRO #225- TV-Show @ Marine Midland Arena in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
13,09.01.2000,,"WCW World Heavyweight Title:Sid ViciousdefeatsBret Hart(c) by DQWCW House Show- House Show @ Bryce Jordan Center in State College, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
14,08.01.2000,,"WCW World Heavyweight Title:Sid ViciousdefeatsBret Hart(c) by DQWCW House Show- House Show @ Memorial Auditorium in Utica, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
15,07.01.2000,,"WCW World Heavyweight Title:Sid ViciousdefeatsBret Hart(c) by DQWCW House Show- House Show @ Tsongas Arena in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
16,06.01.2000,,"WCW World Heavyweight Title:Bret Hart(c) defeatsRic FlairWCW House Show- House Show @ Roanoke Civic Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
17,04.01.2000,,"Hardcore:Bret Hartvs.Terry Funk- No Contest (8:13)WCW Thunder #94- TV-Show @ Civic Center in Florence, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
18,27.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsJerry Flynn(3:57)WCW Monday NITRO #223 - New Year's Evil- TV-Show @ Astrodome in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
19,21.12.1999,,"WCW World Heavyweight Title:Chris BenoitdefeatsBret Hart(c) by DQ (4:54)WCW Thunder #93- TV-Show @ Wicomico Civic Center in Salisbury, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
20,20.12.1999,,"WCW World Heavyweight TitleMatch (vakant):Bret HartdefeatsGoldberg(5:44) -TITLE CHANGE !!!WCW Monday NITRO #222- TV-Show @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
21,19.12.1999,,"WCW World Heavyweight TitleNo Disqualification:Bret Hart(c) defeatsGoldberg(12:30)WCW Starrcade 1999- Pay Per View @ MCI Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
22,18.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) vs.Goldberg- No ContestWCW House Show- House Show @ Jacksonville Coliseum in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
23,17.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) vs.Goldberg- No ContestWCW House Show- House Show @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
24,14.12.1999,,"WCW World Tag Team TitleHouse Of Pain:The Outsiders(Kevin Nash&Scott Hall) (c) vs.Bret Hart&Goldberg- No ContestWCW Thunder #92- TV-Show @ Civic Center in Mobile, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
25,13.12.1999,,"WCW World Tag Team Title:The Outsiders(Kevin Nash&Scott Hall) defeatBret Hart&Goldberg(c) (6:21) -TITLE CHANGE !!!WCW Monday NITRO #221- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
26,07.12.1999,,"WCW World Tag Team Title:Bret Hart&GoldbergdefeatCreative Control(Gerald&Patrick) (c) (3:00) -TITLE CHANGE !!!WCW Thunder #91- TV-Show @ Dane County Coliseum in Madison, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
27,06.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsThe Total Package(3:58)WCW Monday NITRO #220- TV-Show @ Milwaukee Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
28,05.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsGoldbergWCW House Show- House Show @ United Center in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
29,04.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsStingWCW House Show- House Show @ Five Seasons Center in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
30,03.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsStingWCW House Show- House Show @ Bicentennial Center  in Salinas, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
31,01.12.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsRic FlairWCW House Show- House Show @ Pershing Arena in Lincoln, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
32,29.11.1999,,"Steel Cage Triangle:Bret Hart&Chris BenoitdefeatGoldberg&Sid ViciousandThe Outsiders(Kevin Nash&Scott Hall) (7:55)WCW Monday NITRO #219- TV-Show @ Pepsi Center in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
33,29.11.1999,,"WCW World Heavyweight TitleNo Disqualification:Bret Hart(c) defeatsMeng(7:01)WCW Monday NITRO #219- TV-Show @ Pepsi Center in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
34,22.11.1999,,"WCW World Heavyweight Title:Bret Hart(c) defeatsJeff Jarrett(8:36)WCW Monday NITRO #218- TV-Show @ The Palace of Auburn Hills in Auburn Hills, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
35,21.11.1999,,"WCW World Heavyweight TitleTournament Final Match (vakant):Bret HartdefeatsChris Benoit(17:44) -TITLE CHANGE !!!WCW Mayhem 1999- Pay Per View @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
36,21.11.1999,,"WCW World Heavyweight TitleTournament Semi Final:Bret HartdefeatsSting(9:27)WCW Mayhem 1999- Pay Per View @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
37,19.11.1999,,"Bret HartdefeatsRic FlairWCW House Show- House Show @ CSU Convocation Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
38,15.11.1999,,"WCW World Heavyweight TitleTournament Group One Quarter Final:Bret HartdefeatsKidman(3:46)WCW Monday NITRO #217- TV-Show @ Alltel Arena in North Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
39,08.11.1999,,"WCW United States Heavyweight TitleTexas Tornado Ladder:Scott HalldefeatsBret Hart(c) andGoldbergandSid Vicious(4:44) -TITLE CHANGE !!!WCW Monday NITRO #216- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
40,08.11.1999,,"WCW World Heavyweight TitleTournament Group One Second Round:Bret HartdefeatsPerry Saturn(5:01)WCW Monday NITRO #216- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/d5/2014-04-03_21-12-04_NEX-6_6401_DxO_%2813923848803%29.jpg
