date,event,result,location,image_url
1,19.01.2003,,"Bill Goldberg&Keiji MutodefeatKroniK(Brian Adams&Bryan Clarke) (17:56)AJPW 2ND WRESTLE-1- Pay Per View @ Tokyo Dome in Tokyo, Japan",
2,31.08.2002,,"KroniK(Brian Adams&Bryan Clarke) defeatTomoaki Honma&Yuto Aijima(5:55)AJPW Royal Road 30 Giant Battle 3rd- Pay Per View @ Nippon Budokan in Tokyo, Japan",
3,30.08.2002,,"AJPW World Tag Team Title:KroniK(Brian Adams&Bryan Clarke) (c) defeatJim Steele&Mike Barton(17:25)AJPW Royal Road 30 Giant Battle 2nd- Pay Per View @ Nippon Budokan in Tokyo, Japan",
4,20.07.2002,,"Stan Hansen Cup Four Way:Jim Steele&Mike BartondefeatGeorge Hines&Johnny SmithandKroniK(Brian Adams&Bryan Clarke) andMike Rotundo&Steve Williams(26:30)AJPW Royal Road 30 Giant Battle 1st- TV-Show @ Nippon Budokan in Tokyo, Japan",
5,17.07.2002,,"AJPW World Tag Team Title:KroniK(Brian Adams&Bryan Clarke) defeatKeiji Muto&Taiyo Kea(c) (14:59) -TITLE CHANGE !!!AJPW Summer Action Series 2002 - Tag 9- Pay Per View @ Osaka Prefectural Gymnasium in Osaka, Japan",
6,24.02.2002,,"KroniK(Brian Adams&Bryan Clarke) defeatNative Blood(Ghostwalker&Navajo Warrior) (5:17)WWA The Revolution- Pay Per View @ Aladdin Casino Center in Las Vegas, Nevada, USA",
7,14.11.2001,,"Steve Blackman,Tony B&Val VenisdefeatBrian Adams,Haku&Kwee WeeHWA- Event @ Montgomery County Fairgrounds in Dayton, Ohio, USA",
8,06.11.2001,,"D-Lo Brown,Matt Stryker&Race SteeledefeatBrian Adams,EZ Money&Jamie Knobleby DQHWA- Event @ HWA Training Center in Cincinnati, Ohio, USA",
9,31.10.2001,,"D-Lo Brown,Eddie Guerrero&Val VenisdefeatBrian Adams,EZ Money&Mike SandersHWA Halloween Bash 2001- Event @ Ohio, USA",
10,16.10.2001,,"Brian AdamsdefeatsShark BoyHWA- Event @ HWA Training Center in Cincinnati, Ohio, USA",
11,13.10.2001,,"D-Lo Brown&The Island Boys(Ekmo&Kimo) defeatBrian Adams,EZ Money&HakuHWA- Event @ Batavia, Ohio, USA",
12,23.09.2001,,"WCW World Tag Team Title:Kane&The Undertaker(c) defeatKroniK(Brian Adams&Bryan Clarke) (10:21)WWF Unforgiven 2001- Pay Per View @ Mellon Arena in Pittsburgh, Pennsylvania, USA",
13,22.09.2001,,"Albert&KanedefeatKroniK(Brian Adams&Bryan Clarke)WWF House Show- House Show @ Sovereign Center in Reading, Pennsylvania, USA",
14,18.09.2001,,"KroniK(Brian Adams&Bryan Clarke) defeatKai En Tai(Funaki&Taka Michinoku) (2:47)WWF SmackDown #110- TV-Show @ The Pyramid Arena in Memphis, Tennessee, USA",
15,18.02.2001,,"Totally Buff(Buff Bagwell&Lex Luger) defeatKroniK(Brian Adams&Bryan Clarke) (6:47)WCW SuperBrawl Revenge- Pay Per View @ Nashville Auditorium in Nashville, Tennessee, USA",
16,11.02.2001,,"Three On Two Handicap:Brian Adams&Kevin NashdefeatScott Steiner&Totally Buff(Buff Bagwell&Lex Luger)WCW House Show- House Show @ Riverside Centroplex in Baton Rouge, Louisiana, USA",
17,05.02.2001,,"Brian Adamsvs.Buff Bagwell- Time Limit Draw (5:44)WCW Monday NITRO #281- TV-Show @ Bancorpsouth Center in Tupelo, Mississippi, USA",
18,05.02.2001,,"Brian AdamsdefeatsLex Luger(6:32)WCW Thunder #150- TV-Show @ Bancorpsouth Center in Tupelo, Mississippi, USA",
19,29.01.2001,,"Totally Buff(Buff Bagwell&Lex Luger) defeatKroniK(Brian Adams&Bryan Clarke) (6:18)WCW Thunder #149- TV-Show @ Baltimore Arena in Baltimore, Maryland, USA",
20,22.01.2001,,"KroniK(Brian Adams&Bryan Clarke) defeatRoad Warrior Animal&Scott Steiner(6:44)WCW Thunder #148- TV-Show @ Lawrence Joel Veterans Memorial Coliseum in Winston-Salem, North Carolina, USA",
21,21.01.2001,,"WCW World Tag Team Title:KroniK(Brian Adams&Bryan Clarke) defeatThe Natural Born Thrillers(Chuck Palumbo&Sean O'Haire) (c) by DQWCW House Show- House Show @ Township Auditorium in Columbia, South Carolina, USA",
