date,event,result,location,image_url
1,29.01.2022,,"Royal Rumble:Ronda RouseydefeatsAlicia FoxandAliyahandBianca BelairandBrie BellaandCameronandCarmellaandCharlotte FlairandDana BrookeandIvoryandKelly KellyandLitaandLiv MorganandMelinaandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNikki ASHandNikki BellaandQueen ZelinaandRhea RipleyandSarah LoganandSasha BanksandShayna BaszlerandShotziandSonya DevilleandSummer RaeandTamina(59:42)WWE Royal Rumble 2022- Premium Live Event @ The Dome At America's Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
2,08.10.2018,,"Ronda Rousey&The Bella Twins(Brie Bella&Nikki Bella) defeatThe Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan) (10:30)WWE Monday Night RAW #1324- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
3,06.10.2018,,"Ronda Rousey&The Bella Twins(Brie Bella&Nikki Bella) defeatThe Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan) (10:05)WWE Super ShowDown 2018- Premium Live Event @ Melbourne Cricket Ground in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
4,24.09.2018,,"The Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan) defeatNatalya&The Bella Twins(Brie Bella&Nikki Bella) (10:30)WWE Monday Night RAW #1322- TV-Show @ Pepsi Center in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
5,16.09.2018,,"Mixed:Maryse&The MizdefeatBrie Bella&Daniel Bryan(13:01)WWE Hell In A Cell 2018- Premium Live Event @ AT&T Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
6,11.09.2018,,"Brie BelladefeatsMaryseby DQ (4:39)WWE SmackDown Live #995- TV-Show @ Cajundome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
7,03.09.2018,,"The Bella Twins(Brie Bella&Nikki Bella) defeatThe Riott Squad(Liv Morgan&Sarah Logan) (11:32)WWE Monday Night RAW #1319- TV-Show @ Value City Arena At The Jerome Schottenstein Center in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
8,26.08.2018,,"Ember Moon&The Bella Twins(Brie Bella&Nikki Bella) defeatThe Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan)WWE Live- House Show @ Blue Cross Arena in Rochester, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
9,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
10,03.04.2016,,"Total Divas (Alicia Fox,Brie Bella,Eva Marie,Natalya&Paige) defeatEmma,Lana,Summer Rae&Team B.A.D.(Naomi&Tamina) (11:25)WWE WrestleMania 32 Kickoff- Online Stream @ AT&T Stadium in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
11,14.03.2016,,"Team B.A.D.(Naomi&Tamina) defeatTeam Bella(Alicia Fox&Brie Bella) (2:40)WWE Monday Night RAW #1190- TV-Show @ CONSOL Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
12,08.03.2016,,"Brie BelladefeatsSummer Rae(2:20)WWE Thursday Night SmackDown #864- TV-Show @ BMO Harris Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/7/7f/Bella_Twins.jpg
