date,event,result,location,image_url
1,29.08.1987,,"Bruno Sammartino&Hulk HogandefeatKing Kong Bundy&The One Man GangWWF House Show- House Show @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
2,28.08.1987,,"Bruno SammartinodefeatsHerculesby Count Out (6:47)WWF Paul Boesch Retirement Show- TV-Show @ Sam Houston Coliseum in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
3,15.08.1987,,"Elimination:Bruno Sammartino,Jake Roberts&Tito SantanadefeatThe Hart Foundation(Bret Hart&Jim Neidhart) &The Honky Tonk Man[3:2] (15:05)WWF on NESN- TV-Show @ Boston Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
4,12.08.1987,,"Bruno SammartinodefeatsHerculesWWF House Show- House Show @ Golden Dome in Monaca, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
5,11.08.1987,,"Whipping:Bruno SammartinodefeatsHerculesWWF House Show- House Show @ Beeghly Center in Youngstown, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
6,21.07.1987,,"Battle Royal:Winner:Bruno SammartinoWWF House Show- House Show @ Cambria County War Memorial Arena in Johnstown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
7,18.07.1987,,"WWF Intercontinental Title:Bruno SammartinodefeatsThe Honky Tonk Man(c) by Count Out (10:55)WWF on PRISM Network- TV-Show @ Philadelphia Spectrum in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
8,11.07.1987,,"WWF Intercontinental Title:Bruno SammartinodefeatsThe Honky Tonk Man(c) by Count Out (11:17)WWF on NESN- TV-Show @ Boston Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
9,27.06.1987,,"Battle Royal:Winner:Bruno SammartinoWWF House Show- House Show @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
10,18.06.1987,,"Bruno SammartinodefeatsThe Honky Tonk Manby Count OutWWF House Show- House Show @ Boutwell Auditorium in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
11,16.06.1987,,"WWF Intercontinental Title:Bruno SammartinodefeatsThe Honky Tonk Man(c) by Count OutWWF House Show- House Show @ Tingley Coliseum in Albuquerque, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
12,15.06.1987,,"WWF Intercontinental Title:Bruno SammartinodefeatsThe Honky Tonk Man(c) by Count OutWWF House Show- House Show @ Arizona Veterans Memorial Coliseum in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
13,07.06.1987,,"Bruno SammartinodefeatsButch ReedWWF House Show- House Show @ Maple Leaf Gardens in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
14,17.02.1987,,"Bruno SammartinodefeatsNikolai Volkoffby DQ (2:37)WWF Wrestling Challenge #26- TV-Show @ Civic Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
15,07.02.1987,,"WWF Intercontinental TitleLumberjack:Bruno SammartinodefeatsRandy Savage(c) by DQ (4:14)WWF on NESN- TV-Show @ Boston Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
16,03.02.1987,,"Bruno SammartinodefeatsKamalaby Count OutWWF House Show- House Show @ Onondoga War Memorial in Syracuse, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
17,04.01.1987,,"WWF Intercontinental Title:Bruno SammartinodefeatsRandy Savage(c) by Count OutWWF House Show- House Show @ Civic Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
18,03.01.1987,,"WWF Intercontinental Title:Randy Savage(c) defeatsBruno Sammartinoby Count Out (6:01)WWF on NESN- TV-Show @ Boston Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
19,30.12.1986,,"WWF Intercontinental Title:Bruno SammartinodefeatsRandy Savage(c) by Count OutWWF House Show- House Show @ Civic Center in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
20,08.08.1986,,"Bruno Sammartino&Danny SpiveydefeatThe Dream Team(Brutus Beefcake&Greg Valentine)WWF House Show- House Show @ Jaffa Mosque in Altoona, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
21,14.07.1986,,"Bruno SammartinodefeatsThe Designated Hitman(8:17)WWF King Of The Ring 1986- Event @ Sullivan Stadium in Foxborough, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
22,12.07.1986,,"Steel Cage:Bruno Sammartino&Tito SantanadefeatAdrian Adonis&Randy Savage(9:51)WWF on MSG Network- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
23,11.07.1986,,"Bruno Sammartino&Tito SantanadefeatAdrian Adonis&Randy SavageWWF House Show- House Show @ Civic Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
24,06.07.1986,,"WWF Intercontinental Title:Bruno SammartinodefeatsRandy Savage(c) by DQWWF House Show- House Show @ New Haven Coliseum in New Haven, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
25,14.06.1986,,"Adrian Adonis&Randy SavagedefeatBruno Sammartino&Tito Santanaby Count Out (9:40)WWF on MSG Network- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
26,07.04.1986,,"WWF & NFL Battle Royal (Special Referees: Dick Butkus & Ed Jones):Andre The GiantdefeatsB. Brian BlairandBig John StuddandBill FralicandBret HartandBruno SammartinoandDan Spiveyand Ernie Holmes and Harvey Martin andHillbilly Jimand Jimbo Covert andJim BrunzellandJim NeidhartandKing TongaandPedro MoralesandRuss FrancisandTed ArcidiandThe Iron SheikandTony AtlasandWilliam Perry(9:09)WWF WrestleMania 2 - ""What The World Is Coming To"" (Halle 2)- Pay Per View @ Rosemont Horizon in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
27,05.03.1986,,"Bruno SammartinodefeatsBob Ortonby Count OutWWF House Show- House Show @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
28,08.02.1986,,"Steel Cage:Bruno SammartinodefeatsRoddy Piper(8:40)WWF on NESN- TV-Show @ Boston Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/34/BrunoSeasonParade.jpg
