date,event,result,location,image_url
1,31.08.2025,,"WWE World Heavyweight  TitleFatal Four Way:Seth Rollins(c) defeatsCM PunkandJey UsoandLA Knight(24:49)WWE Clash In Paris- Premium Live Event @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
2,28.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
3,27.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
4,26.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
5,24.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
6,23.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
7,11.08.2025,,"CM Punk&LA KnightdefeatThe Vision(Bron Breakker&Bronson Reed) by DQ (16:22)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
8,02.08.2025,,"WWE World Heavyweight  Title:CM PunkdefeatsGunther(c) (30:19) -TITLE CHANGE !!!WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
9,02.08.2025,,"WWE World Heavyweight  Title:Seth RollinsdefeatsCM Punk(c) (0:12) -TITLE CHANGE !!!WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
10,14.07.2025,,"WWE World Heavyweight  Title#1 Contendership Gauntlet:CM PunkdefeatsBron BreakkerandJey UsoandLA KnightandPenta(41:17)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
11,28.06.2025,,"Undisputed WWE Title:John Cena(c) defeatsCM Punk(26:17)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
12,02.06.2025,,"Money In The Bank Qualifying Triple Threat:El Grande AmericanodefeatsAJ StylesandCM Punk(11:49)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
13,24.05.2025,,"Bron Breakker&Seth RollinsdefeatCM Punk&Sami Zayn(13:13)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
14,19.04.2025,,"Triple Threat:Seth RollinsdefeatsCM PunkandRoman Reigns(32:39)WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
15,31.03.2025,,"Dark:CM PunkdefeatsLudwig Kaiser(5:32)WWE Monday Night RAW #1662- Dark Match @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
16,30.03.2025,,"WWE World Heavyweight  Title:CM PunkdefeatsGunther(c) by DQWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
17,29.03.2025,,"WWE World Heavyweight  TitleSteel Cage:Gunther(c) defeatsCM PunkWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
18,24.03.2025,,"Dark:CM Punk,Cody Rhodes&Rey MysteriodefeatThe Judgment Day(Carlito,Dominik Mysterio&Finn Balor) (10:09)WWE Monday Night RAW #1661- Dark Match @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
19,23.03.2025,,"CM Punk&Cody RhodesdefeatGunther&Solo SikoaWWE Road To WrestleMania- House Show @ Motorpoint Arena Nottingham in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
20,22.03.2025,,"WWE World Heavyweight  Title:Gunther(c) vs.CM Punk- Double Count OutWWE Road To WrestleMania- House Show @ SSE Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
21,10.03.2025,,"Steel Cage:Seth RollinsdefeatsCM Punk(22:30)WWE Monday Night RAW #1659- Online Stream @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
22,01.03.2025,,"WWE Title/WWE Universal Title#1 Contendership Elimination Chamber:John CenadefeatsCM PunkandDamian PriestandDrew McIntyreandLogan PaulandSeth Rollins(32:36)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
23,03.02.2025,,"Elimination Chamber Qualifying:CM PunkdefeatsSami Zayn(14:55)WWE Monday Night RAW #1654- Online Stream @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
24,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
25,06.01.2025,,"CM PunkdefeatsSeth Rollins(18:58)WWE Monday Night RAW #1650- Online Stream @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
26,29.12.2024,,"WWE World Heavyweight  TitleSteel Cage:Gunther(c) defeatsCM PunkWWE Live Holiday Tour- House Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
27,28.12.2024,,"CM Punk&Rey MysteriodefeatThe New Day(Kofi Kingston&Xavier Woods)WWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
28,27.12.2024,,"CM PunkdefeatsLudwig KaiserWWE Live Holiday Tour- House Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
29,26.12.2024,,"CM PunkdefeatsLudwig KaiserWWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
30,30.11.2024,,"WarGames:CM Punk&The OG Bloodline(Jey Uso,Jimmy Uso,Roman Reigns&Sami Zayn) defeatBronson Reed&The Bloodline(Jacob Fatu,Solo Sikoa,Tama Tonga,Tonga Loa) (41:55)WWE Survivor Series 2024 - WarGames- Premium Live Event @ Rogers Arena in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
31,05.10.2024,,"Hell In A Cell:CM PunkdefeatsDrew McIntyre(31:23)WWE Bad Blood 2024- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
32,31.08.2024,,"Strap:CM PunkdefeatsDrew McIntyre(19:15)WWE Bash In Berlin- Premium Live Event @ Uber Arena in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
33,03.08.2024,,"Match (Special Referee: Seth Rollins):Drew McIntyredefeatsCM Punk(16:58)WWE SummerSlam 2024- Premium Live Event @ Cleveland Browns Stadium in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
34,27.01.2024,,"Royal Rumble:Cody RhodesdefeatsAndradeandAustin TheoryandBobby LashleyandBron BreakkerandBronson ReedandCarlitoandCarmelo HayesandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandGrayson WallerandGuntherandIvarandJD McDonaghandJey UsoandJimmy UsoandKarrion KrossandKofi KingstonandLudwig KaiserandOmosandPat McAfeeandR-TruthandRicochetandSami ZaynandSantos EscobarandShinsuke NakamuraandThe Miz(68:11)WWE Royal Rumble 2024- Premium Live Event @ Tropicana Field in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
35,30.12.2023,,"CM PunkdefeatsDominik MysterioWWE Live Holiday Tour- House Show @ The Kia Forum in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
36,26.12.2023,,"CM PunkdefeatsDominik Mysterio(12:26)WWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
37,27.08.2023,,"Real AEW World Title:CM Punk(c) defeatsSamoa Joe(13:58)AEW All In London 2023- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
38,23.08.2023,,"CM Punk,Darby Allin,Hook&StingdefeatJay White,Luchasaurus&The Mogul Embassy(Brian Cage&Swerve Strickland) (21:10)AEW Collision #11 - Fyter Fest 2023 - Tag 3- TV-Show @ Gas South Arena in Duluth, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
39,12.08.2023,,"AEW World Trios Title:House Of Black(Brody King,Buddy Matthews&Malakai Black) (c) defeatCMFTR(Cash Wheeler,CM Punk&Dax Harwood) (26:54)AEW Collision #9- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
40,05.08.2023,,"Real AEW World Title Match (Special Outside Official: Ricky Steamboat):CM Punk(c) defeatsRicky Starks(22:19)AEW Collision #8- TV-Show @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
41,22.07.2023,,"Christian Cage&Ricky StarksdefeatCM Punk&Darby Allin(25:02)AEW Collision #6- TV-Show @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
42,15.07.2023,,"Owen Hart Foundation 2023 Men's Tournament Final:Ricky StarksdefeatsCM Punk(19:35)AEW Collision #5- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
43,08.07.2023,,"Owen Hart Foundation 2023 Men's Tournament Semi Final:CM PunkdefeatsSamoa Joe(15:33)AEW Collision #4- TV-Show @ Brandt Centre in Regina, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
44,25.06.2023,,"Owen Hart Foundation 2023 Men's Tournament Quarter Final:CM PunkdefeatsSatoshi Kojima(13:40)AEW/NJPW Forbidden Door 2023- Pay Per View @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
45,24.06.2023,,"Bullet Club Gold(Jay White&Juice Robinson) &The Gunns(Austin Gunn&Colten Gunn) defeatCMFTR(Cash Wheeler,CM Punk&Dax Harwood) &Ricky Starks(23:43)AEW Collision #2- TV-Show @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
46,17.06.2023,,"CMFTR(Cash Wheeler,CM Punk&Dax Harwood) defeatBullet Club Gold(Jay White&Juice Robinson) &Samoa Joe(25:12)AEW Collision #1- TV-Show @ United Center in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
47,04.09.2022,,"AEW World Title:CM PunkdefeatsJon Moxley(c) (19:57) -TITLE CHANGE !!!AEW All Out 2022- Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
48,24.08.2022,,"AEW World Title/AEW Interim World TitleUnification:Jon Moxley(c) [Interim] defeatsCM Punk(c) [World] (3:10) -TITLE CHANGE !!!AEW Dynamite #151- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
49,01.06.2022,,"CMFTR(Cash Wheeler,CM Punk&Dax Harwood) defeatMax Caster&The Gunn Club(Austin Gunn&Colten Gunn) (11:50)AEW Dynamite #139- TV-Show @ The Kia Forum in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
50,29.05.2022,,"AEW World Title:CM PunkdefeatsAdam Page(c) (25:40) -TITLE CHANGE !!!AEW Double Or Nothing 2022- Pay Per View @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
51,11.05.2022,,"CM PunkdefeatsJohn Silver(8:06)AEW Dynamite #136- TV-Show @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
52,20.04.2022,,"CM PunkdefeatsDustin Rhodes(17:26)AEW Dynamite #133- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
53,13.04.2022,,"CM PunkdefeatsPenta Oscuro(13:38)AEW Dynamite #132- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
54,30.03.2022,,"CM PunkdefeatsMax Caster(7:09)AEW Dynamite #130- TV-Show @ Colonial Life Arena in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
55,23.03.2022,,"CM PunkdefeatsDax Harwood(12:51)AEW Dynamite #129- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
56,06.03.2022,,"Dog Collar:CM PunkdefeatsMJF(26:48)AEW Revolution 2022- Pay Per View @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
57,09.02.2022,,"CM Punk&Jon MoxleydefeatFTR(Cash Wheeler&Dax Harwood) (18:34)AEW Dynamite #123- TV-Show @ Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
58,02.02.2022,,"MJFdefeatsCM Punk(38:09)AEW Dynamite #122- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
59,19.01.2022,,"CM PunkdefeatsShawn Spears(0:12)AEW Dynamite #120- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
60,12.01.2022,,"CM PunkdefeatsWardlow(14:06)AEW Dynamite #119- TV-Show @ PNC Arena in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
61,22.12.2021,,"CM Punk,Darby Allin&StingdefeatThe Pinnacle(Cash Wheeler,Dax Harwood&MJF) (24:57)AEW Dynamite #116 - Holiday Bash 2021 - Tag 1- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
