date,event,result,location,image_url
1,27.08.2025,,"Falls Count Anywhere:Darby AllindefeatsClaudio Castagnoli(13:41)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
2,24.08.2025,,"Lights Out Steel Cage:Darby Allin,Golden Lovers(Kenny Omega&Kota Ibushi),Hiroshi Tanahashi&Will OspreaydefeatDeath Riders(Claudio Castagnoli&Jon Moxley),Gabe Kidd&The Young Bucks(Matt Jackson&Nick Jackson) (32:25)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
3,22.12.2024,,"Continental Classic 2024 Gold League:Darby Allin[7] vs.Ricochet[10] - Time Limit Draw (20:00)AEW Dynamite #273 - Dynamite On 34th Street- TV-Show @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
4,21.12.2024,,"Continental Classic 2024 Gold League:Claudio Castagnoli[9] defeatsDarby Allin[6] (11:16)AEW Collision #74 - Christmas Collision- TV-Show @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
5,18.12.2024,,"Continental Classic 2024 Gold League:Darby Allin[6] defeatsWill Ospreay[6] (14:38)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
6,07.12.2024,,"Continental Classic 2024 Gold League:Darby Allin[3] defeatsKomander[0] (13:11)AEW Collision #72- TV-Show @ Greater Columbus Convention Center in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
7,27.11.2024,,"Continental Classic 2024 Gold League:Brody King[3] defeatsDarby Allin(9:35)AEW Dynamite #269 - Thanksgiving Eve 2024- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
8,20.11.2024,,"Claudio CastagnolidefeatsDarby Allin(13:46)AEW Dynamite #268- TV-Show @ Santander Arena in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
9,06.11.2024,,"Darby Allin&Orange Cassidyvs.Death Riders(Claudio Castagnoli&PAC) - No Contest (13:32)AEW Dynamite #266- TV-Show @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
10,12.10.2024,,"Darby AllindefeatsBrody King(12:27)AEW WrestleDream 2024- Pay Per View @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
11,03.10.2024,,"Darby AllindefeatsJohnny TV(7:42)AEW Collision #65- TV-Show @ Huntington Center in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
12,25.09.2024,,"AEW World Title#1 Contendership:Jon MoxleydefeatsDarby Allin(18:43)AEW Dynamite #260 - Grand Slam 2024 - Tag 1- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
13,21.09.2024,,"Darby AllindefeatsEvil Uno(5:15)AEW Collision #63- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
14,25.08.2024,,"AEW TNT TitleCoffin:Jack Perry(c) defeatsDarby Allin(10:37)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
15,21.08.2024,,"Darby Allin&FTR(Cash Wheeler&Dax Harwood) defeatThe Elite(Jack Perry,Matthew Jackson&Nicholas Jackson) (9:56)AEW Dynamite #255- TV-Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
16,10.08.2024,,"Darby Allin&HologramdefeatThe Premier Athletes(Josh Woods&Tony Nese) (8:44)AEW Collision #57- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
17,07.08.2024,,"Darby AllindefeatsThe Butcher(10:25)AEW Rampage #157- TV-Show @ Lawrence Joel Veterans Memorial Coliseum in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
18,01.08.2024,,"Darby Allin,FTR(Cash Wheeler&Dax Harwood) &Mark BriscoedefeatThe Beast Mortos&The Undisputed Kingdom(Matt Taven,Mike Bennett&Roderick Strong) (18:56)AEW Collision #56- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
19,31.07.2024,,"Darby AllindefeatsAdam Page(20:30)AEW Dynamite #252- TV-Show @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Darby_Allin%2C_June_2022.jpg
