date,event,result,location,image_url
1,12.09.2025,,"AAA Mega Title:Dominik MysteriodefeatsEl Hijo del Vikingo(c) (18:21) -TITLE CHANGE !!!AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
2,01.09.2025,,"WWE Intercontinental Title:Dominik Mysterio(c) defeatsAJ Styles(16:01)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
3,29.08.2025,,"Dark:PentadefeatsDominik MysterioWWE Friday Night SmackDown #1358- Dark Match @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
4,28.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
5,27.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
6,26.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
7,24.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
8,23.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
9,22.08.2025,,"Dark:Jacob FatudefeatsDominik MysterioWWE Friday Night SmackDown #1357- Dark Match @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
10,16.08.2025,,"AAA Mega TitleFatal Four Way:El Hijo del Vikingo(c) defeatsDominik MysterioandDragon LeeandEl Grande Americano(15:04)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
11,11.08.2025,,"Dominik Mysterio&El Grande AmericanodefeatAJ Styles&Dragon Lee(16:38)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
12,04.08.2025,,"Dominik MysteriodefeatsDragon Lee(8:12)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
13,03.08.2025,,"WWE Intercontinental Title:Dominik Mysterio(c) defeatsAJ Styles(10:41)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
14,01.08.2025,,"Dark:The Usos(Jey Uso&Jimmy Uso) defeatThe Judgment Day(Dominik Mysterio&JD McDonagh)WWE Friday Night SmackDown #1354- Dark Match @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
15,28.07.2025,,"Mixed:AJ Styles&The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Dominik Mysterio,Raquel Rodriguez&Roxanne Perez) (10:44)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
16,27.07.2025,,"WWE Intercontinental TitleTriple Threat:Dominik Mysterio(c) defeatsEl Grande AmericanoandR-TruthWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
17,26.07.2025,,"WWE Intercontinental TitleTriple Threat:Dominik Mysterio(c) defeatsEl Grande AmericanoandR-TruthWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
18,09.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Sami ZayndefeatsBron BreakkerandDominik MysterioandPenta(17:05)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
19,07.06.2025,,"WWE Intercontinental Title:Dominik Mysterio(c) defeatsOctagon Jr.(4:55)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
20,10.05.2025,,"WWE Intercontinental Title:Dominik Mysterio(c) defeatsPenta(9:17)WWE Backlash 2025- Premium Live Event @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
21,21.04.2025,,"WWE Intercontinental Title:Dominik Mysterio(c) defeatsPenta(8:02)WWE Monday Night RAW #1665- Online Stream @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
22,20.04.2025,,"WWE Intercontinental TitleFatal Four Way:Dominik MysteriodefeatsBron Breakker(c) andFinn BalorandPenta(10:30) -TITLE CHANGE !!!WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/0a/Dirty_Dom_Mysterio_050525_%28cropped%29.jpg
