date,event,result,location,image_url
1,13.09.2025,,"MLW World Heavyweight TitleThree Way:Mads Krule KrüggerdefeatsMatt Riddle(c) andDonovan Dijak(13:13) -TITLE CHANGE !!!MLW Fightland 2025- Online Stream @ NYTEX Sports Centre in North Richland Hills, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
2,05.09.2025,,"PWS  Title Four Way:DJ Powers(c) defeatsDonovan Dijak(21:16)PWS End Of Summer Bash- Online Stream @ VFW Post 1046 in Brockton, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
3,29.08.2025,,"Grand Prix Internacional 2025 Torneo Cibernetico:Team Mexico (Angel de Oro,Atlantis Jr.,Difunto,Mascara Dorada,Mistico,Neon,Templario,Titan,Volador Jr.&Zandokan Jr.) defeat Team International (Action Andretti,Donovan Dijak,Lio Rush,Michael Oku,Mike Bailey,Robbie X,Rocky Romero,Taiji Ishimori,The Beast Mortos&TJP) (82:06)CMLL Grand Prix Internacional 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
4,26.08.2025,,"Lucha De Naciones 2025 Torneo Cibernetico:Atlantis Jr.,Dulce Gardenia,El Hijo del Villano III,Explosivo,Ultimo Guerrero&Villano III Jr.defeatDark Magic,Donovan Dijak,Okumura,Taiji Ishimori,TJP&Yutani(29:24)CMLL Martes de Glamour- Online Stream @ Arena Coliseo de Guadalajara in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
5,25.08.2025,,"Relevos Increibles Best Two Out Of Three Falls:Capitan Suicida&Gran GuerrerodefeatDonovan Dijak&Taiji Ishimori[2:1]CMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
6,24.08.2025,,"Relevos Increibles Best Two Out Of Three Falls:Donovan Dijak&TJPdefeatVolador Jr.&Zandokan Jr.[2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
7,23.08.2025,,"Lightning:Donovan DijakdefeatsEuforiaCMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
8,22.08.2025,,"Lightning:EsfingedefeatsDonovan Dijak(9:34)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
9,02.08.2025,,"Channing Thomas&Stephen WolfdefeatDonovan Dijak&Hartenbower(12:32)DREAMWAVE The Hands We're Dealt- Online Stream @ Kaycee Club in LaSalle, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
10,27.07.2025,,"Crown Of Glory Title:Kody Lane(c) defeatsDonovan DijakGlory Pro Kody Lane's Kristmas In July- Online Stream @ Casa Loma Ballroom in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
11,25.07.2025,,"Donovan DijakdefeatsPatrick SaintTOS Ris3 Up- Online Stream @ Dudleytown Brewing Company in Windsor, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
12,20.07.2025,,"Dezmond ColedefeatsDonovan Dijak(16:11)Limitless Crunch Time 2025- Online Stream @ Morgan Hill Event Center in Hermon, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
13,13.07.2025,,"BPW   Title 30 Minute Iron Man:Donovan CecildefeatsDonovan Dijak(c) -TITLE CHANGE !!!BPW Goldmine- Event @ Art Sanctuary Louisville in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
14,12.07.2025,,"DREAMWAVE World Title:Connor Hopkins(c) defeatsDonovan Dijak(16:02)DREAMWAVE Summer Spectacular- Online Stream @ Lou's Lagrotto in Peru, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
15,11.07.2025,,"Remarkable Title:Gabriel Skye(c) defeatsDonovan DijakRemarkable Danger Zone 4- Event @ Remarkable Wrestling School in Nesconset, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
16,05.07.2025,,"DijakdefeatsJoseph Alexander(11:24)BST Star Spangled Bash 2025- Online Stream @ Foolproof Brewing Company in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
17,28.06.2025,,"Bryce DonovandefeatsDijak(14:48)B!P The 7th Annual Luau- Online Stream @ Thompson Hall in Enfield, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
18,26.06.2025,,"MLW World Tag Team Title:The Skyscrapers(Bishop Dyer&Donovan Dijak) defeatLos Depredadores(Magnus&Rugido) (c) (9:02) -TITLE CHANGE !!!MLW Summer Of The Beasts 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
19,21.06.2025,,"Volk MilikadefeatsStefon King(8:36)Rad Pro Dark Designs- Event @ Lafayette Club in Amesbury, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
20,21.06.2025,,"Undisputed IWTV Independent Wrestling World Title:Marcus Mathers(c) defeatsDonovan Dijak(11:41)Beyond Blacktop Bloodbath- Online Stream @ Ralph's Diner in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
21,20.06.2025,,"Richard HollidaydefeatsDijak(14:02)BST Sweet Surrender 2025- Online Stream @ FoolProof Brewery in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
22,20.06.2025,,"Big Jym Rumble:DijakdefeatsAJPandAndy BrownandAngelo CarterandAngelo Reyesand Corey Duke andDarius CarterandGabriel SkyeandGeorgio Lawrenceand Jake Gray andJarett DiazandJay LyonandJoseph A-Gameand Kwesi Asante andKylon KingandMantequillaandMidas BlackandMike Skyrosand Peter Gianni andRed SawyerandRip BysonandSteven LustandSteven Stetson(60:36)BST Sweet Surrender 2025- Online Stream @ FoolProof Brewery in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
23,08.06.2025,,"Eli IsomdefeatsDonovan DijakFWA Dominion 7- Event @ State Theater in Havre de Grace, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
24,01.06.2025,,"Colby CarterdefeatsDonovan Dijak(17:42)PWS- Event @ Brooklyn Bowl in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
25,23.05.2025,,"Donovan DijakdefeatsColton DavisBlockbuster Pro Wrestling- Event @ Lagoon Centre in Paisley, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
26,19.05.2025,,"IchibandefeatsDonovan Dijakby DQ (9:20)Beyond Market Madness- Online Stream @ Worcester Public Market in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/Chris_Dijak_Axxess_2018_crop.jpg
