date,event,result,location,image_url
1,31.07.2025,,"AEW TNT TitleChicago Street Fight:Kyle FletcherdefeatsDustin Rhodes(c) (16:43) -TITLE CHANGE !!!AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
2,26.07.2025,,"AEW TNT Title:Dustin Rhodes(c) defeatsLee Moriarty(16:33)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
3,12.07.2025,,"The Sons Of Texas(Dustin Rhodes,Marshall von Erich,Ross von Erich&Sammy Guevara) defeatShane Taylor Promotions(Carlie Bravo,Lee Moriarty,Shane Taylor&Shawn Dean) (7:11)AEW All In Texas - Zero Hour- Online Stream @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
4,12.07.2025,,"AEW TNT TitleFour Way Match (vakant):Dustin RhodesdefeatsDaniel GarciaandKyle FletcherandSammy Guevara(14:23) -TITLE CHANGE !!!AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
5,11.07.2025,,"ROH World Tag Team Title:The Sons Of Texas(Dustin Rhodes&Sammy Guevara) (c) defeatThe Infantry(Carlie Bravo&Shawn Dean) (15:04)ROH Supercard Of Honor 2025- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
6,21.06.2025,,"The Sons Of Texas(Dustin Rhodes,Marshall von Erich,Ross von Erich&Sammy Guevara) defeatGrizzled Young Veterans(James Drake&Zack Gibson) &The Premier Athletes(Ariya Daivari&Tony Nese) (8:39)ROH on HonorClub #124- Online Stream @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
7,25.05.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatThe Sons Of Texas(Dustin Rhodes&Sammy Guevara) (12:38)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
8,14.05.2025,,"AEW World Tag Team Title#1 Contendership:The Sons Of Texas(Dustin Rhodes&Sammy Guevara) defeatCRU(Action Andretti&Lio Rush) (11:53)AEW Collision #93 - Beach Break 2025 - Tag 2- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
9,08.05.2025,,"The Sons Of Texas(Dustin Rhodes&Sammy Guevara) &The Von Erichs(Marshall von Erich&Ross von Erich) defeatMxM Collection(Mansoor&Mason Madden) &The Premier Athletes(Ariya Daivari&Tony Nese) (7:17)ROH on HonorClub #116- Online Stream @ Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
10,12.04.2025,,"ROH World Six Man Tag Team Title:Dustin Rhodes&The Von Erichs(Marshall von Erich&Ross von Erich) (c) defeatJohnny TV&MxM Collection(Mansoor&Mason Madden) (11:12)ROH on HonorClub #112- Online Stream @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Dustin_Rhodes%2C_October_2019.jpg
